"dataset","layerForm","testAccuracy","nhidden","nlayers","valAccuracy","learningrate"
"acute-inflammation","cone",1,1024,8,1,0.01
"acute-inflammation","cone",0.833333373069763,256,8,1,0.01
"acute-inflammation","cone",1,1024,8,1,0.1
"acute-inflammation","rect",1,1024,8,1,0.1
"acute-inflammation","rect",1,512,8,1,0.1
"acute-inflammation","rect",1,256,8,1,0.1
"acute-inflammation","cone",0.833333373069763,1024,8,1,1
"acute-inflammation","cone",1,512,8,1,1
"acute-inflammation","cone",0.966666698455811,1024,4,1,0.01
"acute-inflammation","rect",1,1024,4,1,0.01
"acute-inflammation","cone",1,512,4,1,0.01
"acute-inflammation","rect",1,512,4,1,0.01
"acute-inflammation","rect",0.900000095367432,256,4,1,0.01
"acute-inflammation","cone",1,1024,4,1,0.1
"acute-inflammation","rect",1,1024,4,1,0.1
"acute-inflammation","cone",0.933333396911621,512,4,1,0.1
"acute-inflammation","rect",1,512,4,1,0.1
"acute-inflammation","cone",1,256,4,1,0.1
"acute-inflammation","rect",1,256,4,1,0.1
"acute-inflammation","cone",1,1024,4,1,1
"acute-inflammation","rect",0.833333373069763,1024,4,1,1
"acute-inflammation","cone",0.966666698455811,512,4,1,1
"acute-inflammation","rect",1,512,4,1,1
"acute-inflammation","cone",1,256,4,1,1
"acute-inflammation","rect",0.933333396911621,256,4,1,1
"acute-inflammation","cone",1,1024,3,1,0.01
"acute-inflammation","rect",1,1024,3,1,0.01
"acute-inflammation","cone",1,512,3,1,0.01
"acute-inflammation","rect",1,512,3,1,0.01
"acute-inflammation","cone",1,256,3,1,0.01
"acute-inflammation","rect",1,256,3,1,0.01
"acute-inflammation","cone",1,1024,3,1,0.1
"acute-inflammation","rect",0.966666698455811,1024,3,1,0.1
"acute-inflammation","cone",1,512,3,1,0.1
"acute-inflammation","rect",1,512,3,1,0.1
"acute-inflammation","cone",1,256,3,1,0.1
"acute-inflammation","rect",1,256,3,1,0.1
"acute-inflammation","cone",1,1024,3,1,1
"acute-inflammation","rect",1,1024,3,1,1
"acute-inflammation","cone",1,512,3,1,1
"acute-inflammation","rect",1,512,3,1,1
"acute-inflammation","cone",0.900000095367432,256,3,1,1
"acute-inflammation","rect",1,256,3,1,1
"acute-inflammation","cone",1,1024,2,1,0.01
"acute-inflammation","rect",1,1024,2,1,0.01
"acute-inflammation","cone",1,512,2,1,0.01
"acute-inflammation","rect",1,512,2,1,0.01
"acute-inflammation","cone",1,256,2,1,0.01
"acute-inflammation","rect",0.966666698455811,256,2,1,0.01
"acute-inflammation","cone",1,1024,2,1,0.1
"acute-inflammation","rect",1,1024,2,1,0.1
"acute-inflammation","cone",1,512,2,1,0.1
"acute-inflammation","rect",1,512,2,1,0.1
"acute-inflammation","cone",1,256,2,1,0.1
"acute-inflammation","rect",1,256,2,1,0.1
"acute-inflammation","cone",1,1024,2,1,1
"acute-inflammation","rect",1,1024,2,1,1
"acute-inflammation","cone",1,512,2,1,1
"acute-inflammation","rect",1,512,2,1,1
"acute-inflammation","cone",1,256,2,1,1
"acute-inflammation","rect",1,256,2,1,1
"acute-inflammation","cone",1,256,4,0.988888895511627,0.01
"acute-inflammation","rect",0.966666698455811,1024,16,0.977777779102325,0.01
"acute-inflammation","cone",0.933333396911621,256,8,0.977777779102325,0.1
"acute-inflammation","rect",0.966666698455811,1024,8,0.955555558204651,1
"acute-inflammation","cone",0.866666734218597,256,8,0.944444447755813,1
"acute-inflammation","rect",0.866666734218597,256,16,0.866666674613953,0.1
"acute-inflammation","rect",0.900000095367432,1024,8,0.844444477558136,0.01
"acute-inflammation","rect",0.600000023841858,512,8,0.822222232818603,1
"acute-inflammation","rect",0.766666769981384,512,16,0.811111122369766,0.1
"acute-inflammation","cone",0.966666698455811,512,8,0.744444465637207,0.01
"acute-inflammation","rect",0.633333384990692,512,16,0.744444459676742,0.01
"acute-inflammation","cone",0.533333420753479,512,16,0.700000017881393,0.1
"acute-inflammation","rect",0.600000023841858,256,16,0.700000017881393,1
"acute-inflammation","rect",0.666666746139526,256,8,0.688888907432556,0.01
"acute-inflammation","cone",0.533333420753479,512,32,0.666666686534881,0.01
"acute-inflammation","rect",0.533333420753479,256,32,0.666666686534881,0.01
"acute-inflammation","cone",0.533333420753479,256,32,0.666666686534881,0.1
