"dataset","nlayers","testAccuracy","nhidden","valAccuracy","learningrate","layerForm"
"annealing",3,0.11999998986721,1024,0.91444445848465,1,"rect"
"annealing",4,0.339999973773956,1024,0.910000020265579,1,"rect"
"annealing",2,0.140000000596046,256,0.900000035762787,0.01,"rect"
"annealing",2,0.0599999949336052,1024,0.899999976158142,0.01,"rect"
"annealing",2,0.0699999928474426,1024,0.897777819633484,1,"cone"
"annealing",2,0.0799999982118607,512,0.896666693687439,1,"cone"
"annealing",2,0.11999998986721,512,0.893333369493485,0.1,"rect"
"annealing",3,0.0599999986588955,256,0.888888955116272,1,"cone"
"annealing",2,0.0599999949336052,1024,0.88666672706604,0.1,"rect"
"annealing",4,0.239999979734421,512,0.886666679382324,1,"rect"
"annealing",3,0.0900000035762787,1024,0.885555601119995,0.1,"rect"
"annealing",3,0.0599999986588955,512,0.883333384990692,1,"cone"
"annealing",2,0.199999988079071,1024,0.883333384990692,1,"rect"
"annealing",2,0.0399999991059303,512,0.88111115694046,0.01,"rect"
"annealing",2,0.179999992251396,512,0.877777814865113,1,"rect"
"annealing",2,0.0799999982118607,256,0.876666700839997,0.1,"rect"
"annealing",2,0.0899999886751175,256,0.875555586814881,1,"cone"
"annealing",3,0.0999999940395355,512,0.873333358764649,0.1,"rect"
"annealing",4,0.0599999986588955,1024,0.870000016689301,1,"cone"
"annealing",4,0.0799999982118607,256,0.867777806520462,1,"rect"
"annealing",3,0.0299999993294477,1024,0.866666674613953,0.01,"rect"
"annealing",3,0.100000001490116,512,0.863333350419998,0.01,"rect"
"annealing",3,0.0700000002980232,256,0.863333332538605,1,"rect"
"annealing",4,0.0799999982118607,512,0.860000026226044,0.1,"rect"
"annealing",2,0.0299999993294477,512,0.858888918161392,0.01,"cone"
"annealing",3,0.209999993443489,1024,0.858888912200928,1,"cone"
"annealing",4,0.00999999977648258,1024,0.858888876438141,0.1,"rect"
"annealing",2,0.109999999403954,1024,0.857777786254883,0.01,"cone"
"annealing",4,0.0700000002980232,1024,0.855555593967438,0.01,"rect"
"annealing",3,0.0999999940395355,256,0.855555593967438,0.01,"rect"
"annealing",4,0.0799999982118607,512,0.853333365917206,1,"cone"
"annealing",2,0.209999993443489,256,0.850000047683716,1,"rect"
"annealing",4,0.0599999986588955,256,0.848888939619065,0.1,"rect"
"annealing",4,0.0700000002980232,512,0.844444513320923,0.01,"rect"
"annealing",4,0.0199999995529652,256,0.844444513320923,0.01,"rect"
"annealing",3,0.0999999940395355,512,0.844444513320923,0.01,"cone"
"annealing",2,0.119999997317791,256,0.84444449543953,0.01,"cone"
"annealing",8,0.0700000002980232,1024,0.844444471597672,0.1,"rect"
"annealing",8,0.0700000002980232,512,0.841111159324646,0.1,"rect"
"annealing",3,0.0899999961256981,1024,0.836666715145111,0.1,"cone"
"annealing",2,0.0599999949336052,512,0.836666709184647,0.1,"cone"
"annealing",2,0.0899999961256981,1024,0.835555601119995,0.1,"cone"
"annealing",3,0.0799999982118607,256,0.835555595159531,0.1,"rect"
"annealing",16,0.0700000002980232,1024,0.833333373069763,0.1,"rect"
"annealing",8,0.0700000002980232,256,0.833333373069763,0.1,"rect"
"annealing",2,0.0700000002980232,256,0.833333373069763,0.1,"cone"
"annealing",16,0.0700000002980232,512,0.831111145019531,0.1,"rect"
"annealing",4,0.0799999982118607,256,0.826666700839996,1,"cone"
"annealing",4,0.0599999986588955,1024,0.825555574893951,0.01,"cone"
"annealing",3,0.0699999928474426,512,0.817777788639069,1,"rect"
"annealing",3,0.0799999982118607,256,0.81555557847023,0.1,"cone"
"annealing",8,0.639999985694885,1024,0.813333320617676,1,"rect"
"annealing",3,0.0599999986588955,1024,0.808888918161392,0.01,"cone"
"annealing",3,0.0399999991059303,512,0.805555588006973,0.1,"cone"
"annealing",16,0.0799999982118607,256,0.796666723489762,0.1,"rect"
"annealing",8,0.0299999993294477,256,0.79555561542511,0.01,"rect"
"annealing",4,0.0499999970197678,1024,0.787777835130691,0.1,"cone"
"annealing",8,0.0599999986588955,1024,0.783333390951157,0.01,"rect"
"annealing",4,0.219999983906746,512,0.780000066757202,0.1,"cone"
"annealing",32,0.0999999940395355,1024,0.777777850627899,0.01,"cone"
"annealing",32,0.0899999961256981,512,0.777777850627899,0.01,"cone"
"annealing",32,0.759999990463257,256,0.777777850627899,0.01,"cone"
"annealing",32,0.0799999982118607,256,0.777777850627899,0.01,"rect"
"annealing",16,0.449999988079071,1024,0.777777850627899,0.01,"cone"
"annealing",16,0.0999999940395355,1024,0.777777850627899,0.01,"rect"
"annealing",16,0.359999984502792,512,0.777777850627899,0.01,"cone"
"annealing",16,0.0399999991059303,512,0.777777850627899,0.01,"rect"
"annealing",16,0.410000026226044,256,0.777777850627899,0.01,"cone"
"annealing",16,0.0999999940395355,256,0.777777850627899,0.01,"rect"
"annealing",16,0.0899999961256981,1024,0.777777850627899,0.1,"cone"
"annealing",16,0.759999990463257,512,0.777777850627899,0.1,"cone"
"annealing",16,0.109999991953373,256,0.777777850627899,0.1,"cone"
