"dataset","nlayers","layerForm","testAccuracy","valAccuracy","learningrate","nhidden"
"arrhythmia",3,"cone",0.592920422554016,0.794117629528046,1,1024
"arrhythmia",3,"cone",0.628318548202515,0.794117629528046,1,512
"arrhythmia",3,"cone",0.672566294670105,0.794117629528046,1,256
"arrhythmia",4,"cone",0.637168109416962,0.764705896377563,1,512
"arrhythmia",4,"cone",0.601769864559174,0.735294163227081,0.1,512
"arrhythmia",8,"rect",0.610619425773621,0.729411816596985,0.1,512
"arrhythmia",4,"cone",0.548672556877136,0.720588266849518,0.01,1024
"arrhythmia",3,"cone",0.557522118091583,0.720588266849518,0.1,256
"arrhythmia",3,"cone",0.637168049812317,0.717647087574005,0.1,1024
"arrhythmia",4,"cone",0.610619425773621,0.708823549747467,1,1024
"arrhythmia",2,"cone",0.56637167930603,0.708823549747467,1,256
"arrhythmia",2,"cone",0.495575219392776,0.705882370471954,1,512
"arrhythmia",2,"rect",0.477876096963882,0.702941197156906,0.01,1024
"arrhythmia",8,"rect",0.628318607807159,0.685294157266617,0.1,1024
"arrhythmia",8,"rect",0.610619425773621,0.682352995872498,0.1,256
"arrhythmia",4,"cone",0.610619485378265,0.682352954149246,0.1,1024
"arrhythmia",4,"rect",0.548672556877136,0.676470589637756,1,1024
"arrhythmia",4,"cone",0.557522118091583,0.676470577716828,0.01,256
"arrhythmia",3,"rect",0.548672556877136,0.676470577716828,0.01,256
"arrhythmia",3,"rect",0.584070801734924,0.676470577716828,0.1,512
"arrhythmia",2,"cone",0.495575219392776,0.676470577716828,0.1,1024
"arrhythmia",2,"rect",0.495575219392776,0.676470577716828,0.1,1024
"arrhythmia",8,"rect",0.601769924163818,0.664705884456635,0.01,1024
"arrhythmia",4,"rect",0.433628290891647,0.664705884456635,1,512
"arrhythmia",4,"rect",0.56637167930603,0.66470587849617,0.1,256
"arrhythmia",4,"rect",0.557522177696228,0.658823537826538,0.01,256
"arrhythmia",16,"rect",0.592920362949371,0.650000017881393,0.1,256
"arrhythmia",16,"cone",0.592920362949371,0.647058844566345,0.1,1024
"arrhythmia",8,"cone",0.601769864559174,0.647058844566345,0.1,1024
"arrhythmia",8,"cone",0.584070801734924,0.647058844566345,0.1,512
"arrhythmia",4,"rect",0.637168169021606,0.647058844566345,0.1,1024
"arrhythmia",3,"cone",0.637168109416962,0.647058844566345,0.1,512
"arrhythmia",3,"rect",0.486725658178329,0.647058844566345,0.1,256
"arrhythmia",3,"rect",0.539823055267334,0.647058844566345,1,256
"arrhythmia",2,"rect",0.504424810409546,0.647058844566345,0.1,512
"arrhythmia",2,"cone",0.52212393283844,0.647058844566345,1,1024
"arrhythmia",2,"rect",0.52212393283844,0.647058844566345,1,256
"arrhythmia",4,"rect",0.56637167930603,0.644117683172226,0.1,512
"arrhythmia",3,"rect",0.592920303344727,0.644117671251297,0.1,1024
"arrhythmia",8,"rect",0.557522118091583,0.644117671251297,0.01,512
"arrhythmia",4,"rect",0.504424810409546,0.644117671251297,0.01,512
"arrhythmia",2,"cone",0.495575219392776,0.641176497936249,0.01,512
