"dataset","nhidden","nlayers","testAccuracy","learningrate","valAccuracy","layerForm"
"audiology-std",256,4,0.639999985694885,0.1,0.80952388048172,"rect"
"audiology-std",512,4,0.759999990463257,1,0.809523820877075,"cone"
"audiology-std",1024,2,0.519999980926514,1,0.809523820877075,"cone"
"audiology-std",512,2,0.639999985694885,1,0.804761976003647,"rect"
"audiology-std",256,3,0.560000002384186,0.01,0.776190531253815,"rect"
"audiology-std",1024,4,0.519999980926514,1,0.766666734218597,"cone"
"audiology-std",512,4,0.319999992847443,0.01,0.761904835700989,"rect"
"audiology-std",1024,4,0.119999997317791,0.1,0.761904835700989,"cone"
"audiology-std",256,3,0.479999989271164,0.1,0.761904835700989,"rect"
"audiology-std",256,3,0.600000023841858,1,0.761904835700989,"rect"
"audiology-std",1024,2,0.479999989271164,0.01,0.761904835700989,"rect"
"audiology-std",512,2,0.639999985694885,0.1,0.761904835700989,"cone"
"audiology-std",256,2,0.639999985694885,0.1,0.761904835700989,"cone"
"audiology-std",256,2,0.759999990463257,1,0.761904835700989,"rect"
"audiology-std",256,4,0.719999969005585,1,0.761904776096344,"rect"
"audiology-std",1024,2,0.759999990463257,1,0.761904776096344,"rect"
"audiology-std",256,2,0.439999997615814,1,0.752381014823914,"cone"
"audiology-std",1024,3,0.719999969005585,1,0.747619104385376,"rect"
"audiology-std",256,4,0.639999985694885,1,0.742857193946838,"cone"
"audiology-std",512,2,0.639999985694885,1,0.738095283508301,"cone"
"audiology-std",512,8,0.479999989271164,0.1,0.73333340883255,"rect"
"audiology-std",1024,2,0.599999964237213,0.01,0.733333373069763,"cone"
"audiology-std",1024,3,0.600000023841858,1,0.733333373069763,"cone"
"audiology-std",1024,3,0.439999997615814,0.1,0.728571462631226,"cone"
"audiology-std",1024,3,0.519999980926514,0.01,0.728571462631226,"cone"
"audiology-std",512,4,0.560000002384186,1,0.723809558153153,"rect"
"audiology-std",1024,8,0.600000023841858,0.1,0.714285731315613,"rect"
"audiology-std",1024,4,0.399999976158142,0.01,0.714285731315613,"cone"
"audiology-std",512,4,0.639999985694885,0.1,0.714285731315613,"rect"
"audiology-std",512,3,0.719999969005585,1,0.714285731315613,"cone"
"audiology-std",1024,2,0.599999964237213,0.1,0.714285731315613,"rect"
"audiology-std",256,4,0.519999980926514,0.01,0.709523832798004,"rect"
"audiology-std",512,3,0.600000023841858,1,0.704761934280395,"rect"
"audiology-std",256,2,0.479999989271164,0.1,0.704761922359466,"rect"
"audiology-std",256,3,0.560000002384186,0.1,0.700000023841858,"cone"
"audiology-std",1024,4,0.560000002384186,0.01,0.695238137245178,"rect"
"audiology-std",512,4,0.119999997317791,0.1,0.685714340209961,"cone"
"audiology-std",256,3,0.759999990463257,1,0.685714304447174,"cone"
"audiology-std",1024,4,0.560000002384186,1,0.680952399969101,"rect"
"audiology-std",512,3,0.439999967813492,0.1,0.671428644657135,"rect"
"audiology-std",512,3,0.600000023841858,0.01,0.666666746139526,"cone"
"audiology-std",1024,3,0.639999985694885,0.1,0.666666746139526,"rect"
"audiology-std",512,3,0.560000002384186,0.1,0.666666746139526,"cone"
"audiology-std",1024,2,0.799999952316284,0.1,0.666666746139526,"cone"
"audiology-std",1024,4,0.560000002384186,0.1,0.657142925262451,"rect"
"audiology-std",256,3,0.359999984502792,0.01,0.657142925262451,"cone"
"audiology-std",256,4,0.399999976158142,0.1,0.652381014823914,"cone"
"audiology-std",1024,3,0.239999994635582,0.01,0.61904764175415,"rect"
"audiology-std",512,3,0.239999994635582,0.01,0.61904764175415,"rect"
"audiology-std",512,2,0.479999989271164,0.01,0.61904764175415,"cone"
"audiology-std",512,2,0.559999942779541,0.01,0.61904764175415,"rect"
"audiology-std",256,2,0.559999942779541,0.01,0.61904764175415,"cone"
"audiology-std",512,2,0.639999985694885,0.1,0.61904764175415,"rect"
"audiology-std",512,8,0.639999985694885,1,0.576190513372421,"cone"
"audiology-std",1024,8,0.439999997615814,0.01,0.571428596973419,"cone"
"audiology-std",256,2,0.519999980926514,0.01,0.571428596973419,"rect"
"audiology-std",256,8,0.359999984502792,0.01,0.566666692495346,"cone"
