"dataset","layerForm","testAccuracy","nlayers","learningrate","valAccuracy","nhidden"
"balance-scale","rect",0.923076987266541,2,0.01,0.879545450210571,512
"balance-scale","rect",0.923076927661896,4,1,0.872727274894714,512
"balance-scale","rect",0.89102566242218,3,1,0.865909099578858,512
"balance-scale","cone",0.916666686534882,2,0.1,0.856818199157715,1024
"balance-scale","rect",0.910256445407867,3,0.1,0.847727298736572,1024
"balance-scale","cone",0.89102566242218,2,0.01,0.847727298736572,1024
"balance-scale","rect",0.903846204280853,2,1,0.847727298736572,256
"balance-scale","rect",0.897435903549194,8,1,0.845454573631287,1024
"balance-scale","rect",0.903846144676208,4,1,0.843181848526001,1024
"balance-scale","rect",0.916666686534882,3,1,0.843181848526001,1024
"balance-scale","rect",0.910256445407867,3,1,0.843181848526001,256
"balance-scale","rect",0.897435963153839,8,0.1,0.840909123420715,1024
"balance-scale","cone",0.903846144676208,8,1,0.840909123420715,512
"balance-scale","rect",0.916666686534882,8,1,0.840909123420715,512
"balance-scale","cone",0.910256385803223,3,0.1,0.840909123420715,1024
"balance-scale","rect",0.903846204280853,2,0.01,0.840909123420715,1024
"balance-scale","cone",0.903846144676208,2,0.1,0.840909123420715,512
"balance-scale","rect",0.910256445407867,2,1,0.840909123420715,1024
"balance-scale","rect",0.910256385803223,2,1,0.840909123420715,512
"balance-scale","rect",0.916666686534882,4,0.1,0.83863639831543,512
"balance-scale","cone",0.89102566242218,3,0.01,0.83863639831543,1024
"balance-scale","cone",0.89102566242218,3,0.1,0.83863639831543,256
"balance-scale","cone",0.897435963153839,3,1,0.83863639831543,512
"balance-scale","rect",0.910256445407867,2,0.1,0.83863639831543,256
"balance-scale","rect",0.916666686534882,2,0.1,0.838636392354965,512
"balance-scale","rect",0.910256385803223,4,0.1,0.836363673210144,1024
"balance-scale","rect",0.923076927661896,2,0.1,0.836363673210144,1024
"balance-scale","rect",0.910256445407867,3,0.1,0.83636366724968,256
"balance-scale","cone",0.910256385803223,4,0.1,0.834090948104859,1024
"balance-scale","cone",0.916666686534882,4,1,0.834090948104859,1024
"balance-scale","cone",0.910256445407867,4,0.1,0.834090942144394,512
"balance-scale","rect",0.910256445407867,3,0.1,0.834090942144394,512
"balance-scale","cone",0.910256385803223,2,1,0.834090942144394,1024
"balance-scale","cone",0.910256445407867,3,1,0.831818222999573,1024
"balance-scale","rect",0.903846144676208,8,0.1,0.831818217039108,256
"balance-scale","rect",0.865384638309479,4,0.01,0.829545497894287,256
"balance-scale","cone",0.897435963153839,2,0.1,0.829545497894287,256
"balance-scale","cone",0.897435903549194,2,1,0.829545485973358,256
"balance-scale","cone",0.910256385803223,8,0.1,0.827272772789002,1024
"balance-scale","cone",0.910256385803223,4,0.1,0.827272772789002,256
"balance-scale","cone",0.891025722026825,16,0.1,0.827272766828537,512
"balance-scale","cone",0.871794939041138,16,1,0.827272748947144,1024
"balance-scale","rect",0.89102566242218,4,0.01,0.82272732257843,1024
"balance-scale","rect",0.89102566242218,4,0.01,0.82272732257843,512
"balance-scale","cone",0.865384638309479,3,0.01,0.82272732257843,256
