"dataset","nhidden","learningrate","nlayers","testAccuracy","layerForm","valAccuracy"
"balloons",1024,0.01,2,1,"cone",0.666666686534881
"balloons",512,0.01,3,0.5,"rect",0.633333352208137
"balloons",256,0.01,2,0.75,"rect",0.633333352208137
"balloons",512,1,16,0.75,"rect",0.600000017881393
"balloons",256,1,16,0.25,"rect",0.600000017881393
"balloons",1024,1,3,0.25,"rect",0.600000017881393
"balloons",512,1,32,0.25,"rect",0.566666683554649
"balloons",1024,1,4,0.25,"rect",0.566666683554649
"balloons",512,0.01,3,0.5,"cone",0.566666683554649
"balloons",1024,1,2,0.25,"rect",0.566666683554649
"balloons",512,1,2,0.25,"rect",0.566666683554649
"balloons",256,1,32,0.75,"rect",0.566666683554649
"balloons",512,1,4,0.75,"rect",0.566666683554649
"balloons",1024,1,2,0.75,"cone",0.566666683554649
"balloons",256,1,2,0.75,"rect",0.566666683554649
"balloons",512,0.1,3,0.75,"rect",0.566666680574417
"balloons",1024,1,16,0.75,"rect",0.533333349227905
"balloons",1024,1,8,0.75,"cone",0.533333349227905
"balloons",512,1,8,0.75,"rect",0.533333349227905
"balloons",256,1,8,0.25,"cone",0.533333349227905
"balloons",256,1,4,0.75,"cone",0.533333349227905
"balloons",256,1,3,0.25,"cone",0.533333349227905
"balloons",512,1,2,0.25,"cone",0.533333349227905
"balloons",512,0.1,2,0.75,"cone",0.533333346247673
"balloons",512,1,16,0.25,"cone",0.500000014901161
"balloons",256,1,32,0.75,"cone",0.500000014901161
"balloons",1024,1,16,0.25,"cone",0.500000014901161
"balloons",1024,1,3,0.75,"cone",0.500000014901161
"balloons",256,1,3,0.75,"rect",0.500000014901161
"balloons",256,1,2,0.75,"cone",0.500000014901161
"balloons",1024,1,8,0.75,"rect",0.500000014901161
"balloons",512,1,8,0.75,"cone",0.500000014901161
"balloons",1024,0.1,4,0.75,"cone",0.500000011920929
"balloons",256,0.1,2,0.25,"cone",0.466666680574417
"balloons",1024,1,32,0.25,"rect",0.466666680574417
"balloons",512,1,4,0.25,"cone",0.466666680574417
"balloons",512,1,3,0.75,"rect",0.466666680574417
"balloons",1024,1,32,0.75,"cone",0.466666680574417
"balloons",256,1,4,0.75,"rect",0.466666680574417
"balloons",512,1,3,0.25,"cone",0.466666680574417
"balloons",512,1,32,0.25,"cone",0.433333346247673
"balloons",256,1,16,0.75,"cone",0.433333346247673
"balloons",1024,0.1,8,0.75,"rect",0.433333346247673
"balloons",256,1,8,0.25,"rect",0.433333346247673
"balloons",1024,1,4,0.25,"cone",0.433333346247673
"balloons",1024,0.1,3,0.25,"rect",0.433333346247673
"balloons",256,0.1,4,0.75,"rect",0.433333346247673
"balloons",256,0.01,3,0.75,"cone",0.433333346247673
"balloons",1024,0.1,32,0.75,"rect",0.400000011920929
"balloons",256,0.1,16,0.75,"rect",0.400000011920929
"balloons",512,0.1,32,0.75,"rect",0.400000011920929
"balloons",1024,0.01,3,0.75,"cone",0.400000011920929
"balloons",1024,0.01,4,0.75,"cone",0.400000008940697
"balloons",1024,0.1,4,0.75,"rect",0.366666677594185
"balloons",512,0.1,4,0.75,"cone",0.366666677594185
"balloons",256,0.1,32,0.75,"rect",0.366666677594185
"balloons",512,0.1,16,0.75,"rect",0.366666677594185
"balloons",512,0.1,8,0.75,"rect",0.366666677594185
"balloons",1024,0.01,4,0.75,"rect",0.366666677594185
"balloons",1024,0.1,3,0.75,"cone",0.366666677594185
"balloons",512,0.01,2,0.75,"cone",0.366666677594185
"balloons",512,0.01,2,0.25,"rect",0.366666677594185
"balloons",1024,0.1,2,0.75,"rect",0.366666677594185
"balloons",256,0.1,2,0.75,"rect",0.366666677594185
"balloons",256,0.1,4,0.5,"cone",0.333333343267441
"balloons",1024,0.01,32,0.75,"cone",0.333333343267441
"balloons",1024,0.01,32,0.75,"rect",0.333333343267441
"balloons",512,0.01,32,0.75,"cone",0.333333343267441
"balloons",512,0.01,32,0.75,"rect",0.333333343267441
"balloons",256,0.01,32,0.75,"cone",0.333333343267441
"balloons",256,0.01,32,0.75,"rect",0.333333343267441
"balloons",1024,0.1,32,0.75,"cone",0.333333343267441
"balloons",512,0.1,32,0.75,"cone",0.333333343267441
"balloons",256,0.1,32,0.75,"cone",0.333333343267441
"balloons",1024,0.01,16,0.75,"cone",0.333333343267441
"balloons",1024,0.01,16,0.75,"rect",0.333333343267441
"balloons",512,0.01,16,0.75,"cone",0.333333343267441
"balloons",512,0.01,16,0.75,"rect",0.333333343267441
"balloons",256,0.01,16,0.75,"cone",0.333333343267441
"balloons",256,0.01,16,0.75,"rect",0.333333343267441
"balloons",1024,0.1,16,0.75,"cone",0.333333343267441
"balloons",1024,0.1,16,0.75,"rect",0.333333343267441
"balloons",512,0.1,16,0.75,"cone",0.333333343267441
"balloons",256,0.1,16,0.75,"cone",0.333333343267441
"balloons",1024,0.01,8,0.75,"cone",0.333333343267441
"balloons",1024,0.01,8,0.75,"rect",0.333333343267441
"balloons",512,0.01,8,0.75,"cone",0.333333343267441
"balloons",512,0.01,8,0.75,"rect",0.333333343267441
"balloons",256,0.01,8,0.75,"cone",0.333333343267441
"balloons",256,0.01,8,0.75,"rect",0.333333343267441
"balloons",1024,0.1,8,0.75,"cone",0.333333343267441
"balloons",512,0.1,8,0.75,"cone",0.333333343267441
"balloons",256,0.1,8,0.75,"cone",0.333333343267441
"balloons",256,0.1,8,0.75,"rect",0.333333343267441
"balloons",512,0.01,4,0.75,"cone",0.333333343267441
"balloons",512,0.01,4,0.75,"rect",0.333333343267441
"balloons",256,0.01,4,0.75,"rect",0.333333343267441
"balloons",512,0.1,4,0.75,"rect",0.333333343267441
"balloons",1024,0.01,3,0.75,"rect",0.333333343267441
"balloons",256,0.01,3,0.75,"rect",0.333333343267441
"balloons",256,0.1,3,0.75,"cone",0.333333343267441
"balloons",256,0.1,3,0.75,"rect",0.333333343267441
"balloons",1024,0.01,2,0.75,"rect",0.333333343267441
"balloons",1024,0.1,2,0.75,"cone",0.333333343267441
"balloons",512,0.1,2,0.75,"rect",0.333333343267441
"balloons",512,0.1,3,0.75,"cone",0.300000008940697
"balloons",256,0.01,4,0.25,"cone",0.233333340287209
"balloons",256,0.01,2,0.25,"cone",0
