"dataset","nhidden","learningrate","testAccuracy","valAccuracy","layerForm","nlayers"
"breast-cancer-wisc-prog",1024,1,0.775510191917419,0.8307692527771,"rect",3
"breast-cancer-wisc-prog",1024,1,0.795918345451355,0.800000047683716,"rect",4
"breast-cancer-wisc-prog",256,1,0.775510191917419,0.800000023841858,"cone",4
"breast-cancer-wisc-prog",1024,1,0.775510191917419,0.792307764291763,"rect",8
"breast-cancer-wisc-prog",256,0.01,0.775510191917419,0.792307764291763,"rect",2
"breast-cancer-wisc-prog",512,1,0.775510191917419,0.792307758331299,"cone",3
"breast-cancer-wisc-prog",512,1,0.775510191917419,0.784615457057953,"rect",4
"breast-cancer-wisc-prog",512,1,0.836734652519226,0.784615433216095,"rect",2
"breast-cancer-wisc-prog",256,0.01,0.775510191917419,0.776923149824142,"rect",3
"breast-cancer-wisc-prog",1024,0.1,0.775510191917419,0.776923143863678,"rect",8
"breast-cancer-wisc-prog",512,1,0.673469364643097,0.776923131942749,"rect",3
"breast-cancer-wisc-prog",1024,0.01,0.775510191917419,0.769230842590332,"cone",32
"breast-cancer-wisc-prog",512,0.01,0.775510191917419,0.769230842590332,"cone",32
"breast-cancer-wisc-prog",256,0.01,0.775510191917419,0.769230842590332,"cone",32
"breast-cancer-wisc-prog",1024,0.1,0.775510191917419,0.769230842590332,"cone",32
"breast-cancer-wisc-prog",512,0.1,0.775510191917419,0.769230842590332,"cone",32
"breast-cancer-wisc-prog",256,0.1,0.775510191917419,0.769230842590332,"cone",32
"breast-cancer-wisc-prog",256,0.1,0.775510191917419,0.769230842590332,"rect",32
"breast-cancer-wisc-prog",1024,1,0.775510191917419,0.769230842590332,"rect",32
"breast-cancer-wisc-prog",512,1,0.775510191917419,0.769230842590332,"cone",32
"breast-cancer-wisc-prog",512,1,0.775510191917419,0.769230842590332,"rect",32
"breast-cancer-wisc-prog",256,1,0.775510191917419,0.769230842590332,"cone",32
"breast-cancer-wisc-prog",256,1,0.775510191917419,0.769230842590332,"rect",32
"breast-cancer-wisc-prog",1024,0.01,0.775510191917419,0.769230842590332,"cone",16
"breast-cancer-wisc-prog",1024,0.01,0.775510191917419,0.769230842590332,"rect",16
"breast-cancer-wisc-prog",512,0.01,0.775510191917419,0.769230842590332,"cone",16
"breast-cancer-wisc-prog",512,0.01,0.775510191917419,0.769230842590332,"rect",16
"breast-cancer-wisc-prog",256,0.01,0.775510191917419,0.769230842590332,"cone",16
"breast-cancer-wisc-prog",256,0.01,0.775510191917419,0.769230842590332,"rect",16
"breast-cancer-wisc-prog",1024,0.1,0.775510191917419,0.769230842590332,"cone",16
"breast-cancer-wisc-prog",512,0.1,0.775510191917419,0.769230842590332,"cone",16
"breast-cancer-wisc-prog",512,0.1,0.775510191917419,0.769230842590332,"rect",16
"breast-cancer-wisc-prog",256,0.1,0.775510191917419,0.769230842590332,"cone",16
"breast-cancer-wisc-prog",256,0.1,0.775510191917419,0.769230842590332,"rect",16
"breast-cancer-wisc-prog",1024,1,0.775510191917419,0.769230842590332,"rect",16
