"dataset","valAccuracy","nhidden","nlayers","learningrate","testAccuracy","layerForm"
"breast-tissue",0.777777791023254,1024,4,0.01,0.46153849363327,"cone"
"breast-tissue",0.766666680574417,1024,8,0.1,0.346153855323792,"cone"
"breast-tissue",0.766666680574417,256,4,0.01,0.423076957464218,"rect"
"breast-tissue",0.766666680574417,1024,3,0.01,0.423076957464218,"cone"
"breast-tissue",0.75555557012558,1024,16,0.01,0.576923131942749,"rect"
"breast-tissue",0.75555557012558,1024,2,0.01,0.538461565971375,"rect"
"breast-tissue",0.744444459676742,512,4,0.01,0.538461565971375,"rect"
"breast-tissue",0.744444459676742,512,3,0.01,0.423076927661896,"rect"
"breast-tissue",0.744444459676742,256,2,0.01,0.538461565971375,"rect"
"breast-tissue",0.733333349227905,256,8,0.1,0.46153849363327,"cone"
"breast-tissue",0.733333349227905,1024,3,0.1,0.384615421295166,"cone"
"breast-tissue",0.733333349227905,256,2,0.1,0.538461565971375,"rect"
"breast-tissue",0.722222238779068,512,2,0.01,0.384615421295166,"cone"
"breast-tissue",0.722222238779068,1024,2,0.1,0.46153849363327,"cone"
"breast-tissue",0.722222238779068,512,2,0.1,0.576923131942749,"cone"
"breast-tissue",0.722222238779068,256,2,0.1,0.46153849363327,"cone"
"breast-tissue",0.711111128330231,512,4,0.1,0.423076957464218,"cone"
"breast-tissue",0.711111128330231,1024,3,0.1,0.5,"rect"
"breast-tissue",0.711111128330231,512,3,0.1,0.538461565971375,"cone"
"breast-tissue",0.700000017881393,512,3,0.01,0.5,"cone"
"breast-tissue",0.700000017881393,1024,2,1,0.46153849363327,"rect"
"breast-tissue",0.688888907432556,512,2,0.1,0.46153849363327,"rect"
"breast-tissue",0.677777796983719,1024,4,0.1,0.46153849363327,"cone"
"breast-tissue",0.677777796983719,512,4,1,0.46153849363327,"cone"
"breast-tissue",0.666666686534881,1024,4,0.01,0.346153855323792,"rect"
"breast-tissue",0.666666686534881,1024,4,1,0.538461565971375,"cone"
"breast-tissue",0.666666686534881,256,3,0.01,0.5,"cone"
"breast-tissue",0.666666686534881,1024,2,0.01,0.538461565971375,"cone"
"breast-tissue",0.666666686534881,256,2,0.01,0.346153855323792,"cone"
