"dataset","learningrate","nlayers","layerForm","testAccuracy","valAccuracy","nhidden"
"chess-krvk",0.1,8,"rect",0.87810093164444,0.875823104381561,512
"chess-krvk",0.1,8,"rect",0.876390099525452,0.875446796417236,1024
"chess-krvk",0.1,16,"rect",0.872398018836975,0.871589797735214,1024
"chess-krvk",0.1,8,"rect",0.874108910560608,0.86876757144928,256
"chess-krvk",0.1,4,"rect",0.870829701423645,0.868344253301621,1024
"chess-krvk",0.1,4,"rect",0.860992252826691,0.865145748853683,512
"chess-krvk",0.1,16,"rect",0.863415956497192,0.864063930511475,512
"chess-krvk",0.01,16,"rect",0.862417936325073,0.862464678287506,1024
"chess-krvk",0.1,8,"cone",0.868691146373749,0.860677301883698,1024
"chess-krvk",1,8,"cone",0.845451951026917,0.859172129631043,1024
"chess-krvk",0.1,3,"rect",0.865269422531128,0.858325415849686,1024
"chess-krvk",1,8,"cone",0.847590446472168,0.853386610746384,512
"chess-krvk",0.1,8,"cone",0.851297378540039,0.852869200706482,512
"chess-krvk",0.1,16,"cone",0.862845659255981,0.852822160720825,1024
"chess-krvk",0.1,3,"rect",0.856857657432556,0.852775102853775,512
"chess-krvk",0.01,8,"rect",0.852152824401855,0.851881444454193,1024
"chess-krvk",1,4,"cone",0.849016189575195,0.851128834486008,1024
"chess-krvk",0.1,3,"rect",0.850869596004486,0.850282162427902,256
"chess-krvk",0.1,16,"rect",0.850869655609131,0.849717730283737,256
"chess-krvk",0.1,4,"cone",0.84302818775177,0.848965185880661,1024
"chess-krvk",1,8,"rect",0.856144785881042,0.848541808128357,256
"chess-krvk",1,4,"rect",0.836042106151581,0.847883296012878,256
"chess-krvk",0.01,16,"rect",0.846735060214996,0.846519219875336,512
"chess-krvk",1,16,"cone",0.824066162109375,0.842474102973938,1024
"chess-krvk",1,4,"rect",0.838038206100464,0.842474091053009,512
"chess-krvk",0.1,4,"rect",0.85315078496933,0.842191857099533,256
"chess-krvk",0.1,16,"cone",0.839463889598846,0.841627407073975,512
"chess-krvk",0.01,16,"cone",0.823068082332611,0.841204088926315,1024
"chess-krvk",1,8,"rect",0.852723062038422,0.840592628717423,512
"chess-krvk",0.01,16,"rect",0.838180780410767,0.83847599029541,256
"chess-krvk",0.01,8,"rect",0.845594584941864,0.838193744421005,512
"chess-krvk",1,16,"cone",0.833190739154816,0.834901160001755,512
"chess-krvk",0.1,8,"cone",0.837610483169556,0.831420463323593,256
