"dataset","learningrate","layerForm","valAccuracy","nlayers","nhidden","testAccuracy"
"cylinder-bands",1,"cone",0.768085134029388,2,1024,0.75
"cylinder-bands",0.01,"rect",0.765957474708557,4,512,0.71875
"cylinder-bands",0.01,"rect",0.765957474708557,4,256,0.65625
"cylinder-bands",0.01,"rect",0.757446837425232,3,256,0.671875
"cylinder-bands",0.1,"rect",0.755319178104401,8,256,0.6328125
"cylinder-bands",0.01,"rect",0.748936200141907,3,1024,0.71875
"cylinder-bands",0.1,"cone",0.746808540821075,8,512,0.640625
"cylinder-bands",0.1,"cone",0.746808540821075,16,512,0.671875
"cylinder-bands",0.1,"rect",0.746808540821075,8,512,0.6640625
"cylinder-bands",0.01,"cone",0.746808540821075,3,512,0.6796875
"cylinder-bands",0.1,"rect",0.744680881500244,16,512,0.6484375
"cylinder-bands",0.1,"rect",0.744680881500244,8,1024,0.6640625
"cylinder-bands",0.01,"rect",0.744680881500244,4,1024,0.6796875
"cylinder-bands",0.01,"cone",0.744680881500244,4,512,0.6875
"cylinder-bands",0.1,"rect",0.744680881500244,4,1024,0.71875
"cylinder-bands",0.1,"rect",0.744680881500244,4,256,0.671875
"cylinder-bands",0.1,"cone",0.744680881500244,3,1024,0.703125
"cylinder-bands",0.01,"cone",0.742553222179413,2,1024,0.671875
"cylinder-bands",0.1,"cone",0.740425562858582,3,256,0.671875
"cylinder-bands",0.1,"rect",0.73829790353775,4,512,0.6875
"cylinder-bands",1,"cone",0.73829790353775,4,256,0.7265625
"cylinder-bands",0.01,"cone",0.736170244216919,32,512,0.65625
"cylinder-bands",0.1,"cone",0.734042584896088,2,256,0.6875
"cylinder-bands",1,"cone",0.731914925575257,8,256,0.78125
"cylinder-bands",0.1,"cone",0.731914925575256,4,1024,0.71875
"cylinder-bands",0.1,"rect",0.731914925575256,2,256,0.6875
"cylinder-bands",0.1,"cone",0.729787266254425,2,512,0.7890625
"cylinder-bands",0.1,"cone",0.723404288291931,2,1024,0.6875
"cylinder-bands",0.1,"rect",0.723404288291931,2,1024,0.734375
"cylinder-bands",0.1,"cone",0.719148969650269,8,256,0.6953125
"cylinder-bands",0.01,"cone",0.719148969650269,2,256,0.703125
"cylinder-bands",1,"cone",0.719148969650269,3,512,0.7734375
