"dataset","valAccuracy","nlayers","testAccuracy","learningrate","layerForm","nhidden"
"echocardiogram",1,16,0.848484873771667,0.1,"cone",256
"echocardiogram",1,8,0.878787875175476,0.1,"cone",1024
"echocardiogram",1,8,0.757575750350952,0.1,"rect",1024
"echocardiogram",1,8,0.757575750350952,0.1,"cone",512
"echocardiogram",1,8,0.696969747543335,0.1,"rect",512
"echocardiogram",1,8,0.727272748947144,0.1,"rect",256
"echocardiogram",1,4,0.818181872367859,0.01,"rect",1024
"echocardiogram",1,4,0.787878751754761,0.01,"rect",512
"echocardiogram",1,4,0.787878751754761,0.01,"cone",256
"echocardiogram",1,4,0.787878751754761,0.01,"rect",256
"echocardiogram",1,4,0.848484873771667,0.1,"cone",1024
"echocardiogram",1,4,0.787878751754761,0.1,"rect",1024
"echocardiogram",1,4,0.818181872367859,0.1,"cone",512
"echocardiogram",1,4,0.818181872367859,0.1,"rect",512
"echocardiogram",1,4,0.818181872367859,0.1,"rect",256
"echocardiogram",1,4,0.787878751754761,1,"cone",1024
"echocardiogram",1,4,0.787878751754761,1,"cone",256
"echocardiogram",1,3,0.787878751754761,0.01,"cone",1024
"echocardiogram",1,3,0.818181872367859,0.01,"rect",1024
"echocardiogram",1,3,0.787878751754761,0.01,"cone",512
"echocardiogram",1,3,0.787878751754761,0.01,"rect",512
"echocardiogram",1,3,0.757575750350952,0.01,"cone",256
"echocardiogram",1,3,0.818181872367859,0.01,"rect",256
"echocardiogram",1,3,0.848484873771667,0.1,"cone",1024
"echocardiogram",1,3,0.787878751754761,0.1,"rect",1024
"echocardiogram",1,3,0.818181872367859,0.1,"cone",512
"echocardiogram",1,3,0.757575750350952,0.1,"rect",512
"echocardiogram",1,3,0.818181872367859,0.1,"cone",256
"echocardiogram",1,3,0.757575750350952,0.1,"rect",256
"echocardiogram",1,3,0.666666626930237,1,"cone",1024
"echocardiogram",1,3,0.696969747543335,1,"rect",1024
"echocardiogram",1,3,0.666666626930237,1,"cone",512
"echocardiogram",1,3,0.848484873771667,1,"rect",512
"echocardiogram",1,3,0.757575750350952,1,"cone",256
"echocardiogram",1,3,0.575757622718811,1,"rect",256
"echocardiogram",1,2,0.757575750350952,0.01,"cone",1024
"echocardiogram",1,2,0.696969747543335,0.01,"rect",1024
"echocardiogram",1,2,0.818181872367859,0.01,"cone",512
"echocardiogram",1,2,0.818181872367859,0.01,"rect",512
"echocardiogram",1,2,0.818181872367859,0.01,"cone",256
"echocardiogram",1,2,0.818181872367859,0.01,"rect",256
"echocardiogram",1,2,0.787878751754761,0.1,"cone",1024
"echocardiogram",1,2,0.787878751754761,0.1,"rect",1024
"echocardiogram",1,2,0.696969747543335,0.1,"cone",512
"echocardiogram",1,2,0.818181872367859,0.1,"rect",512
"echocardiogram",1,2,0.727272748947144,0.1,"cone",256
"echocardiogram",1,2,0.848484873771667,0.1,"rect",256
"echocardiogram",1,2,0.787878751754761,1,"rect",1024
"echocardiogram",1,2,0.757575750350952,1,"cone",512
"echocardiogram",1,2,0.818181872367859,1,"rect",512
"echocardiogram",1,2,0.757575750350952,1,"cone",256
"echocardiogram",0.980000001192093,4,0.787878751754761,0.01,"cone",1024
"echocardiogram",0.980000001192093,2,0.666666626930237,1,"cone",1024
"echocardiogram",0.920000004768372,4,0.636363625526428,1,"rect",512
"echocardiogram",0.900000005960465,4,0.666666626930237,1,"cone",512
"echocardiogram",0.900000005960464,2,0.666666626930237,1,"rect",256
"echocardiogram",0.900000002980232,8,0.636363625526428,1,"rect",256
"echocardiogram",0.900000002980232,4,0.666666626930237,1,"rect",1024
"echocardiogram",0.880000007152558,16,0.696969747543335,0.01,"cone",1024
"echocardiogram",0.860000008344651,4,0.727272748947144,0.01,"cone",512
"echocardiogram",0.840000009536743,4,0.787878751754761,1,"rect",256
"echocardiogram",0.820000010728836,8,0.696969747543335,0.01,"rect",512
"echocardiogram",0.820000010728836,8,0.696969747543335,0.01,"rect",256
"echocardiogram",0.820000010728836,4,0.696969747543335,0.1,"cone",256
"echocardiogram",0.800000011920929,32,0.696969747543335,0.01,"cone",1024
"echocardiogram",0.800000011920929,32,0.696969747543335,0.01,"cone",512
"echocardiogram",0.800000011920929,32,0.696969747543335,0.01,"rect",256
"echocardiogram",0.800000011920929,32,0.696969747543335,0.1,"cone",1024
"echocardiogram",0.800000011920929,32,0.696969747543335,0.1,"rect",1024
"echocardiogram",0.800000011920929,32,0.696969747543335,0.1,"cone",256
"echocardiogram",0.800000011920929,32,0.696969747543335,1,"cone",1024
"echocardiogram",0.800000011920929,32,0.696969747543335,1,"cone",512
"echocardiogram",0.800000011920929,32,0.696969747543335,1,"rect",512
"echocardiogram",0.800000011920929,32,0.696969747543335,1,"cone",256
"echocardiogram",0.800000011920929,32,0.696969747543335,1,"rect",256
"echocardiogram",0.800000011920929,16,0.696969747543335,0.01,"rect",1024
"echocardiogram",0.800000011920929,16,0.696969747543335,0.01,"cone",512
"echocardiogram",0.800000011920929,16,0.696969747543335,0.01,"rect",512
"echocardiogram",0.800000011920929,16,0.696969747543335,0.01,"cone",256
"echocardiogram",0.800000011920929,16,0.696969747543335,0.01,"rect",256
"echocardiogram",0.800000011920929,16,0.696969747543335,0.1,"cone",1024
"echocardiogram",0.800000011920929,16,0.696969747543335,1,"cone",1024
"echocardiogram",0.800000011920929,16,0.696969747543335,1,"cone",512
"echocardiogram",0.800000011920929,16,0.696969747543335,1,"cone",256
"echocardiogram",0.800000011920929,16,0.696969747543335,1,"rect",256
"echocardiogram",0.800000011920929,8,0.696969747543335,0.01,"cone",1024
"echocardiogram",0.800000011920929,8,0.696969747543335,0.01,"rect",1024
"echocardiogram",0.800000011920929,8,0.696969747543335,0.01,"cone",512
"echocardiogram",0.800000011920929,8,0.696969747543335,0.01,"cone",256
"echocardiogram",0.800000011920929,8,0.696969747543335,1,"cone",512
"echocardiogram",0.780000013113022,32,0.696969747543335,0.01,"cone",256
"echocardiogram",0.78000001013279,8,0.60606062412262,1,"rect",1024
"echocardiogram",0.740000011026859,32,0.696969747543335,0.1,"cone",512
"echocardiogram",0.740000011026859,16,0.696969747543335,1,"rect",1024
"echocardiogram",0.700000017881394,8,0.60606062412262,1,"cone",256
"echocardiogram",0.680000013113022,16,0.575757622718811,0.1,"cone",512
"echocardiogram",0.68000001013279,32,0.30303031206131,0.1,"rect",512
"echocardiogram",0.68000001013279,16,0.696969747543335,0.1,"rect",256
"echocardiogram",0.500000008940697,8,0.454545468091965,1,"rect",512
"echocardiogram",0.480000008642674,16,0.30303031206131,1,"rect",512
"echocardiogram",0.440000006556511,32,0.30303031206131,0.1,"rect",256
"echocardiogram",0.380000011622906,8,0.363636374473572,0.1,"cone",256
"echocardiogram",0.320000004768372,16,0.30303031206131,0.1,"rect",1024
"echocardiogram",0.280000004172325,8,0.30303031206131,1,"cone",1024
"echocardiogram",0.260000003874302,32,0.30303031206131,0.01,"rect",1024
"echocardiogram",0.260000003874302,16,0.30303031206131,0.1,"rect",512
"echocardiogram",0.200000002980232,32,0.30303031206131,0.01,"rect",512
"echocardiogram",0.200000002980232,32,0.30303031206131,1,"rect",1024
