"dataset","layerForm","valAccuracy","testAccuracy","nhidden","nlayers","learningrate"
"ecoli","cone",0.899999916553498,0.821428596973419,256,2,0.01
"ecoli","rect",0.858536523580551,0.821428596973419,256,3,1
"ecoli","rect",0.851219469308853,0.785714328289032,256,2,0.01
"ecoli","cone",0.85121945142746,0.809523820877075,1024,3,0.1
"ecoli","cone",0.848780435323715,0.797619104385376,512,8,1
"ecoli","rect",0.843902391195297,0.833333373069763,256,3,0.1
"ecoli","cone",0.841463392972946,0.845238149166107,256,2,1
"ecoli","cone",0.841463375091553,0.797619104385376,256,3,1
"ecoli","rect",0.839024353027344,0.809523820877075,512,2,0.1
"ecoli","cone",0.83658532500267,0.797619104385376,512,2,1
"ecoli","rect",0.831707274913788,0.773809611797333,1024,2,0.1
"ecoli","rect",0.831707274913788,0.821428656578064,1024,4,0.1
"ecoli","cone",0.831707239151001,0.785714328289032,256,3,0.1
"ecoli","rect",0.829268276691437,0.809523820877075,1024,2,0.01
"ecoli","cone",0.829268276691437,0.797619104385376,256,2,0.1
"ecoli","rect",0.829268246889114,0.797619104385376,512,4,0.1
"ecoli","cone",0.824390214681625,0.821428537368774,1024,2,0.01
"ecoli","cone",0.821951180696487,0.80952388048172,1024,3,1
"ecoli","cone",0.821951156854629,0.845238089561462,512,2,0.1
"ecoli","rect",0.817073130607605,0.761904835700989,512,4,1
"ecoli","cone",0.81707312464714,0.809523820877075,1024,2,0.1
"ecoli","rect",0.814634108543396,0.785714268684387,1024,3,0.1
"ecoli","rect",0.81219510436058,0.785714387893677,512,4,0.01
"ecoli","cone",0.807317054271698,0.785714328289032,256,4,1
"ecoli","rect",0.807317018508911,0.80952388048172,256,4,0.1
"ecoli","cone",0.804877996444702,0.821428656578064,512,3,1
"ecoli","rect",0.802438992261887,0.833333373069763,256,2,0.1
"ecoli","rect",0.790243864059448,0.785714328289032,512,3,0.01
"ecoli","rect",0.787804847955704,0.809523820877075,512,3,0.1
"ecoli","cone",0.78780483007431,0.726190447807312,1024,2,1
"ecoli","cone",0.78536581993103,0.797619104385376,256,3,0.01
"ecoli","cone",0.78536581993103,0.821428596973419,512,2,0.01
"ecoli","rect",0.782926797866821,0.738095283508301,256,2,1
"ecoli","rect",0.782926785945892,0.761904776096344,512,2,1
"ecoli","cone",0.780487769842148,0.785714268684387,1024,4,1
"ecoli","rect",0.765853607654572,0.750000059604645,1024,3,0.01
"ecoli","rect",0.763414603471756,0.821428656578064,512,8,0.1
"ecoli","rect",0.763414597511291,0.821428537368774,1024,2,1
"ecoli","rect",0.758536559343338,0.785714328289032,512,2,0.01
"ecoli","cone",0.756097549200058,0.797619104385376,512,3,0.01
"ecoli","rect",0.756097501516342,0.750000059604645,1024,8,0.1
"ecoli","rect",0.748780459165573,0.738095223903656,256,3,0.01
