"dataset","layerForm","nlayers","testAccuracy","learningrate","valAccuracy","nhidden"
"energy-y2","rect",4,0.875,0.1,0.911428582668305,512
"energy-y2","cone",4,0.854166746139526,1,0.908571434020996,1024
"energy-y2","rect",2,0.880208432674408,0.01,0.907142865657807,1024
"energy-y2","cone",2,0.84375,0.01,0.904285734891892,256
"energy-y2","rect",3,0.822916746139526,0.01,0.902857166528702,256
"energy-y2","rect",4,0.895833432674408,0.1,0.900000011920929,1024
"energy-y2","cone",3,0.875,0.1,0.898571455478668,1024
"energy-y2","cone",8,0.84375011920929,1,0.898571443557739,512
"energy-y2","rect",4,0.84375,1,0.89142861366272,256
"energy-y2","cone",2,0.880208373069763,0.1,0.891428583860397,1024
"energy-y2","rect",3,0.89062511920929,0.1,0.888571441173553,1024
"energy-y2","cone",2,0.880208492279053,0.1,0.88714285492897,512
"energy-y2","rect",8,0.885416746139526,0.1,0.882857149839401,512
"energy-y2","cone",2,0.864583373069763,0.01,0.875714296102524,1024
"energy-y2","rect",3,0.869791746139526,0.01,0.875714290142059,1024
"energy-y2","rect",3,0.75,1,0.87428572177887,512
"energy-y2","rect",2,0.81250011920929,1,0.868571448326111,512
"energy-y2","rect",3,0.854166686534882,0.1,0.865714281797409,512
"energy-y2","rect",2,0.838541746139526,0.01,0.864285725355148,512
"energy-y2","rect",2,0.859375,0.1,0.858571428060531,256
"energy-y2","cone",2,0.833333373069763,0.1,0.857142865657806,256
"energy-y2","rect",2,0.833333492279053,0.1,0.852857178449631,512
"energy-y2","rect",4,0.828125,0.01,0.851428592205048,512
"energy-y2","rect",3,0.807291686534882,0.1,0.842857152223587,256
"energy-y2","cone",3,0.812500059604645,0.1,0.837142860889435,512
"energy-y2","rect",2,0.81250011920929,1,0.83571429848671,256
"energy-y2","rect",3,0.770833492279053,1,0.827142882347107,256
"energy-y2","cone",4,0.833333373069763,1,0.827142870426178,512
"energy-y2","cone",3,0.744791686534882,0.01,0.825714296102524,1024
"energy-y2","rect",2,0.875,0.1,0.824285727739334,1024
"energy-y2","rect",2,0.833333313465118,0.01,0.824285715818405,256
