"dataset","nlayers","testAccuracy","nhidden","layerForm","valAccuracy","learningrate"
"fertility",3,0.679999947547913,256,"rect",0.94285717010498,1
"fertility",3,0.719999969005585,1024,"rect",0.914285755157471,1
"fertility",2,0.879999995231628,512,"cone",0.885714340209961,0.01
"fertility",4,0.679999947547913,256,"rect",0.885714328289032,1
"fertility",2,0.879999995231628,256,"cone",0.871428632736206,0.01
"fertility",32,0.879999995231628,1024,"cone",0.857142925262451,0.01
"fertility",32,0.879999995231628,256,"cone",0.857142925262451,0.01
"fertility",32,0.879999995231628,256,"rect",0.857142925262451,0.01
"fertility",32,0.879999995231628,1024,"cone",0.857142925262451,0.1
"fertility",32,0.879999995231628,1024,"rect",0.857142925262451,0.1
"fertility",32,0.879999995231628,512,"cone",0.857142925262451,0.1
"fertility",32,0.879999995231628,256,"cone",0.857142925262451,0.1
"fertility",32,0.879999995231628,1024,"cone",0.857142925262451,1
"fertility",32,0.879999995231628,512,"rect",0.857142925262451,1
"fertility",32,0.879999995231628,256,"cone",0.857142925262451,1
"fertility",32,0.879999995231628,256,"rect",0.857142925262451,1
"fertility",16,0.879999995231628,1024,"cone",0.857142925262451,0.01
"fertility",16,0.879999995231628,1024,"rect",0.857142925262451,0.01
"fertility",16,0.879999995231628,512,"cone",0.857142925262451,0.01
"fertility",16,0.879999995231628,512,"rect",0.857142925262451,0.01
"fertility",16,0.879999995231628,256,"cone",0.857142925262451,0.01
"fertility",16,0.879999995231628,256,"rect",0.857142925262451,0.01
"fertility",16,0.879999995231628,1024,"cone",0.857142925262451,0.1
"fertility",16,0.879999995231628,512,"cone",0.857142925262451,0.1
"fertility",16,0.879999995231628,512,"rect",0.857142925262451,0.1
"fertility",16,0.879999995231628,256,"cone",0.857142925262451,0.1
"fertility",16,0.879999995231628,1024,"rect",0.857142925262451,1
"fertility",16,0.879999995231628,512,"rect",0.857142925262451,1
"fertility",16,0.879999995231628,256,"cone",0.857142925262451,1
"fertility",16,0.879999995231628,256,"rect",0.857142925262451,1
"fertility",8,0.879999995231628,1024,"cone",0.857142925262451,0.01
"fertility",8,0.879999995231628,1024,"rect",0.857142925262451,0.01
"fertility",8,0.879999995231628,512,"cone",0.857142925262451,0.01
"fertility",8,0.879999995231628,512,"rect",0.857142925262451,0.01
"fertility",8,0.879999995231628,256,"cone",0.857142925262451,0.01
"fertility",8,0.879999995231628,256,"rect",0.857142925262451,0.01
"fertility",8,0.879999995231628,1024,"cone",0.857142925262451,0.1
"fertility",8,0.879999995231628,512,"cone",0.857142925262451,0.1
"fertility",8,0.879999995231628,512,"rect",0.857142925262451,0.1
"fertility",8,0.879999995231628,256,"cone",0.857142925262451,0.1
"fertility",8,0.879999995231628,256,"rect",0.857142925262451,0.1
"fertility",8,0.879999995231628,256,"cone",0.857142925262451,1
"fertility",4,0.879999995231628,1024,"cone",0.857142925262451,0.01
"fertility",4,0.879999995231628,1024,"rect",0.857142925262451,0.01
"fertility",4,0.879999995231628,512,"cone",0.857142925262451,0.01
"fertility",4,0.879999995231628,512,"rect",0.857142925262451,0.01
"fertility",4,0.879999995231628,256,"cone",0.857142925262451,0.01
"fertility",4,0.879999995231628,256,"rect",0.857142925262451,0.01
"fertility",4,0.879999995231628,1024,"cone",0.857142925262451,0.1
"fertility",4,0.879999995231628,1024,"rect",0.857142925262451,0.1
"fertility",4,0.879999995231628,512,"cone",0.857142925262451,0.1
"fertility",4,0.879999995231628,512,"rect",0.857142925262451,0.1
"fertility",4,0.879999995231628,256,"cone",0.857142925262451,0.1
"fertility",4,0.879999995231628,256,"rect",0.857142925262451,0.1
"fertility",4,0.879999995231628,512,"cone",0.857142925262451,1
"fertility",3,0.879999995231628,1024,"cone",0.857142925262451,0.01
"fertility",3,0.879999995231628,1024,"rect",0.857142925262451,0.01
"fertility",3,0.879999995231628,512,"cone",0.857142925262451,0.01
"fertility",3,0.879999995231628,512,"rect",0.857142925262451,0.01
"fertility",3,0.879999995231628,256,"cone",0.857142925262451,0.01
"fertility",3,0.879999995231628,256,"rect",0.857142925262451,0.01
"fertility",3,0.879999995231628,1024,"cone",0.857142925262451,0.1
