"dataset","testAccuracy","nhidden","valAccuracy","learningrate","nlayers","layerForm"
"haberman-survival",0.736842095851898,1024,0.855999982357025,1,8,"rect"
"haberman-survival",0.736842095851898,256,0.855999982357025,1,3,"cone"
"haberman-survival",0.710526287555695,1024,0.855999982357025,1,3,"cone"
"haberman-survival",0.723684251308441,1024,0.855999976396561,1,4,"cone"
"haberman-survival",0.710526287555695,512,0.847999978065491,1,4,"cone"
"haberman-survival",0.723684191703796,256,0.847999978065491,0.01,3,"cone"
"haberman-survival",0.736842095851898,256,0.847999978065491,0.01,2,"cone"
"haberman-survival",0.736842095851898,256,0.847999978065491,0.1,2,"cone"
"haberman-survival",0.723684191703796,512,0.843999975919723,0.1,4,"rect"
"haberman-survival",0.736842095851898,512,0.843999975919723,0.01,3,"cone"
"haberman-survival",0.736842095851898,1024,0.843999975919723,0.01,2,"rect"
"haberman-survival",0.736842095851898,512,0.843999975919723,0.01,2,"cone"
"haberman-survival",0.723684191703796,1024,0.843999975919723,1,2,"cone"
"haberman-survival",0.736842095851898,256,0.843999975919723,1,2,"cone"
"haberman-survival",0.710526287555695,1024,0.839999979734421,0.1,8,"rect"
"haberman-survival",0.684210479259491,256,0.839999973773956,1,4,"cone"
"haberman-survival",0.736842095851898,1024,0.839999973773956,0.01,32,"cone"
"haberman-survival",0.736842095851898,512,0.839999973773956,0.01,32,"cone"
"haberman-survival",0.736842095851898,512,0.839999973773956,0.01,32,"rect"
"haberman-survival",0.736842095851898,256,0.839999973773956,0.01,32,"cone"
"haberman-survival",0.736842095851898,1024,0.839999973773956,0.1,32,"cone"
"haberman-survival",0.736842095851898,512,0.839999973773956,0.1,32,"cone"
"haberman-survival",0.736842095851898,1024,0.839999973773956,1,32,"cone"
"haberman-survival",0.736842095851898,512,0.839999973773956,1,32,"cone"
"haberman-survival",0.736842095851898,512,0.839999973773956,1,32,"rect"
"haberman-survival",0.736842095851898,256,0.839999973773956,1,32,"cone"
"haberman-survival",0.736842095851898,1024,0.839999973773956,0.01,16,"cone"
"haberman-survival",0.736842095851898,1024,0.839999973773956,0.01,16,"rect"
"haberman-survival",0.736842095851898,512,0.839999973773956,0.01,16,"cone"
"haberman-survival",0.736842095851898,512,0.839999973773956,0.01,16,"rect"
"haberman-survival",0.736842095851898,256,0.839999973773956,0.01,16,"cone"
"haberman-survival",0.736842095851898,256,0.839999973773956,0.01,16,"rect"
"haberman-survival",0.736842095851898,1024,0.839999973773956,0.1,16,"cone"
"haberman-survival",0.736842095851898,512,0.839999973773956,0.1,16,"cone"
"haberman-survival",0.736842095851898,512,0.839999973773956,0.1,16,"rect"
"haberman-survival",0.736842095851898,256,0.839999973773956,0.1,16,"cone"
"haberman-survival",0.736842095851898,1024,0.839999973773956,1,16,"cone"
"haberman-survival",0.736842095851898,512,0.839999973773956,1,16,"cone"
"haberman-survival",0.736842095851898,256,0.839999973773956,1,16,"cone"
"haberman-survival",0.736842095851898,1024,0.839999973773956,0.01,8,"cone"
"haberman-survival",0.736842095851898,1024,0.839999973773956,0.01,8,"rect"
"haberman-survival",0.736842095851898,512,0.839999973773956,0.01,8,"cone"
"haberman-survival",0.736842095851898,512,0.839999973773956,0.01,8,"rect"
"haberman-survival",0.736842095851898,256,0.839999973773956,0.01,8,"cone"
"haberman-survival",0.736842095851898,256,0.839999973773956,0.01,8,"rect"
"haberman-survival",0.736842095851898,1024,0.839999973773956,0.1,8,"cone"
"haberman-survival",0.736842095851898,512,0.839999973773956,0.1,8,"cone"
"haberman-survival",0.736842095851898,512,0.839999973773956,0.1,8,"rect"
"haberman-survival",0.736842095851898,256,0.839999973773956,0.1,8,"cone"
"haberman-survival",0.736842095851898,256,0.839999973773956,0.1,8,"rect"
"haberman-survival",0.736842095851898,256,0.839999973773956,1,8,"cone"
"haberman-survival",0.75,256,0.839999973773956,1,8,"rect"
"haberman-survival",0.736842095851898,1024,0.839999973773956,0.01,4,"cone"
"haberman-survival",0.736842095851898,1024,0.839999973773956,0.01,4,"rect"
"haberman-survival",0.736842095851898,512,0.839999973773956,0.01,4,"cone"
"haberman-survival",0.736842095851898,512,0.839999973773956,0.01,4,"rect"
"haberman-survival",0.736842095851898,256,0.839999973773956,0.01,4,"cone"
"haberman-survival",0.736842095851898,256,0.839999973773956,0.01,4,"rect"
"haberman-survival",0.736842095851898,1024,0.839999973773956,0.1,4,"cone"
"haberman-survival",0.710526287555695,1024,0.839999973773956,0.1,4,"rect"
"haberman-survival",0.736842095851898,512,0.839999973773956,0.1,4,"cone"
"haberman-survival",0.736842095851898,256,0.839999973773956,0.1,4,"cone"
"haberman-survival",0.736842095851898,256,0.839999973773956,0.1,4,"rect"
"haberman-survival",0.736842095851898,1024,0.839999973773956,0.01,3,"cone"
"haberman-survival",0.736842095851898,1024,0.839999973773956,0.01,3,"rect"
"haberman-survival",0.736842095851898,512,0.839999973773956,0.01,3,"rect"
"haberman-survival",0.736842095851898,256,0.839999973773956,0.01,3,"rect"
"haberman-survival",0.736842095851898,1024,0.839999973773956,0.1,3,"cone"
"haberman-survival",0.723684191703796,1024,0.839999973773956,0.1,3,"rect"
