"dataset","nhidden","testAccuracy","learningrate","layerForm","nlayers","valAccuracy"
"hayes-roth",256,0.75,0.01,"rect",3,0.833333373069763
"hayes-roth",256,0.785714328289032,0.1,"rect",8,0.833333367109299
"hayes-roth",512,0.642857193946838,0.1,"rect",8,0.816666698455811
"hayes-roth",1024,0.75,0.01,"rect",3,0.816666698455811
"hayes-roth",1024,0.821428596973419,0.1,"rect",4,0.758333349227905
"hayes-roth",512,0.714285731315613,0.1,"rect",4,0.733333337306976
"hayes-roth",512,0.321428596973419,0.01,"rect",2,0.733333337306976
"hayes-roth",512,0.785714328289032,0.01,"rect",4,0.725000011920929
"hayes-roth",512,0.678571462631226,0.01,"cone",3,0.716666686534882
"hayes-roth",512,0.642857193946838,0.01,"rect",3,0.708333343267441
"hayes-roth",1024,0.5,0.1,"cone",3,0.708333343267441
"hayes-roth",256,0.607142925262451,0.01,"cone",3,0.68333335518837
"hayes-roth",1024,0.607142865657806,0.01,"rect",4,0.683333349227905
"hayes-roth",256,0.5,0.1,"rect",2,0.683333349227905
"hayes-roth",512,0.357142865657806,0.1,"cone",8,0.675000017881393
"hayes-roth",256,0.321428596973419,1,"rect",2,0.675000017881393
"hayes-roth",256,0.571428596973419,0.1,"rect",4,0.666666686534881
"hayes-roth",1024,0.464285731315613,0.1,"rect",3,0.666666686534881
"hayes-roth",512,0.642857193946838,0.1,"rect",3,0.666666686534881
"hayes-roth",256,0.5,0.1,"cone",3,0.666666686534881
"hayes-roth",256,0.428571462631226,0.1,"rect",3,0.666666686534881
"hayes-roth",1024,0.464285731315613,0.01,"rect",2,0.666666686534881
"hayes-roth",512,0.392857164144516,0.1,"rect",2,0.666666686534881
"hayes-roth",256,0.357142865657806,0.1,"cone",8,0.65833335518837
"hayes-roth",512,0.321428596973419,1,"rect",3,0.650000023841858
"hayes-roth",256,0.464285731315613,0.01,"rect",4,0.641666686534882
"hayes-roth",1024,0.607142865657806,0.1,"rect",2,0.641666686534882
"hayes-roth",1024,0.535714328289032,0.1,"cone",2,0.633333361148834
"hayes-roth",256,0.178571432828903,1,"rect",3,0.633333361148834
"hayes-roth",1024,0.607142925262451,0.01,"cone",2,0.633333361148834
"hayes-roth",512,0.464285731315613,0.01,"cone",2,0.63333335518837
"hayes-roth",1024,0.28571429848671,1,"cone",2,0.625000029802322
"hayes-roth",1024,0.321428596973419,1,"rect",3,0.608333367109299
"hayes-roth",256,0.714285731315613,0.01,"rect",2,0.608333367109299
"hayes-roth",256,0.28571429848671,1,"rect",4,0.600000029802322
"hayes-roth",256,0.178571432828903,1,"cone",2,0.591666704416275
"hayes-roth",256,0.5,0.1,"cone",2,0.591666686534882
"hayes-roth",512,0.214285731315613,1,"cone",4,0.583333373069763
"hayes-roth",512,0.214285731315613,1,"rect",4,0.583333367109299
"hayes-roth",512,0.178571432828903,1,"cone",2,0.575000035762787
"hayes-roth",1024,0.607142865657806,0.1,"cone",4,0.575000029802322
"hayes-roth",256,0.142857149243355,1,"cone",4,0.558333361148834
"hayes-roth",256,0.28571429848671,0.1,"cone",16,0.558333349227905
"hayes-roth",512,0.178571432828903,1,"rect",2,0.550000023841858
"hayes-roth",1024,0.607142925262451,0.01,"cone",4,0.550000017881393
"hayes-roth",1024,0.750000059604645,0.01,"cone",3,0.53333335518837
"hayes-roth",1024,0.178571432828903,1,"cone",3,0.525000029802322
"hayes-roth",512,0.142857149243355,0.1,"cone",16,0.525000017881393
"hayes-roth",256,0.214285731315613,1,"cone",3,0.525000017881393
"hayes-roth",512,0.0357142873108387,1,"rect",8,0.516666698455811
"hayes-roth",1024,0.214285731315613,1,"rect",4,0.516666686534882
"hayes-roth",1024,0.0357142873108387,1,"rect",8,0.516666686534882
"hayes-roth",512,0.107142865657806,1,"cone",3,0.516666674613953
"hayes-roth",512,0.785714268684387,0.01,"cone",4,0.5
"hayes-roth",1024,0.0357142873108387,1,"rect",2,0.48333335518837
"hayes-roth",512,0.571428537368774,0.1,"cone",2,0.450000011920929
"hayes-roth",256,0.5,1,"rect",8,0.441666689515114
"hayes-roth",1024,0.142857149243355,1,"cone",4,0.425000017881394
