"dataset","learningrate","nhidden","layerForm","nlayers","valAccuracy","testAccuracy"
"heart-switzerland",0.01,256,"cone",4,0.614285737276077,0.387096762657166
"heart-switzerland",0.1,1024,"cone",3,0.614285737276077,0.516129016876221
"heart-switzerland",0.01,512,"cone",3,0.585714310407638,0.387096762657166
"heart-switzerland",0.01,256,"rect",4,0.571428596973419,0.483870953321457
"heart-switzerland",0.1,512,"cone",3,0.571428596973419,0.483870953321457
"heart-switzerland",0.01,512,"cone",8,0.5571428835392,0.483870953321457
"heart-switzerland",0.1,512,"rect",8,0.5571428835392,0.451612889766693
"heart-switzerland",0.1,512,"cone",2,0.5571428835392,0.483870953321457
"heart-switzerland",0.01,512,"rect",2,0.54285717010498,0.451612889766693
"heart-switzerland",0.1,1024,"cone",2,0.54285717010498,0.483870953321457
"heart-switzerland",0.01,512,"rect",4,0.514285743236542,0.483870953321457
"heart-switzerland",0.01,256,"cone",3,0.500000029802322,0.516129016876221
"heart-switzerland",0.01,1024,"rect",4,0.500000029802322,0.387096762657166
"heart-switzerland",0.1,256,"cone",16,0.485714316368103,0.419354826211929
"heart-switzerland",0.1,512,"rect",4,0.485714313387871,0.483870953321457
"heart-switzerland",0.1,256,"rect",2,0.485714307427406,0.419354826211929
"heart-switzerland",0.01,512,"rect",8,0.471428608894348,0.419354826211929
"heart-switzerland",0.1,256,"rect",8,0.471428599953651,0.290322571992874
"heart-switzerland",1,256,"rect",2,0.471428596973419,0.322580635547638
"heart-switzerland",0.01,1024,"cone",16,0.457142889499664,0.419354826211929
"heart-switzerland",0.01,256,"cone",8,0.457142889499664,0.419354826211929
"heart-switzerland",0.1,512,"cone",4,0.457142889499664,0.451612889766693
"heart-switzerland",0.1,256,"rect",4,0.442857176065445,0.451612889766693
"heart-switzerland",0.01,256,"rect",32,0.428571462631226,0.419354826211929
"heart-switzerland",0.1,256,"cone",32,0.428571462631226,0.419354826211929
"heart-switzerland",1,1024,"cone",32,0.428571462631226,0.419354826211929
"heart-switzerland",1,1024,"rect",32,0.428571462631226,0.419354826211929
"heart-switzerland",1,512,"cone",32,0.428571462631226,0.419354826211929
"heart-switzerland",1,256,"rect",32,0.428571462631226,0.419354826211929
"heart-switzerland",0.01,1024,"rect",16,0.428571462631226,0.419354826211929
"heart-switzerland",0.01,512,"cone",16,0.428571462631226,0.419354826211929
"heart-switzerland",0.01,512,"rect",16,0.428571462631226,0.419354826211929
"heart-switzerland",0.01,256,"cone",16,0.428571462631226,0.419354826211929
"heart-switzerland",0.01,256,"rect",16,0.428571462631226,0.419354826211929
"heart-switzerland",0.01,1024,"cone",8,0.428571462631226,0.419354826211929
"heart-switzerland",0.01,1024,"rect",8,0.428571462631226,0.419354826211929
"heart-switzerland",0.01,256,"rect",8,0.428571462631226,0.419354826211929
"heart-switzerland",0.1,1024,"cone",8,0.428571462631226,0.419354826211929
"heart-switzerland",0.1,512,"cone",8,0.428571462631226,0.419354826211929
"heart-switzerland",0.1,256,"cone",8,0.428571462631226,0.419354826211929
"heart-switzerland",1,256,"rect",8,0.428571462631226,0.419354826211929
