"dataset","testAccuracy","layerForm","valAccuracy","nhidden","nlayers","learningrate"
"horse-colic",0.852941155433655,"cone",0.916666686534882,512,4,1
"horse-colic",0.75,"rect",0.911111128330231,1024,4,0.01
"horse-colic",0.808823525905609,"rect",0.891666674613953,512,2,0.01
"horse-colic",0.808823525905609,"cone",0.886111116409302,256,3,1
"horse-colic",0.779411733150482,"rect",0.861111110448837,1024,3,1
"horse-colic",0.794117629528046,"cone",0.861111104488373,1024,3,1
"horse-colic",0.852941155433655,"cone",0.861111104488373,512,3,1
"horse-colic",0.779411733150482,"cone",0.858333337306976,1024,4,1
"horse-colic",0.720588207244873,"cone",0.858333325386048,512,2,0.01
"horse-colic",0.764705896377563,"cone",0.855555546283722,512,2,1
"horse-colic",0.838235318660736,"rect",0.847222220897675,256,4,1
"horse-colic",0.75,"cone",0.847222220897675,1024,3,0.01
"horse-colic",0.794117629528046,"rect",0.833333313465119,256,3,1
"horse-colic",0.75,"cone",0.833333313465119,1024,2,0.01
"horse-colic",0.691176533699036,"cone",0.82777778506279,256,2,1
"horse-colic",0.779411733150482,"rect",0.824999982118607,256,2,1
"horse-colic",0.75,"rect",0.816666698455811,1024,3,0.01
"horse-colic",0.779411733150482,"cone",0.813888877630234,256,4,1
"horse-colic",0.705882370471954,"rect",0.813888859748841,256,8,1
"horse-colic",0.794117629528046,"cone",0.808333337306976,1024,2,1
"horse-colic",0.779411733150482,"rect",0.80277778506279,1024,4,1
"horse-colic",0.764705836772919,"rect",0.797222232818604,512,8,1
"horse-colic",0.808823525905609,"cone",0.797222203016281,256,8,1
"horse-colic",0.720588266849518,"cone",0.794444465637207,512,3,0.01
"horse-colic",0.764705896377563,"cone",0.788888913393021,1024,8,1
"horse-colic",0.735294163227081,"rect",0.788888877630234,512,3,1
"horse-colic",0.632352948188782,"rect",0.786111128330231,512,16,0.1
"horse-colic",0.647058844566345,"rect",0.786111128330231,512,2,0.1
"horse-colic",0.720588266849518,"cone",0.78333335518837,1024,2,0.1
"horse-colic",0.779411733150482,"rect",0.783333349227905,512,2,1
"horse-colic",0.661764681339264,"rect",0.783333349227905,512,3,0.1
"horse-colic",0.632352948188782,"rect",0.783333349227905,256,3,0.1
"horse-colic",0.676470577716827,"cone",0.78055557012558,256,2,0.01
"horse-colic",0.632352948188782,"rect",0.777777791023254,1024,3,0.1
"horse-colic",0.661764740943909,"rect",0.777777791023254,1024,2,0.1
"horse-colic",0.764705896377563,"rect",0.777777761220932,1024,8,1
"horse-colic",0.661764681339264,"cone",0.775000017881393,1024,3,0.1
"horse-colic",0.735294103622437,"rect",0.774999982118607,1024,2,0.01
"horse-colic",0.676470577716827,"rect",0.766666674613953,1024,8,0.1
"horse-colic",0.75,"cone",0.763888913393021,512,4,0.01
"horse-colic",0.75,"rect",0.758333337306976,512,4,1
"horse-colic",0.676470637321472,"rect",0.752777796983719,256,2,0.1
"horse-colic",0.691176533699036,"rect",0.75,1024,4,0.1
"horse-colic",0.676470637321472,"rect",0.75,512,3,0.01
"horse-colic",0.617647111415863,"rect",0.74722228050232,256,3,0.01
"horse-colic",0.79411768913269,"rect",0.736111152172089,1024,16,1
"horse-colic",0.735294163227081,"rect",0.733333361148834,1024,2,1
"horse-colic",0.676470577716827,"rect",0.730555588006973,256,2,0.01
"horse-colic",0.75,"cone",0.700000011920929,512,8,1
"horse-colic",0.632352948188782,"cone",0.697222280502319,512,2,0.1
"horse-colic",0.661764740943909,"cone",0.697222274541855,512,3,0.1
"horse-colic",0.6470587849617,"cone",0.694444477558136,256,3,0.01
"horse-colic",0.602941274642944,"cone",0.680555605888367,256,2,0.1
"horse-colic",0.661764740943909,"cone",0.677777844667435,256,3,0.1
"horse-colic",0.617647111415863,"cone",0.677777826786041,1024,4,0.1
"horse-colic",0.602941274642944,"rect",0.65833340883255,256,32,0.01
"horse-colic",0.632352948188782,"rect",0.652777850627899,256,4,0.01
"horse-colic",0.602941274642944,"rect",0.65277783870697,512,8,0.1
"horse-colic",0.602941274642944,"cone",0.650000071525574,256,4,0.1
"horse-colic",0.602941274642944,"cone",0.638888955116272,1024,32,0.01
"horse-colic",0.602941274642944,"cone",0.638888955116272,512,32,0.01
"horse-colic",0.602941274642944,"cone",0.638888955116272,256,32,0.01
"horse-colic",0.602941274642944,"cone",0.638888955116272,1024,32,0.1
"horse-colic",0.602941274642944,"rect",0.638888955116272,512,32,0.1
"horse-colic",0.602941274642944,"cone",0.638888955116272,256,32,0.1
"horse-colic",0.602941274642944,"cone",0.638888955116272,1024,32,1
"horse-colic",0.602941274642944,"rect",0.638888955116272,1024,32,1
"horse-colic",0.602941274642944,"cone",0.638888955116272,512,32,1
"horse-colic",0.602941274642944,"rect",0.638888955116272,512,32,1
"horse-colic",0.602941274642944,"cone",0.638888955116272,1024,16,0.01
"horse-colic",0.602941274642944,"rect",0.638888955116272,1024,16,0.01
"horse-colic",0.602941274642944,"cone",0.638888955116272,512,16,0.01
"horse-colic",0.602941274642944,"rect",0.638888955116272,512,16,0.01
"horse-colic",0.602941274642944,"cone",0.638888955116272,256,16,0.01
"horse-colic",0.602941274642944,"rect",0.638888955116272,256,16,0.01
"horse-colic",0.602941274642944,"cone",0.638888955116272,1024,16,0.1
"horse-colic",0.602941274642944,"cone",0.638888955116272,512,16,0.1
"horse-colic",0.602941274642944,"cone",0.638888955116272,256,16,0.1
"horse-colic",0.602941274642944,"cone",0.638888955116272,1024,16,1
"horse-colic",0.602941274642944,"cone",0.638888955116272,512,16,1
"horse-colic",0.602941274642944,"cone",0.638888955116272,256,16,1
"horse-colic",0.602941274642944,"cone",0.638888955116272,1024,8,0.01
"horse-colic",0.602941274642944,"rect",0.638888955116272,1024,8,0.01
"horse-colic",0.602941274642944,"cone",0.638888955116272,512,8,0.01
"horse-colic",0.602941274642944,"rect",0.638888955116272,512,8,0.01
"horse-colic",0.602941274642944,"cone",0.638888955116272,256,8,0.01
"horse-colic",0.602941274642944,"rect",0.638888955116272,256,8,0.01
"horse-colic",0.602941274642944,"cone",0.638888955116272,1024,8,0.1
"horse-colic",0.602941274642944,"cone",0.638888955116272,512,8,0.1
"horse-colic",0.602941274642944,"cone",0.638888955116272,256,8,0.1
"horse-colic",0.602941274642944,"rect",0.638888955116272,256,8,0.1
"horse-colic",0.602941274642944,"cone",0.638888955116272,1024,4,0.01
"horse-colic",0.602941274642944,"rect",0.638888955116272,512,4,0.01
"horse-colic",0.602941274642944,"cone",0.638888955116272,256,4,0.01
"horse-colic",0.602941274642944,"cone",0.638888955116272,512,4,0.1
"horse-colic",0.602941274642944,"rect",0.638888955116272,512,4,0.1
"horse-colic",0.602941274642944,"rect",0.638888955116272,256,4,0.1
"horse-colic",0.573529481887817,"rect",0.622222280502319,256,16,0.1
"horse-colic",0.602941274642944,"rect",0.611111173033714,256,32,0.1
"horse-colic",0.602941274642944,"rect",0.611111173033714,256,32,1
"horse-colic",0.602941274642944,"rect",0.611111173033714,512,16,1
"horse-colic",0.602941274642944,"rect",0.555555608868599,1024,32,0.1
"horse-colic",0.500000059604645,"rect",0.547222253680229,512,32,0.01
"horse-colic",0.602941274642944,"cone",0.527777826786041,256,32,1
"horse-colic",0.588235318660736,"rect",0.519444489479065,256,16,1
"horse-colic",0.397058844566345,"rect",0.472222262620926,1024,32,0.01
"horse-colic",0.397058844566345,"rect",0.416666698455811,1024,16,0.1
"horse-colic",0.397058844566345,"cone",0.388888916373253,512,32,0.1
