"dataset","learningrate","testAccuracy","layerForm","nlayers","valAccuracy","nhidden"
"ilpd-indian-liver",1,0.595890402793884,"cone",8,0.654166686534882,1024
"ilpd-indian-liver",1,0.705479443073273,"cone",2,0.643750011920929,1024
"ilpd-indian-liver",1,0.712328791618347,"cone",4,0.639583361148834,1024
"ilpd-indian-liver",1,0.726027369499207,"cone",2,0.63958335518837,512
"ilpd-indian-liver",0.1,0.719178020954132,"rect",3,0.633333337306976,1024
"ilpd-indian-liver",1,0.712328732013702,"rect",2,0.631250011920929,512
"ilpd-indian-liver",0.1,0.719178020954132,"rect",2,0.631250005960464,512
"ilpd-indian-liver",0.1,0.719178080558777,"rect",2,0.63125,1024
"ilpd-indian-liver",1,0.684931516647339,"cone",3,0.629166692495346,1024
"ilpd-indian-liver",1,0.719178020954132,"rect",4,0.629166674613953,512
"ilpd-indian-liver",0.01,0.719178080558777,"rect",4,0.629166668653488,1024
"ilpd-indian-liver",0.01,0.719178080558777,"cone",3,0.629166668653488,1024
"ilpd-indian-liver",1,0.739726006984711,"cone",3,0.627083349227905,256
"ilpd-indian-liver",0.01,0.719178080558777,"rect",3,0.627083337306976,256
"ilpd-indian-liver",0.01,0.719178020954132,"rect",2,0.627083337306976,1024
"ilpd-indian-liver",0.1,0.719178020954132,"rect",2,0.627083337306976,256
"ilpd-indian-liver",1,0.671232879161835,"rect",3,0.625000023841858,512
"ilpd-indian-liver",1,0.712328791618347,"cone",8,0.625000005960464,512
"ilpd-indian-liver",0.01,0.719178080558777,"cone",32,0.625,1024
"ilpd-indian-liver",0.01,0.719178020954132,"rect",32,0.625,1024
"ilpd-indian-liver",0.01,0.719178020954132,"cone",32,0.625,512
"ilpd-indian-liver",0.01,0.719178020954132,"rect",32,0.625,512
"ilpd-indian-liver",0.01,0.719178080558777,"cone",32,0.625,256
"ilpd-indian-liver",0.01,0.719178020954132,"rect",32,0.625,256
"ilpd-indian-liver",0.1,0.719178020954132,"cone",32,0.625,1024
"ilpd-indian-liver",0.1,0.719178080558777,"rect",32,0.625,1024
"ilpd-indian-liver",0.1,0.719178080558777,"cone",32,0.625,512
"ilpd-indian-liver",0.1,0.719178080558777,"rect",32,0.625,512
"ilpd-indian-liver",0.1,0.719178080558777,"cone",32,0.625,256
"ilpd-indian-liver",1,0.719178020954132,"cone",32,0.625,1024
"ilpd-indian-liver",1,0.719178080558777,"rect",32,0.625,1024
"ilpd-indian-liver",1,0.719178020954132,"cone",32,0.625,512
"ilpd-indian-liver",1,0.719178080558777,"rect",32,0.625,512
"ilpd-indian-liver",1,0.719178020954132,"cone",32,0.625,256
"ilpd-indian-liver",0.01,0.719178080558777,"cone",16,0.625,1024
"ilpd-indian-liver",0.01,0.719178080558777,"rect",16,0.625,1024
"ilpd-indian-liver",0.01,0.719178080558777,"cone",16,0.625,512
"ilpd-indian-liver",0.01,0.719178020954132,"rect",16,0.625,512
"ilpd-indian-liver",0.01,0.719178080558777,"cone",16,0.625,256
"ilpd-indian-liver",0.01,0.719178080558777,"rect",16,0.625,256
"ilpd-indian-liver",0.1,0.719178020954132,"cone",16,0.625,1024
"ilpd-indian-liver",0.1,0.719178080558777,"rect",16,0.625,1024
"ilpd-indian-liver",0.1,0.719178020954132,"cone",16,0.625,512
"ilpd-indian-liver",0.1,0.719178080558777,"rect",16,0.625,512
"ilpd-indian-liver",0.1,0.719178080558777,"cone",16,0.625,256
"ilpd-indian-liver",0.1,0.719178020954132,"rect",16,0.625,256
"ilpd-indian-liver",1,0.719178020954132,"cone",16,0.625,1024
"ilpd-indian-liver",1,0.719178080558777,"cone",16,0.625,512
"ilpd-indian-liver",1,0.719178080558777,"rect",16,0.625,512
"ilpd-indian-liver",1,0.719178020954132,"cone",16,0.625,256
