"dataset","valAccuracy","nlayers","layerForm","testAccuracy","learningrate","nhidden"
"image-segmentation",0.899999976158142,2,"cone",0.848095118999481,0.01,1024
"image-segmentation",0.899999976158142,2,"rect",0.857618927955627,0.01,256
"image-segmentation",0.899999976158142,2,"rect",0.874285638332367,0.1,512
"image-segmentation",0.899999976158142,2,"cone",0.865237951278687,0.1,256
"image-segmentation",0.894999980926514,3,"cone",0.892380774021149,0.1,1024
"image-segmentation",0.889999985694885,4,"rect",0.881904721260071,0.1,512
"image-segmentation",0.875,4,"rect",0.750476062297821,0.01,1024
"image-segmentation",0.870000004768372,4,"cone",0.849999904632568,0.1,1024
"image-segmentation",0.870000004768372,3,"rect",0.90666651725769,0.1,512
"image-segmentation",0.870000004768372,3,"cone",0.820952355861664,0.1,256
"image-segmentation",0.870000004768372,2,"cone",0.89809513092041,0.1,1024
"image-segmentation",0.855000013113022,2,"cone",0.864761829376221,0.1,512
"image-segmentation",0.850000023841858,3,"cone",0.718571364879608,0.01,512
"image-segmentation",0.850000023841858,2,"cone",0.83857136964798,0.01,256
"image-segmentation",0.845000022649765,3,"cone",0.823809385299683,0.1,512
"image-segmentation",0.845000022649765,2,"rect",0.851904630661011,0.1,256
"image-segmentation",0.845000022649765,2,"rect",0.828095197677612,1,256
"image-segmentation",0.840000021457672,4,"rect",0.858095169067383,0.1,256
"image-segmentation",0.830000019073487,3,"cone",0.859523713588715,1,256
"image-segmentation",0.820000016689301,3,"rect",0.782857060432434,0.01,256
"image-segmentation",0.815000015497208,3,"cone",0.760952353477478,0.01,1024
"image-segmentation",0.815000015497208,4,"cone",0.749523818492889,0.1,256
"image-segmentation",0.805000013113022,4,"cone",0.719047546386719,0.01,512
"image-segmentation",0.805000013113022,4,"cone",0.79190468788147,1,512
"image-segmentation",0.804999995231628,4,"cone",0.854761838912964,0.1,512
"image-segmentation",0.795000010728836,2,"rect",0.73285710811615,0.01,512
"image-segmentation",0.790000009536743,4,"cone",0.812380909919739,1,256
"image-segmentation",0.790000009536743,2,"rect",0.818095147609711,0.01,1024
"image-segmentation",0.78500000834465,3,"cone",0.723333299160004,0.01,256
"image-segmentation",0.775000005960465,2,"rect",0.840476095676422,0.1,1024
"image-segmentation",0.775000005960464,4,"rect",0.818571388721466,0.1,1024
"image-segmentation",0.770000010728836,3,"rect",0.794761776924133,0.01,1024
"image-segmentation",0.76000000834465,8,"cone",0.75428569316864,0.1,512
"image-segmentation",0.760000002384186,3,"rect",0.791428506374359,1,256
"image-segmentation",0.760000002384186,2,"cone",0.749523758888245,1,256
"image-segmentation",0.755000001192093,2,"rect",0.748095154762268,1,1024
"image-segmentation",0.75,4,"rect",0.751904726028442,1,1024
"image-segmentation",0.75,3,"rect",0.776666522026062,0.1,1024
"image-segmentation",0.740000009536743,3,"rect",0.667619049549103,0.01,512
"image-segmentation",0.740000009536743,2,"cone",0.808571338653564,0.01,512
"image-segmentation",0.735000002384186,8,"rect",0.799523711204529,0.1,512
"image-segmentation",0.730000019073486,8,"rect",0.726190388202667,0.1,1024
"image-segmentation",0.730000019073486,2,"rect",0.716190338134766,1,512
"image-segmentation",0.725000017881394,8,"cone",0.821428418159485,0.1,1024
"image-segmentation",0.720000016689301,3,"cone",0.683333277702332,1,512
"image-segmentation",0.715000033378601,4,"cone",0.716666579246521,0.01,1024
"image-segmentation",0.715000033378601,2,"cone",0.754761874675751,1,512
"image-segmentation",0.705000030994415,4,"rect",0.623809456825256,1,256
"image-segmentation",0.7,8,"cone",0.71142852306366,0.1,256
"image-segmentation",0.650000035762787,8,"cone",0.612857103347778,1,256
"image-segmentation",0.650000035762787,4,"cone",0.594761848449707,1,1024
"image-segmentation",0.650000023841858,4,"rect",0.693809449672699,0.01,512
