"dataset","testAccuracy","valAccuracy","nlayers","learningrate","nhidden","layerForm"
"iris",0.918918967247009,0.983333337306976,3,0.01,256,"rect"
"iris",0.945945918560028,0.850000029802323,8,0.1,256,"cone"
"iris",0.864864945411682,0.850000029802322,4,0.1,1024,"rect"
"iris",0.945945978164673,0.833333373069763,3,0.01,512,"cone"
"iris",0.837837934494019,0.833333373069763,2,0.01,512,"cone"
"iris",0.918918967247009,0.816666704416275,3,0.1,1024,"rect"
"iris",0.972972989082336,0.800000035762787,8,0.01,512,"cone"
"iris",0.837837934494019,0.783333367109299,2,0.01,1024,"cone"
"iris",0.810810804367065,0.766666698455811,2,0.01,256,"cone"
"iris",0.810810923576355,0.750000029802322,3,0.1,1024,"cone"
"iris",0.756756782531738,0.700000023841858,4,0.01,1024,"rect"
"iris",0.864864945411682,0.68333335518837,3,1,256,"cone"
"iris",0.783783793449402,0.68333335518837,2,0.01,256,"rect"
"iris",0.675675749778748,0.666666686534881,16,0.01,512,"cone"
"iris",0.675675749778748,0.666666686534881,16,1,256,"cone"
"iris",0.675675749778748,0.666666686534881,8,0.01,256,"rect"
"iris",0.675675749778748,0.666666686534881,8,0.1,1024,"cone"
"iris",0.675675749778748,0.666666686534881,8,0.1,1024,"rect"
"iris",0.756756782531738,0.666666686534881,8,0.1,512,"cone"
"iris",0.702702760696411,0.666666686534881,8,0.1,512,"rect"
"iris",0.702702760696411,0.666666686534881,8,0.1,256,"rect"
"iris",0.675675749778748,0.666666686534881,8,1,1024,"cone"
"iris",0.675675749778748,0.666666686534881,8,1,512,"cone"
"iris",0.675675749778748,0.666666686534881,8,1,256,"cone"
"iris",0.756756782531738,0.666666686534881,4,0.01,1024,"cone"
"iris",0.756756782531738,0.666666686534881,4,0.01,512,"rect"
"iris",0.729729771614075,0.666666686534881,4,0.01,256,"cone"
"iris",0.702702760696411,0.666666686534881,4,0.01,256,"rect"
"iris",0.783783793449402,0.666666686534881,4,0.1,1024,"cone"
"iris",0.729729771614075,0.666666686534881,4,0.1,512,"cone"
