"dataset","nlayers","layerForm","learningrate","valAccuracy","testAccuracy","nhidden"
"led-display",3,"rect",0.01,0.708333373069763,0.628000020980835,512
"led-display",2,"cone",0.1,0.705000042915344,0.699999988079071,256
"led-display",3,"rect",0.1,0.70000005364418,0.688000023365021,256
"led-display",2,"rect",0.01,0.700000047683716,0.687999963760376,256
"led-display",2,"cone",0.01,0.696666717529297,0.700000047683716,1024
"led-display",2,"rect",0.1,0.691666722297668,0.663999974727631,256
"led-display",3,"cone",0.01,0.68666672706604,0.680000007152557,256
"led-display",4,"cone",0.1,0.68500006198883,0.708000004291534,1024
"led-display",3,"cone",0.1,0.683333396911621,0.712000012397766,1024
"led-display",2,"cone",1,0.683333396911621,0.704000055789948,256
"led-display",4,"rect",0.1,0.678333401679993,0.716000080108643,512
"led-display",2,"rect",0.01,0.676666736602783,0.680000007152557,512
"led-display",4,"cone",0.1,0.671666741371155,0.672000050544739,512
"led-display",2,"cone",0.1,0.671666741371155,0.720000028610229,1024
"led-display",3,"cone",0.1,0.670000076293945,0.688000023365021,512
"led-display",2,"cone",1,0.668333387374878,0.712000012397766,512
"led-display",3,"cone",0.1,0.666666746139526,0.671999990940094,256
"led-display",4,"cone",1,0.666666734218597,0.696000039577484,256
"led-display",2,"cone",0.1,0.665000069141388,0.680000007152557,512
"led-display",4,"rect",0.1,0.665000051259994,0.667999982833862,256
"led-display",3,"cone",1,0.66500004529953,0.700000047683716,256
"led-display",2,"rect",0.01,0.66500004529953,0.656000018119812,1024
"led-display",4,"cone",1,0.663333410024643,0.712000012397766,512
"led-display",3,"rect",0.1,0.663333404064178,0.712000012397766,512
"led-display",2,"rect",0.1,0.663333398103714,0.663999974727631,512
"led-display",3,"rect",0.1,0.661666721105575,0.700000047683716,1024
"led-display",2,"cone",0.01,0.658333420753479,0.699999988079071,256
"led-display",3,"cone",1,0.656666737794876,0.684000015258789,512
"led-display",4,"rect",0.1,0.653333389759064,0.708000063896179,1024
"led-display",2,"cone",1,0.653333389759064,0.600000023841858,1024
"led-display",4,"cone",0.1,0.65000005364418,0.663999974727631,256
"led-display",3,"cone",1,0.648333382606506,0.620000004768372,1024
"led-display",2,"rect",0.1,0.643333399295807,0.611999988555908,1024
"led-display",8,"rect",0.1,0.643333387374878,0.668000042438507,1024
"led-display",3,"rect",0.01,0.636666715145111,0.648000001907349,1024
"led-display",4,"rect",1,0.633333361148834,0.684000015258789,512
