"dataset","nlayers","layerForm","nhidden","valAccuracy","learningrate","testAccuracy"
"lenses",3,"rect",512,0.700000017881393,0.1,0.833333373069763
"lenses",3,"rect",1024,0.700000017881393,1,0.16666667163372
"lenses",3,"rect",256,0.700000014901161,0.1,0.666666686534882
"lenses",2,"cone",256,0.700000011920929,1,0.5
"lenses",32,"rect",512,0.666666686534881,0.1,0.16666667163372
"lenses",16,"rect",256,0.666666686534881,1,0.16666667163372
"lenses",8,"rect",512,0.666666686534881,1,0.16666667163372
"lenses",8,"rect",256,0.666666686534881,1,0.16666667163372
"lenses",4,"rect",256,0.666666686534881,1,0.16666667163372
"lenses",2,"rect",1024,0.666666686534881,0.1,0.666666686534882
"lenses",2,"cone",256,0.666666686534881,0.1,0.5
"lenses",3,"rect",256,0.633333352208137,1,0.5
"lenses",16,"cone",256,0.633333346247673,0.01,0.5
"lenses",4,"cone",512,0.633333346247673,1,0.5
"lenses",2,"rect",256,0.600000017881393,0.1,0.666666686534882
"lenses",2,"cone",512,0.600000017881393,1,0.833333373069763
"lenses",4,"cone",512,0.600000017881393,0.1,0.666666686534882
"lenses",2,"rect",256,0.600000017881393,1,0.16666667163372
"lenses",4,"cone",256,0.600000014901161,0.01,0.5
"lenses",2,"rect",512,0.566666683554649,0.01,0.833333373069763
"lenses",3,"cone",256,0.566666683554649,1,0.16666667163372
"lenses",16,"cone",256,0.533333349227905,0.1,0.666666686534882
"lenses",2,"cone",256,0.533333349227905,0.01,0.666666686534882
"lenses",4,"rect",512,0.533333349227905,1,0.16666667163372
"lenses",3,"cone",512,0.533333343267441,1,0.5
"lenses",2,"cone",512,0.500000014901161,0.1,0.833333373069763
"lenses",2,"rect",512,0.500000011920929,1,0.5
"lenses",8,"rect",1024,0.466666680574417,0.01,0.833333373069763
"lenses",4,"rect",1024,0.466666680574417,0.1,0.5
"lenses",8,"cone",512,0.466666680574417,1,0.16666667163372
"lenses",4,"cone",1024,0.466666680574417,1,0.333333343267441
"lenses",8,"rect",1024,0.433333346247673,0.1,0.333333343267441
"lenses",4,"cone",256,0.433333346247673,0.1,0.666666686534882
"lenses",2,"cone",1024,0.433333346247673,1,0.333333343267441
"lenses",2,"rect",1024,0.433333346247673,1,0.16666667163372
"lenses",8,"cone",1024,0.433333346247673,1,0.666666686534882
"lenses",3,"cone",1024,0.433333346247673,0.01,0.666666686534882
"lenses",2,"rect",1024,0.433333346247673,0.01,0.833333373069763
"lenses",3,"rect",512,0.433333346247673,1,0.16666667163372
"lenses",8,"rect",256,0.400000011920929,0.01,0.666666686534882
"lenses",8,"rect",512,0.400000011920929,0.1,0.333333343267441
"lenses",4,"rect",1024,0.400000011920929,0.01,0.666666686534882
"lenses",4,"cone",256,0.400000011920929,1,0.833333373069763
"lenses",3,"rect",1024,0.400000011920929,0.1,0.833333373069763
"lenses",2,"rect",512,0.400000011920929,0.1,0.833333373069763
"lenses",3,"rect",1024,0.400000011920929,0.01,0.833333373069763
"lenses",4,"cone",1024,0.400000008940697,0.01,0.666666686534882
"lenses",4,"cone",512,0.366666677594185,0.01,0.666666686534882
"lenses",4,"rect",256,0.366666677594185,0.1,0.666666686534882
"lenses",32,"rect",1024,0.366666677594185,0.01,0.666666686534882
"lenses",32,"rect",512,0.366666677594185,0.01,0.666666686534882
"lenses",8,"cone",256,0.366666677594185,0.01,0.666666686534882
"lenses",3,"rect",512,0.366666677594185,0.01,0.833333373069763
"lenses",3,"rect",256,0.366666677594185,0.01,0.833333373069763
"lenses",8,"cone",256,0.333333343267441,1,0.5
"lenses",32,"cone",1024,0.333333343267441,0.01,0.666666686534882
"lenses",32,"cone",512,0.333333343267441,0.01,0.666666686534882
"lenses",32,"cone",256,0.333333343267441,0.01,0.666666686534882
"lenses",32,"cone",1024,0.333333343267441,0.1,0.666666686534882
"lenses",32,"rect",1024,0.333333343267441,0.1,0.666666686534882
"lenses",32,"cone",512,0.333333343267441,0.1,0.666666686534882
"lenses",32,"cone",256,0.333333343267441,0.1,0.666666686534882
"lenses",32,"rect",256,0.333333343267441,0.1,0.666666686534882
"lenses",32,"rect",1024,0.333333343267441,1,0.666666686534882
"lenses",32,"cone",512,0.333333343267441,1,0.666666686534882
"lenses",32,"rect",512,0.333333343267441,1,0.666666686534882
"lenses",32,"cone",256,0.333333343267441,1,0.666666686534882
"lenses",16,"cone",1024,0.333333343267441,0.01,0.666666686534882
"lenses",16,"rect",1024,0.333333343267441,0.01,0.666666686534882
"lenses",16,"cone",512,0.333333343267441,0.01,0.666666686534882
"lenses",16,"rect",512,0.333333343267441,0.01,0.666666686534882
"lenses",16,"rect",256,0.333333343267441,0.01,0.666666686534882
"lenses",16,"rect",1024,0.333333343267441,0.1,0.666666686534882
"lenses",16,"rect",512,0.333333343267441,0.1,0.666666686534882
"lenses",16,"rect",256,0.333333343267441,0.1,0.666666686534882
"lenses",16,"rect",1024,0.333333343267441,1,0.666666686534882
"lenses",16,"cone",512,0.333333343267441,1,0.666666686534882
"lenses",16,"cone",256,0.333333343267441,1,0.666666686534882
"lenses",8,"rect",512,0.333333343267441,0.01,0.666666686534882
"lenses",8,"cone",256,0.333333343267441,0.1,0.333333343267441
"lenses",8,"rect",1024,0.333333343267441,1,0.666666686534882
"lenses",4,"rect",512,0.333333343267441,0.01,0.666666686534882
"lenses",4,"rect",256,0.333333343267441,0.01,0.666666686534882
"lenses",4,"cone",1024,0.333333343267441,0.1,0.5
"lenses",4,"rect",1024,0.333333343267441,1,0.666666686534882
"lenses",3,"cone",512,0.333333343267441,0.01,0.833333373069763
"lenses",3,"cone",256,0.333333343267441,0.01,0.666666686534882
"lenses",3,"cone",1024,0.333333343267441,0.1,0.833333373069763
"lenses",3,"cone",512,0.333333343267441,0.1,0.666666686534882
"lenses",3,"cone",256,0.333333343267441,0.1,0.666666686534882
"lenses",3,"cone",1024,0.333333343267441,1,0.833333373069763
"lenses",2,"cone",1024,0.333333343267441,0.01,0.833333373069763
"lenses",2,"cone",512,0.333333343267441,0.01,0.833333373069763
"lenses",2,"rect",256,0.333333343267441,0.01,0.666666686534882
"lenses",2,"cone",1024,0.333333343267441,0.1,0.666666686534882
"lenses",16,"rect",512,0.300000008940697,1,0.666666686534882
"lenses",8,"cone",1024,0.300000008940697,0.01,0.16666667163372
"lenses",8,"rect",256,0.233333340287209,0.1,0.333333343267441
"lenses",8,"cone",512,0.233333340287209,0.1,0.666666686534882
"lenses",32,"cone",1024,0.200000005960464,1,0.666666686534882
"lenses",32,"rect",256,0.200000005960464,1,0.666666686534882
"lenses",4,"rect",512,0.200000005960464,0.1,0.833333373069763
"lenses",8,"cone",1024,0.16666667163372,0.1,0.16666667163372
"lenses",16,"cone",512,0.133333337306976,0.1,0.5
"lenses",16,"cone",1024,0.133333337306976,1,0.16666667163372
"lenses",16,"cone",1024,0.100000002980232,0.1,0.16666667163372
"lenses",32,"rect",256,0,0.01,0.16666667163372
"lenses",8,"cone",512,0,0.01,0.16666667163372
