"dataset","testAccuracy","nlayers","valAccuracy","nhidden","layerForm","learningrate"
"molec-biol-splice",0.851944804191589,8,0.835242229700089,1024,"cone",1
"molec-biol-splice",0.831869542598724,4,0.833920645713806,256,"rect",1
"molec-biol-splice",0.858218252658844,4,0.828193783760071,512,"cone",1
"molec-biol-splice",0.851944744586945,4,0.824229019880295,1024,"rect",1
"molec-biol-splice",0.860727727413177,8,0.819383227825165,512,"cone",1
"molec-biol-splice",0.850690066814423,8,0.818942695856094,256,"cone",1
"molec-biol-splice",0.836888253688812,8,0.806167364120483,1024,"rect",1
"molec-biol-splice",0.849435329437256,3,0.801762074232102,1024,"rect",0.1
"molec-biol-splice",0.823086500167847,3,0.795594644546509,512,"cone",1
"molec-biol-splice",0.808030068874359,3,0.792510986328125,256,"rect",1
"molec-biol-splice",0.804265916347504,16,0.791189384460449,256,"cone",0.1
"molec-biol-splice",0.843161821365356,8,0.789867800474167,256,"rect",1
"molec-biol-splice",0.83186948299408,4,0.788546204566956,256,"cone",1
"molec-biol-splice",0.838143050670624,3,0.784581476449966,256,"cone",1
"molec-biol-splice",0.800501883029938,2,0.762555027008057,1024,"rect",1
"molec-biol-splice",0.815558314323425,16,0.756387615203857,256,"cone",1
"molec-biol-splice",0.772898375988007,3,0.754184979200363,1024,"rect",1
"molec-biol-splice",0.760351240634918,4,0.748898625373841,1024,"rect",0.01
"molec-biol-splice",0.790464222431183,4,0.723788487911224,256,"rect",0.1
"molec-biol-splice",0.639899611473083,2,0.702643144130707,512,"rect",1
"molec-biol-splice",0.712672531604767,3,0.697356808185577,512,"rect",1
"molec-biol-splice",0.48808029294014,8,0.651541829109192,512,"rect",1
"molec-biol-splice",0.634880840778351,4,0.599559432268143,512,"rect",1
"molec-biol-splice",0.616060256958008,2,0.576211413741112,1024,"cone",0.01
"molec-biol-splice",0.642409026622772,2,0.57180615067482,512,"cone",0.01
"molec-biol-splice",0.612296104431152,2,0.562114506959915,256,"cone",0.01
"molec-biol-splice",0.608531951904297,4,0.551982349157333,1024,"cone",1
"molec-biol-splice",0.588456690311432,8,0.532599097490311,1024,"rect",0.01
"molec-biol-splice",0.5771644115448,4,0.527753275632858,256,"cone",0.01
"molec-biol-splice",0.545796751976013,2,0.51541847884655,256,"rect",0.01
"molec-biol-splice",0.525721430778503,2,0.508810552954674,256,"rect",1
"molec-biol-splice",0.554579675197601,3,0.508370018005371,256,"cone",0.01
"molec-biol-splice",0.519447922706604,2,0.505286327004433,1024,"rect",0.01
"molec-biol-splice",0.525721430778503,4,0.50484579205513,1024,"cone",0.01
"molec-biol-splice",0.534504413604736,3,0.496035215258598,512,"cone",0.01
"molec-biol-splice",0.528230845928192,2,0.495594692230225,1024,"cone",1
"molec-biol-splice",0.520702600479126,3,0.495594680309296,512,"rect",0.01
"molec-biol-splice",0.520702600479126,3,0.494713631272316,512,"cone",0.1
"molec-biol-splice",0.53701376914978,8,0.493832576274872,512,"rect",0.01
"molec-biol-splice",0.540777921676636,3,0.489867821335793,1024,"cone",1
"molec-biol-splice",0.528230905532837,2,0.489427295327187,256,"cone",1
"molec-biol-splice",0.524466753005981,3,0.488986751437187,1024,"cone",0.01
"molec-biol-splice",0.526976108551025,2,0.487665179371834,512,"rect",0.01
"molec-biol-splice",0.372647434473038,16,0.484140947461128,512,"cone",1
"molec-biol-splice",0.519447922706604,3,0.481497782468796,256,"rect",0.01
"molec-biol-splice",0.519447922706604,2,0.48061671257019,512,"cone",0.1
"molec-biol-splice",0.519447922706604,2,0.477973556518555,1024,"cone",0.1
"molec-biol-splice",0.519447922706604,3,0.476211434602738,256,"cone",0.1
"molec-biol-splice",0.520702600479126,2,0.476211428642273,512,"cone",1
"molec-biol-splice",0.519447922706604,3,0.475770914554596,256,"rect",0.1
"molec-biol-splice",0.519447922706604,4,0.472687211632729,512,"rect",0.01
"molec-biol-splice",0.519447922706604,2,0.471806156635284,256,"cone",0.1
"molec-biol-splice",0.519447922706604,4,0.47180615067482,512,"cone",0.01
"molec-biol-splice",0.519447922706604,3,0.471806147694588,1024,"cone",0.1
"molec-biol-splice",0.519447922706604,32,0.471365630626678,512,"cone",0.01
"molec-biol-splice",0.519447922706604,32,0.471365630626678,256,"rect",0.01
"molec-biol-splice",0.519447922706604,32,0.471365630626678,1024,"cone",0.1
"molec-biol-splice",0.519447922706604,32,0.471365630626678,1024,"cone",1
"molec-biol-splice",0.519447922706604,32,0.471365630626678,1024,"rect",1
"molec-biol-splice",0.519447922706604,32,0.471365630626678,256,"cone",1
"molec-biol-splice",0.519447922706604,16,0.471365630626678,256,"cone",0.01
"molec-biol-splice",0.519447922706604,16,0.471365630626678,1024,"cone",0.1
"molec-biol-splice",0.519447922706604,16,0.471365630626678,512,"cone",0.1
"molec-biol-splice",0.519447922706604,16,0.471365630626678,512,"rect",0.1
"molec-biol-splice",0.519447922706604,16,0.471365630626678,256,"rect",0.1
"molec-biol-splice",0.519447922706604,8,0.471365630626678,256,"cone",0.1
"molec-biol-splice",0.520702600479126,4,0.471365630626678,256,"rect",0.01
"molec-biol-splice",0.519447922706604,2,0.471365630626678,1024,"rect",0.1
"molec-biol-splice",0.519447922706604,32,0.471365627646446,256,"cone",0.01
"molec-biol-splice",0.519447922706604,32,0.471365627646446,512,"rect",1
"molec-biol-splice",0.519447922706604,16,0.471365627646446,512,"cone",0.01
"molec-biol-splice",0.519447922706604,16,0.471365627646446,1024,"rect",0.1
"molec-biol-splice",0.519447922706604,8,0.471365627646446,1024,"cone",0.01
"molec-biol-splice",0.519447922706604,8,0.471365627646446,256,"rect",0.01
"molec-biol-splice",0.519447922706604,8,0.471365627646446,256,"rect",0.1
"molec-biol-splice",0.519447922706604,16,0.471365624666214,1024,"cone",0.01
"molec-biol-splice",0.519447922706604,16,0.471365624666214,1024,"rect",0.01
"molec-biol-splice",0.519447922706604,16,0.471365624666214,512,"rect",0.01
"molec-biol-splice",0.519447922706604,8,0.471365624666214,512,"cone",0.01
"molec-biol-splice",0.519447922706604,8,0.471365624666214,1024,"cone",0.1
"molec-biol-splice",0.519447922706604,4,0.471365624666214,1024,"cone",0.1
"molec-biol-splice",0.519447922706604,4,0.471365624666214,512,"cone",0.1
"molec-biol-splice",0.519447922706604,4,0.471365624666214,512,"rect",0.1
"molec-biol-splice",0.519447922706604,4,0.471365624666214,256,"cone",0.1
"molec-biol-splice",0.519447922706604,3,0.471365624666214,1024,"rect",0.01
"molec-biol-splice",0.519447922706604,2,0.471365624666214,256,"rect",0.1
"molec-biol-splice",0.519447922706604,32,0.471365621685982,1024,"cone",0.01
"molec-biol-splice",0.519447922706604,32,0.471365621685982,1024,"rect",0.01
"molec-biol-splice",0.519447922706604,32,0.471365621685982,512,"rect",0.01
"molec-biol-splice",0.519447922706604,32,0.471365621685982,512,"cone",0.1
"molec-biol-splice",0.519447922706604,16,0.471365621685982,256,"rect",0.01
"molec-biol-splice",0.519447922706604,16,0.471365621685982,256,"rect",1
"molec-biol-splice",0.519447922706604,8,0.471365621685982,256,"cone",0.01
"molec-biol-splice",0.519447922706604,8,0.471365621685982,1024,"rect",0.1
"molec-biol-splice",0.519447922706604,8,0.471365621685982,512,"cone",0.1
"molec-biol-splice",0.519447922706604,3,0.471365621685982,512,"rect",0.1
"molec-biol-splice",0.519447922706604,32,0.47136561870575,512,"cone",1
"molec-biol-splice",0.519447922706604,8,0.47136561870575,512,"rect",0.1
"molec-biol-splice",0.519447922706604,2,0.47136561870575,512,"rect",0.1
"molec-biol-splice",0.519447922706604,16,0.471365615725517,512,"rect",1
"molec-biol-splice",0.519447922706604,4,0.471365615725517,1024,"rect",0.1
"molec-biol-splice",0.519447922706604,32,0.434361225366592,512,"rect",0.1
"molec-biol-splice",0.519447922706604,32,0.401762098073959,256,"rect",0.1
"molec-biol-splice",0.24090339243412,32,0.374449324607849,256,"rect",1
"molec-biol-splice",0.303638637065887,16,0.348458132147789,1024,"cone",1
"molec-biol-splice",0.239648699760437,16,0.338325980305672,1024,"rect",1
"molec-biol-splice",0.239648699760437,32,0.29162994325161,1024,"rect",0.1
"molec-biol-splice",0.239648699760437,32,0.242290735244751,256,"cone",0.1
