"dataset","layerForm","nlayers","valAccuracy","learningrate","testAccuracy","nhidden"
"parkinsons","cone",2,1,0.01,0.857142806053162,1024
"parkinsons","rect",2,1,0.01,0.877550959587097,512
"parkinsons","rect",3,0.992857146263122,0.01,0.857142806053162,512
"parkinsons","rect",4,0.992857146263122,0.1,0.897959113121033,1024
"parkinsons","rect",4,0.992857146263122,1,0.775510191917419,256
"parkinsons","cone",4,0.978571438789368,1,0.836734652519226,1024
"parkinsons","rect",2,0.97142858505249,0.01,0.897959113121033,1024
"parkinsons","cone",2,0.964285731315613,0.01,0.877550959587097,256
"parkinsons","rect",3,0.957142877578736,0.01,0.836734652519226,256
"parkinsons","cone",2,0.957142877578736,1,0.897959113121033,1024
"parkinsons","cone",2,0.957142877578735,1,0.897959113121033,256
"parkinsons","rect",3,0.942857170104981,0.01,0.877550959587097,1024
"parkinsons","rect",2,0.942857170104981,0.1,0.877550959587097,512
"parkinsons","rect",8,0.94285717010498,0.1,0.877550959587097,512
"parkinsons","cone",4,0.935714316368103,0.01,0.836734652519226,1024
"parkinsons","rect",3,0.935714316368103,0.1,0.918367266654968,1024
"parkinsons","rect",3,0.935714316368103,0.1,0.836734652519226,512
"parkinsons","rect",3,0.935714316368103,0.1,0.877550959587097,256
"parkinsons","rect",8,0.928571462631226,0.1,0.857142806053162,256
"parkinsons","rect",4,0.928571462631226,0.01,0.857142806053162,1024
"parkinsons","rect",4,0.928571462631226,0.01,0.857142806053162,512
"parkinsons","rect",4,0.928571462631226,0.1,0.897959113121033,512
"parkinsons","rect",4,0.928571462631226,0.1,0.836734652519226,256
"parkinsons","cone",3,0.928571462631226,0.01,0.857142806053162,1024
"parkinsons","rect",2,0.928571462631226,0.01,0.836734652519226,256
"parkinsons","cone",2,0.928571462631226,0.1,0.857142806053162,1024
"parkinsons","cone",2,0.928571462631226,0.1,0.836734652519226,512
"parkinsons","rect",2,0.928571462631226,0.1,0.877550959587097,256
"parkinsons","cone",4,0.928571456670761,0.01,0.836734652519226,256
"parkinsons","cone",3,0.921428608894348,1,0.857142806053162,512
"parkinsons","rect",8,0.914285755157471,0.1,0.775510191917419,1024
"parkinsons","cone",2,0.914285755157471,1,0.693877518177032,512
"parkinsons","cone",3,0.914285737276077,0.1,0.877550959587097,1024
"parkinsons","rect",2,0.907142901420593,1,0.836734652519226,512
"parkinsons","cone",4,0.907142895460129,0.1,0.816326498985291,1024
"parkinsons","rect",2,0.907142889499664,0.1,0.755102038383484,1024
"parkinsons","cone",3,0.9071428835392,0.01,0.857142806053162,512
"parkinsons","cone",16,0.900000023841858,0.1,0.877550959587097,256
"parkinsons","cone",3,0.871428632736206,1,0.755102038383484,1024
"parkinsons","rect",8,0.864285778999329,1,0.714285671710968,512
"parkinsons","cone",8,0.8642857670784,1,0.795918345451355,256
"parkinsons","rect",2,0.864285761117935,1,0.673469364643097,256
"parkinsons","cone",4,0.857142925262451,1,0.673469364643097,256
"parkinsons","cone",3,0.857142913341522,1,0.673469364643097,256
"parkinsons","cone",4,0.857142901420593,0.1,0.836734652519226,256
"parkinsons","cone",3,0.857142865657806,0.01,0.775510191917419,256
"parkinsons","cone",2,0.857142865657806,0.01,0.795918345451355,512
"parkinsons","rect",2,0.842857205867767,1,0.734693884849548,1024
"parkinsons","cone",2,0.84285718202591,0.1,0.795918345451355,256
"parkinsons","cone",4,0.835714346170426,1,0.755102038383484,512
"parkinsons","rect",4,0.828571444749832,0.01,0.755102038383484,256
"parkinsons","rect",16,0.800000047683716,0.1,0.673469424247742,256
"parkinsons","cone",4,0.785714340209961,0.01,0.795918345451355,512
"parkinsons","rect",3,0.764285743236542,1,0.816326498985291,1024
"parkinsons","cone",4,0.757142901420593,0.1,0.755102038383484,512
"parkinsons","rect",8,0.750000041723252,0.01,0.755102038383484,512
"parkinsons","rect",3,0.742857176065445,1,0.551020383834839,512
"parkinsons","cone",3,0.700000047683716,0.1,0.755102038383484,512
"parkinsons","rect",3,0.700000035762787,1,0.346938788890839,256
"parkinsons","cone",3,0.6642857670784,0.1,0.755102038383484,256
"parkinsons","cone",8,0.657142895460129,1,0.693877577781677,512
"parkinsons","cone",32,0.642857193946838,0.01,0.755102038383484,1024
"parkinsons","cone",32,0.642857193946838,0.01,0.755102038383484,512
"parkinsons","cone",32,0.642857193946838,0.01,0.755102038383484,256
"parkinsons","cone",32,0.642857193946838,0.1,0.755102038383484,1024
"parkinsons","cone",32,0.642857193946838,0.1,0.755102038383484,512
"parkinsons","cone",32,0.642857193946838,0.1,0.755102038383484,256
"parkinsons","rect",32,0.642857193946838,0.1,0.755102038383484,256
"parkinsons","rect",32,0.642857193946838,1,0.755102038383484,1024
"parkinsons","rect",32,0.642857193946838,1,0.755102038383484,512
"parkinsons","rect",32,0.642857193946838,1,0.755102038383484,256
"parkinsons","cone",16,0.642857193946838,0.01,0.755102038383484,1024
"parkinsons","rect",16,0.642857193946838,0.01,0.755102038383484,1024
"parkinsons","cone",16,0.642857193946838,0.01,0.755102038383484,512
"parkinsons","rect",16,0.642857193946838,0.01,0.755102038383484,512
"parkinsons","cone",16,0.642857193946838,0.01,0.755102038383484,256
"parkinsons","rect",16,0.642857193946838,0.01,0.755102038383484,256
"parkinsons","cone",16,0.642857193946838,0.1,0.755102038383484,1024
"parkinsons","cone",16,0.642857193946838,0.1,0.755102038383484,512
"parkinsons","cone",16,0.642857193946838,1,0.755102038383484,1024
"parkinsons","rect",16,0.642857193946838,1,0.755102038383484,1024
"parkinsons","cone",16,0.642857193946838,1,0.755102038383484,512
"parkinsons","rect",16,0.642857193946838,1,0.755102038383484,512
"parkinsons","cone",8,0.642857193946838,0.01,0.755102038383484,1024
"parkinsons","rect",8,0.642857193946838,0.01,0.755102038383484,1024
"parkinsons","cone",8,0.642857193946838,0.01,0.755102038383484,512
"parkinsons","cone",8,0.642857193946838,0.01,0.755102038383484,256
"parkinsons","rect",8,0.642857193946838,0.01,0.755102038383484,256
"parkinsons","cone",8,0.642857193946838,0.1,0.755102038383484,1024
"parkinsons","cone",8,0.642857193946838,0.1,0.755102038383484,512
"parkinsons","cone",8,0.642857193946838,0.1,0.755102038383484,256
"parkinsons","rect",4,0.628571474552155,1,0.448979556560516,512
"parkinsons","rect",16,0.621428620815277,1,0.326530605554581,256
"parkinsons","rect",16,0.614285761117935,0.1,0.755102038383484,1024
"parkinsons","rect",4,0.600000029802322,1,0.38775509595871,1024
"parkinsons","cone",32,0.585714328289032,1,0.755102038383484,256
"parkinsons","cone",32,0.557142895460129,1,0.244897961616516,1024
"parkinsons","rect",8,0.535714310407639,1,0.530612230300903,256
"parkinsons","rect",32,0.500000029802322,0.01,0.755102038383484,256
"parkinsons","cone",32,0.500000029802322,1,0.755102038383484,512
"parkinsons","rect",32,0.500000029802322,0.1,0.244897961616516,1024
"parkinsons","rect",32,0.500000029802322,0.1,0.755102038383484,512
"parkinsons","cone",16,0.464285737276077,1,0.367346942424774,256
"parkinsons","rect",32,0.442857164144516,0.01,0.755102038383484,1024
"parkinsons","cone",8,0.4071428835392,1,0.367346942424774,1024
"parkinsons","rect",8,0.407142871618271,1,0.244897961616516,1024
"parkinsons","rect",16,0.38571429848671,0.1,0.244897961616516,512
"parkinsons","rect",32,0.357142865657806,0.01,0.244897961616516,512
