"dataset","testAccuracy","nhidden","nlayers","layerForm","valAccuracy","learningrate"
"pittsburg-bridges-REL-L",0.769230842590332,512,3,"cone",0.788235312700271,1
"pittsburg-bridges-REL-L",0.653846204280853,512,2,"rect",0.782352954149246,0.01
"pittsburg-bridges-REL-L",0.769230842590332,256,2,"cone",0.770588248968124,0.1
"pittsburg-bridges-REL-L",0.769230842590332,1024,4,"cone",0.764705896377563,0.01
"pittsburg-bridges-REL-L",0.730769276618958,256,4,"rect",0.764705896377563,0.01
"pittsburg-bridges-REL-L",0.692307710647583,512,4,"cone",0.764705896377563,0.1
"pittsburg-bridges-REL-L",0.615384697914124,256,4,"cone",0.764705896377563,0.1
"pittsburg-bridges-REL-L",0.730769276618958,1024,3,"cone",0.764705896377563,0.01
"pittsburg-bridges-REL-L",0.730769276618958,1024,3,"rect",0.764705896377563,0.01
"pittsburg-bridges-REL-L",0.730769276618958,256,3,"rect",0.764705896377563,0.01
"pittsburg-bridges-REL-L",0.692307710647583,512,3,"cone",0.764705896377563,0.1
"pittsburg-bridges-REL-L",0.730769276618958,256,3,"cone",0.764705896377563,0.1
"pittsburg-bridges-REL-L",0.730769276618958,256,2,"cone",0.764705896377563,0.01
"pittsburg-bridges-REL-L",0.730769276618958,256,2,"rect",0.764705896377563,0.01
"pittsburg-bridges-REL-L",0.730769276618958,1024,2,"cone",0.764705896377563,1
"pittsburg-bridges-REL-L",0.730769276618958,512,4,"rect",0.758823543787002,0.01
"pittsburg-bridges-REL-L",0.769230842590332,512,2,"cone",0.758823543787002,0.01
"pittsburg-bridges-REL-L",0.730769276618958,512,2,"cone",0.758823543787002,0.1
"pittsburg-bridges-REL-L",0.730769276618958,256,4,"rect",0.752941191196442,0.1
"pittsburg-bridges-REL-L",0.730769276618958,256,2,"rect",0.752941191196442,0.1
"pittsburg-bridges-REL-L",0.692307710647583,256,4,"cone",0.747058838605881,0.01
"pittsburg-bridges-REL-L",0.730769276618958,1024,3,"cone",0.747058838605881,0.1
"pittsburg-bridges-REL-L",0.730769276618958,1024,2,"cone",0.747058838605881,0.01
"pittsburg-bridges-REL-L",0.769230842590332,1024,4,"cone",0.735294133424759,1
"pittsburg-bridges-REL-L",0.769230842590332,1024,4,"cone",0.729411780834198,0.1
"pittsburg-bridges-REL-L",0.653846204280853,512,4,"cone",0.729411780834198,1
"pittsburg-bridges-REL-L",0.730769276618958,256,3,"cone",0.723529434204101,1
"pittsburg-bridges-REL-L",0.730769276618958,512,3,"rect",0.717647075653076,1
"pittsburg-bridges-REL-L",0.615384697914124,256,2,"rect",0.717647075653076,1
"pittsburg-bridges-REL-L",0.576923131942749,1024,3,"cone",0.711764723062515,1
"pittsburg-bridges-REL-L",0.5,512,2,"cone",0.711764723062515,1
"pittsburg-bridges-REL-L",0.538461565971375,1024,8,"cone",0.705882370471954,0.1
"pittsburg-bridges-REL-L",0.653846144676208,512,4,"cone",0.705882370471954,0.01
"pittsburg-bridges-REL-L",0.730769276618958,256,3,"rect",0.705882370471954,0.1
"pittsburg-bridges-REL-L",0.692307710647583,256,8,"rect",0.700000017881393,0.01
"pittsburg-bridges-REL-L",0.730769276618958,1024,2,"rect",0.700000017881393,0.01
"pittsburg-bridges-REL-L",0.692307710647583,1024,8,"rect",0.694117665290832,0.01
"pittsburg-bridges-REL-L",0.730769276618958,512,2,"rect",0.694117665290832,0.1
"pittsburg-bridges-REL-L",0.807692408561707,256,2,"cone",0.694117665290832,1
"pittsburg-bridges-REL-L",0.538461565971375,1024,4,"rect",0.688235312700271,0.1
"pittsburg-bridges-REL-L",0.692307710647583,256,3,"rect",0.688235312700271,1
"pittsburg-bridges-REL-L",0.576923131942749,512,2,"rect",0.670588251948357,1
"pittsburg-bridges-REL-L",0.692307710647583,512,16,"rect",0.664705902338028,0.01
"pittsburg-bridges-REL-L",0.653846144676208,256,8,"cone",0.658823549747467,0.01
"pittsburg-bridges-REL-L",0.692307710647583,1024,4,"rect",0.658823549747467,0.01
"pittsburg-bridges-REL-L",0.730769276618958,512,4,"rect",0.658823549747467,0.1
"pittsburg-bridges-REL-L",0.730769276618958,512,3,"rect",0.658823549747467,0.01
"pittsburg-bridges-REL-L",0.576923131942749,1024,16,"cone",0.652941197156906,0.1
"pittsburg-bridges-REL-L",0.576923131942749,1024,32,"cone",0.647058844566345,0.01
"pittsburg-bridges-REL-L",0.576923131942749,512,32,"cone",0.647058844566345,0.01
"pittsburg-bridges-REL-L",0.576923131942749,256,32,"rect",0.647058844566345,0.01
"pittsburg-bridges-REL-L",0.576923131942749,1024,32,"cone",0.647058844566345,0.1
"pittsburg-bridges-REL-L",0.576923131942749,1024,32,"rect",0.647058844566345,0.1
"pittsburg-bridges-REL-L",0.576923131942749,512,32,"cone",0.647058844566345,0.1
"pittsburg-bridges-REL-L",0.576923131942749,512,32,"rect",0.647058844566345,0.1
"pittsburg-bridges-REL-L",0.576923131942749,256,32,"cone",0.647058844566345,0.1
"pittsburg-bridges-REL-L",0.576923131942749,256,32,"rect",0.647058844566345,0.1
"pittsburg-bridges-REL-L",0.576923131942749,1024,32,"cone",0.647058844566345,1
"pittsburg-bridges-REL-L",0.576923131942749,1024,16,"cone",0.647058844566345,0.01
"pittsburg-bridges-REL-L",0.576923131942749,512,16,"cone",0.647058844566345,0.01
"pittsburg-bridges-REL-L",0.576923131942749,256,16,"cone",0.647058844566345,0.01
"pittsburg-bridges-REL-L",0.576923131942749,256,16,"rect",0.647058844566345,0.01
"pittsburg-bridges-REL-L",0.576923131942749,256,16,"cone",0.647058844566345,0.1
"pittsburg-bridges-REL-L",0.615384638309479,1024,8,"cone",0.647058844566345,0.01
"pittsburg-bridges-REL-L",0.576923131942749,512,8,"cone",0.647058844566345,0.01
"pittsburg-bridges-REL-L",0.653846204280853,512,8,"rect",0.647058844566345,0.01
"pittsburg-bridges-REL-L",0.730769276618958,512,3,"cone",0.647058844566345,0.01
"pittsburg-bridges-REL-L",0.692307710647583,256,3,"cone",0.647058844566345,0.01
"pittsburg-bridges-REL-L",0.692307770252228,256,8,"rect",0.641176491975784,0.1
"pittsburg-bridges-REL-L",0.769230842590332,1024,2,"cone",0.635294139385223,0.1
"pittsburg-bridges-REL-L",0.730769276618958,1024,2,"rect",0.635294139385223,0.1
"pittsburg-bridges-REL-L",0.692307770252228,512,3,"rect",0.629411786794662,0.1
"pittsburg-bridges-REL-L",0.538461565971375,512,4,"rect",0.611764726042747,1
"pittsburg-bridges-REL-L",0.653846204280853,1024,3,"rect",0.600000023841858,0.1
"pittsburg-bridges-REL-L",0.576923131942749,512,32,"rect",0.600000020861626,0.01
"pittsburg-bridges-REL-L",0.346153855323792,512,8,"cone",0.576470604538918,1
"pittsburg-bridges-REL-L",0.653846204280853,1024,16,"rect",0.570588260889053,0.01
"pittsburg-bridges-REL-L",0.307692348957062,1024,3,"rect",0.570588254928589,1
"pittsburg-bridges-REL-L",0.5,1024,4,"rect",0.564705903828144,1
"pittsburg-bridges-REL-L",0.692307710647583,1024,8,"cone",0.558823543787003,1
"pittsburg-bridges-REL-L",0.576923131942749,1024,32,"rect",0.552941194176674,0.01
"pittsburg-bridges-REL-L",0.576923131942749,256,32,"cone",0.552941194176674,1
"pittsburg-bridges-REL-L",0.730769276618958,1024,8,"rect",0.547058843076229,1
"pittsburg-bridges-REL-L",0.692307770252228,1024,2,"rect",0.535294127464295,1
"pittsburg-bridges-REL-L",0.653846204280853,256,16,"rect",0.511764721572399,0.1
"pittsburg-bridges-REL-L",0.423076927661896,256,8,"cone",0.511764720082283,0.1
"pittsburg-bridges-REL-L",0.576923131942749,1024,16,"rect",0.505882368981838,0.1
"pittsburg-bridges-REL-L",0.730769276618958,512,8,"rect",0.500000023841858,0.1
"pittsburg-bridges-REL-L",0.46153849363327,256,4,"cone",0.500000014901161,1
"pittsburg-bridges-REL-L",0.46153849363327,256,8,"cone",0.494117668271065,1
"pittsburg-bridges-REL-L",0.769230842590332,256,4,"rect",0.470588254183531,1
"pittsburg-bridges-REL-L",0.615384697914124,1024,8,"rect",0.464705896377563,0.1
"pittsburg-bridges-REL-L",0.307692319154739,256,16,"rect",0.458823543787003,1
"pittsburg-bridges-REL-L",0.115384623408318,1024,16,"rect",0.458823543787003,1
"pittsburg-bridges-REL-L",0.576923131942749,256,8,"rect",0.452941191196442,1
"pittsburg-bridges-REL-L",0.192307695746422,1024,16,"cone",0.417647071182728,1
"pittsburg-bridges-REL-L",0.307692319154739,512,16,"rect",0.400000013411045,1
"pittsburg-bridges-REL-L",0.115384623408318,512,16,"cone",0.376470598578453,1
"pittsburg-bridges-REL-L",0.307692319154739,256,16,"cone",0.370588245242834,1
"pittsburg-bridges-REL-L",0.307692319154739,256,32,"rect",0.364705893397331,1
"pittsburg-bridges-REL-L",0.46153849363327,256,32,"cone",0.335294127464295,0.01
"pittsburg-bridges-REL-L",0.115384623408318,512,16,"rect",0.252941182255745,0.1
"pittsburg-bridges-REL-L",0.307692319154739,512,8,"rect",0.235294121876359,1
"pittsburg-bridges-REL-L",0.115384623408318,512,32,"cone",0.223529417812824,1
"pittsburg-bridges-REL-L",0.307692319154739,1024,32,"rect",0.176470592617989,1
"pittsburg-bridges-REL-L",0.307692319154739,512,32,"rect",0.176470592617989,1
"pittsburg-bridges-REL-L",0.307692319154739,512,16,"cone",0.176470592617989,0.1
"pittsburg-bridges-REL-L",0.307692319154739,512,8,"cone",0.176470592617989,0.1
