"dataset","valAccuracy","testAccuracy","learningrate","nlayers","nhidden","layerForm"
"pittsburg-bridges-SPAN",0.800000011920929,0.56521737575531,0.01,32,512,"cone"
"pittsburg-bridges-SPAN",0.800000011920929,0.56521737575531,0.1,32,1024,"cone"
"pittsburg-bridges-SPAN",0.800000011920929,0.56521737575531,0.1,32,1024,"rect"
"pittsburg-bridges-SPAN",0.800000011920929,0.56521737575531,0.1,32,512,"cone"
"pittsburg-bridges-SPAN",0.800000011920929,0.56521737575531,0.1,32,512,"rect"
"pittsburg-bridges-SPAN",0.800000011920929,0.56521737575531,1,32,1024,"cone"
"pittsburg-bridges-SPAN",0.800000011920929,0.56521737575531,1,32,1024,"rect"
"pittsburg-bridges-SPAN",0.800000011920929,0.56521737575531,1,32,512,"cone"
"pittsburg-bridges-SPAN",0.800000011920929,0.56521737575531,1,32,512,"rect"
"pittsburg-bridges-SPAN",0.800000011920929,0.56521737575531,1,32,256,"cone"
"pittsburg-bridges-SPAN",0.800000011920929,0.56521737575531,1,32,256,"rect"
"pittsburg-bridges-SPAN",0.800000011920929,0.56521737575531,0.01,16,1024,"cone"
"pittsburg-bridges-SPAN",0.800000011920929,0.56521737575531,0.01,16,512,"cone"
"pittsburg-bridges-SPAN",0.800000011920929,0.56521737575531,0.01,16,256,"cone"
"pittsburg-bridges-SPAN",0.800000011920929,0.56521737575531,0.01,16,256,"rect"
"pittsburg-bridges-SPAN",0.800000011920929,0.56521737575531,0.1,16,512,"cone"
"pittsburg-bridges-SPAN",0.800000011920929,0.56521737575531,0.01,8,1024,"cone"
"pittsburg-bridges-SPAN",0.800000011920929,0.695652186870575,0.01,8,1024,"rect"
"pittsburg-bridges-SPAN",0.800000011920929,0.56521737575531,0.01,8,512,"cone"
"pittsburg-bridges-SPAN",0.800000011920929,0.56521737575531,0.01,8,512,"rect"
"pittsburg-bridges-SPAN",0.800000011920929,0.56521737575531,0.01,8,256,"cone"
"pittsburg-bridges-SPAN",0.800000011920929,0.56521737575531,0.01,8,256,"rect"
"pittsburg-bridges-SPAN",0.800000011920929,0.56521737575531,0.1,8,1024,"cone"
"pittsburg-bridges-SPAN",0.800000011920929,0.60869562625885,0.01,4,1024,"cone"
"pittsburg-bridges-SPAN",0.800000011920929,0.7826087474823,0.01,4,1024,"rect"
"pittsburg-bridges-SPAN",0.800000011920929,0.695652186870575,0.01,4,512,"cone"
"pittsburg-bridges-SPAN",0.800000011920929,0.60869562625885,0.01,4,256,"cone"
"pittsburg-bridges-SPAN",0.800000011920929,0.60869562625885,0.1,4,256,"cone"
"pittsburg-bridges-SPAN",0.800000011920929,0.7826087474823,0.01,3,1024,"cone"
"pittsburg-bridges-SPAN",0.800000011920929,0.65217387676239,0.01,3,512,"cone"
"pittsburg-bridges-SPAN",0.800000011920929,0.695652186870575,0.01,3,512,"rect"
"pittsburg-bridges-SPAN",0.800000011920929,0.695652186870575,0.1,3,1024,"cone"
"pittsburg-bridges-SPAN",0.800000011920929,0.65217387676239,0.1,3,256,"cone"
"pittsburg-bridges-SPAN",0.800000011920929,0.60869562625885,0.01,2,1024,"cone"
"pittsburg-bridges-SPAN",0.800000011920929,0.47826087474823,0.01,2,256,"cone"
"pittsburg-bridges-SPAN",0.780000013113022,0.47826087474823,0.01,16,1024,"rect"
"pittsburg-bridges-SPAN",0.780000013113022,0.65217387676239,0.1,4,1024,"cone"
"pittsburg-bridges-SPAN",0.780000013113022,0.56521737575531,0.1,16,1024,"cone"
"pittsburg-bridges-SPAN",0.760000014305115,0.65217387676239,0.1,3,512,"cone"
"pittsburg-bridges-SPAN",0.760000014305115,0.52173912525177,0.1,8,256,"cone"
"pittsburg-bridges-SPAN",0.740000015497208,0.60869562625885,0.01,16,512,"rect"
"pittsburg-bridges-SPAN",0.740000011026859,0.56521737575531,0.01,32,1024,"cone"
"pittsburg-bridges-SPAN",0.720000016689301,0.56521737575531,0.1,8,512,"cone"
"pittsburg-bridges-SPAN",0.720000016689301,0.7826087474823,0.1,2,512,"cone"
"pittsburg-bridges-SPAN",0.680000019073486,0.7826087474823,0.1,2,256,"cone"
"pittsburg-bridges-SPAN",0.660000014305115,0.52173912525177,1,8,512,"cone"
"pittsburg-bridges-SPAN",0.660000014305115,0.608695685863495,1,4,1024,"rect"
