"dataset","valAccuracy","learningrate","layerForm","testAccuracy","nhidden","nlayers"
"post-operative",0.711111128330231,0.1,"cone",0.590909123420715,1024,16
"post-operative",0.677777796983719,0.01,"rect",0.727272748947144,1024,16
"post-operative",0.677777796983719,0.01,"rect",0.727272748947144,256,8
"post-operative",0.666666686534881,0.01,"rect",0.681818187236786,1024,32
"post-operative",0.666666686534881,0.1,"rect",0.727272748947144,1024,32
"post-operative",0.666666686534881,0.1,"cone",0.727272748947144,512,32
"post-operative",0.666666686534881,0.1,"rect",0.727272748947144,512,32
"post-operative",0.666666686534881,0.1,"rect",0.727272748947144,256,32
"post-operative",0.666666686534881,1,"rect",0.727272748947144,512,32
"post-operative",0.666666686534881,1,"cone",0.727272748947144,256,32
"post-operative",0.666666686534881,1,"rect",0.727272748947144,256,32
"post-operative",0.666666686534881,0.01,"cone",0.727272748947144,1024,16
"post-operative",0.666666686534881,0.01,"cone",0.727272748947144,512,16
"post-operative",0.666666686534881,0.01,"rect",0.727272748947144,512,16
"post-operative",0.666666686534881,0.01,"cone",0.727272748947144,256,16
"post-operative",0.666666686534881,0.01,"rect",0.727272748947144,256,16
"post-operative",0.666666686534881,0.1,"cone",0.727272748947144,512,16
"post-operative",0.666666686534881,0.1,"cone",0.727272748947144,256,16
"post-operative",0.666666686534881,1,"rect",0.727272748947144,1024,16
"post-operative",0.666666686534881,1,"cone",0.727272748947144,256,16
"post-operative",0.666666686534881,1,"rect",0.727272748947144,256,16
"post-operative",0.666666686534881,0.01,"cone",0.727272748947144,1024,8
"post-operative",0.666666686534881,0.01,"rect",0.727272748947144,1024,8
"post-operative",0.666666686534881,0.01,"cone",0.727272748947144,512,8
"post-operative",0.666666686534881,0.01,"rect",0.727272748947144,512,8
"post-operative",0.666666686534881,0.01,"cone",0.727272748947144,256,8
"post-operative",0.666666686534881,0.1,"cone",0.727272748947144,1024,8
"post-operative",0.666666686534881,0.1,"cone",0.727272748947144,512,8
"post-operative",0.666666686534881,0.1,"cone",0.727272748947144,256,8
"post-operative",0.666666686534881,0.1,"rect",0.727272748947144,256,8
"post-operative",0.666666686534881,0.01,"cone",0.727272748947144,1024,4
"post-operative",0.666666686534881,0.01,"rect",0.727272748947144,1024,4
"post-operative",0.666666686534881,0.01,"cone",0.727272748947144,512,4
"post-operative",0.666666686534881,0.01,"rect",0.727272748947144,512,4
"post-operative",0.666666686534881,0.01,"cone",0.727272748947144,256,4
"post-operative",0.666666686534881,0.01,"rect",0.727272748947144,256,4
"post-operative",0.666666686534881,0.1,"cone",0.727272748947144,1024,4
"post-operative",0.666666686534881,0.1,"cone",0.727272748947144,512,4
"post-operative",0.666666686534881,0.1,"cone",0.727272748947144,256,4
"post-operative",0.666666686534881,0.1,"rect",0.727272748947144,256,4
"post-operative",0.666666686534881,0.01,"cone",0.727272748947144,1024,3
"post-operative",0.666666686534881,0.01,"rect",0.727272748947144,1024,3
"post-operative",0.666666686534881,0.01,"cone",0.727272748947144,512,3
"post-operative",0.666666686534881,0.01,"rect",0.727272748947144,512,3
"post-operative",0.666666686534881,0.01,"cone",0.727272748947144,256,3
"post-operative",0.666666686534881,0.01,"rect",0.727272748947144,256,3
"post-operative",0.666666686534881,0.1,"cone",0.727272748947144,1024,3
"post-operative",0.666666686534881,0.1,"cone",0.727272748947144,512,3
"post-operative",0.666666686534881,0.1,"rect",0.681818187236786,512,3
"post-operative",0.666666686534881,0.1,"cone",0.727272748947144,256,3
"post-operative",0.666666686534881,0.1,"rect",0.727272748947144,256,3
"post-operative",0.666666686534881,0.01,"cone",0.727272748947144,1024,2
"post-operative",0.666666686534881,0.01,"rect",0.727272748947144,1024,2
"post-operative",0.666666686534881,0.01,"cone",0.727272748947144,512,2
"post-operative",0.666666686534881,0.01,"rect",0.727272748947144,512,2
"post-operative",0.666666686534881,0.01,"cone",0.727272748947144,256,2
"post-operative",0.666666686534881,0.01,"rect",0.727272748947144,256,2
"post-operative",0.666666686534881,0.1,"cone",0.727272748947144,1024,2
"post-operative",0.666666686534881,0.1,"cone",0.727272748947144,512,2
"post-operative",0.666666686534881,0.1,"rect",0.727272748947144,512,2
"post-operative",0.666666686534881,0.1,"cone",0.727272748947144,256,2
"post-operative",0.666666686534881,0.1,"rect",0.727272748947144,256,2
"post-operative",0.655555576086044,0.1,"rect",0.727272748947144,1024,2
"post-operative",0.644444465637207,1,"rect",0.727272748947144,1024,8
"post-operative",0.644444465637207,0.1,"rect",0.772727310657501,1024,3
"post-operative",0.644444459676743,0.1,"rect",0.727272748947144,1024,8
"post-operative",0.633333352208137,1,"rect",0.727272748947144,512,16
"post-operative",0.633333352208137,1,"rect",0.272727280855179,512,8
"post-operative",0.611111131310463,1,"rect",0.727272748947144,256,4
"post-operative",0.611111128330231,0.1,"rect",0.681818187236786,1024,4
"post-operative",0.600000020861626,1,"cone",0.727272748947144,256,2
"post-operative",0.600000017881393,1,"cone",0.727272748947144,512,32
"post-operative",0.600000017881393,0.01,"rect",0.727272748947144,512,32
"post-operative",0.600000017881393,1,"rect",0.727272748947144,1024,32
"post-operative",0.588888908922672,1,"cone",0.727272748947144,256,8
"post-operative",0.588888907432556,0.1,"rect",0.727272748947144,512,8
"post-operative",0.577777802944183,1,"cone",0.727272748947144,1024,4
"post-operative",0.577777799963951,1,"rect",0.227272734045982,1024,3
"post-operative",0.577777792513371,1,"cone",0.409090936183929,512,4
"post-operative",0.577777791023254,1,"rect",0.454545468091965,256,8
"post-operative",0.566666689515114,0.1,"rect",0.681818187236786,512,4
"post-operative",0.566666683554649,0.1,"rect",0.727272748947144,1024,16
"post-operative",0.555555579066277,1,"cone",0.727272748947144,512,2
"post-operative",0.555555573105812,1,"cone",0.272727280855179,1024,16
"post-operative",0.544444465637207,1,"cone",0.681818187236786,512,3
"post-operative",0.544444459676743,0.1,"rect",0.727272748947144,256,16
"post-operative",0.533333347737789,0.1,"rect",0.181818187236786,512,16
"post-operative",0.522222238779068,1,"cone",0.272727280855179,1024,3
"post-operative",0.500000014901161,0.01,"cone",0.272727280855179,512,32
"post-operative",0.500000013411045,1,"rect",0.636363625526428,256,2
"post-operative",0.488888904452324,1,"cone",0.636363625526428,1024,2
"post-operative",0.488888904452324,1,"rect",0.454545468091965,512,3
"post-operative",0.488888901472092,1,"rect",0.454545468091965,512,4
"post-operative",0.488888900727034,1,"cone",0.545454561710358,256,4
"post-operative",0.466666682809591,1,"cone",0.727272748947144,256,3
"post-operative",0.466666679084301,1,"cone",0.5,1024,8
"post-operative",0.455555564165115,0.01,"cone",0.545454561710358,256,32
"post-operative",0.422222233563662,1,"rect",0.5,1024,2
"post-operative",0.422222232818603,1,"cone",0.409090936183929,512,8
"post-operative",0.422222232818603,1,"rect",0.136363640427589,256,3
"post-operative",0.388888899981976,1,"rect",0.5,512,2
"post-operative",0.300000008940697,1,"cone",0,512,16
"post-operative",0.222222225368023,1,"rect",0.0909090936183929,1024,4
"post-operative",0.133333337306976,0.1,"cone",0,256,32
"post-operative",0.133333337306976,1,"cone",0,1024,32
"post-operative",0.100000002980232,0.1,"cone",0.272727280855179,1024,32
"post-operative",0,0.01,"cone",0,1024,32
"post-operative",0,0.01,"rect",0,256,32
