"dataset","nlayers","layerForm","nhidden","testAccuracy","valAccuracy","learningrate"
"statlog-heart",3,"cone",1024,0.791044771671295,0.899999976158142,0.01
"statlog-heart",3,"cone",512,0.791044771671295,0.899999976158142,0.01
"statlog-heart",4,"cone",1024,0.850746273994446,0.879999995231629,0.01
"statlog-heart",3,"rect",256,0.850746273994446,0.865000003576279,1
"statlog-heart",2,"rect",512,0.820895493030548,0.855000013113022,0.01
"statlog-heart",2,"cone",256,0.850746273994446,0.850000023841858,0.01
"statlog-heart",4,"cone",512,0.776119410991669,0.845000022649765,0.1
"statlog-heart",8,"rect",256,0.850746273994446,0.845000004768372,0.1
"statlog-heart",8,"cone",256,0.820895493030548,0.830000019073487,1
"statlog-heart",3,"cone",1024,0.761193990707397,0.830000019073487,0.1
"statlog-heart",3,"rect",256,0.805970132350922,0.825000005960465,0.01
"statlog-heart",2,"rect",1024,0.820895433425903,0.820000016689301,1
"statlog-heart",4,"rect",256,0.805970132350922,0.820000004768372,0.01
"statlog-heart",16,"rect",1024,0.776119351387024,0.819999992847443,1
"statlog-heart",8,"rect",256,0.835820853710175,0.815000015497208,1
"statlog-heart",4,"rect",512,0.865671634674072,0.815000015497208,1
"statlog-heart",3,"rect",512,0.835820913314819,0.810000014305115,0.01
"statlog-heart",4,"rect",1024,0.850746273994446,0.805000013113022,0.1
"statlog-heart",4,"rect",1024,0.850746273994446,0.805000007152558,1
"statlog-heart",3,"rect",1024,0.880596995353699,0.805000007152557,0.1
"statlog-heart",4,"rect",256,0.656716406345367,0.800000017881394,1
"statlog-heart",16,"rect",256,0.776119351387024,0.800000011920929,0.1
"statlog-heart",2,"rect",256,0.850746273994446,0.800000011920929,0.01
"statlog-heart",2,"cone",1024,0.850746273994446,0.795000010728836,0.01
"statlog-heart",2,"cone",1024,0.850746273994446,0.795000010728836,0.1
"statlog-heart",2,"cone",512,0.880596995353699,0.795000010728836,1
"statlog-heart",8,"cone",512,0.820895493030548,0.790000009536743,0.1
"statlog-heart",8,"cone",1024,0.850746273994446,0.785000014305115,1
"statlog-heart",3,"rect",256,0.865671634674072,0.78500000834465,0.1
"statlog-heart",2,"rect",256,0.895522356033325,0.78500000834465,1
"statlog-heart",2,"rect",1024,0.805970132350922,0.78500000834465,0.01
