"dataset","learningrate","layerForm","testAccuracy","nhidden","nlayers","valAccuracy"
"titanic",0.1,"cone",0.780000030994415,512,2,0.84276727437973
"titanic",0.1,"cone",0.772727310657501,1024,2,0.842767262458802
"titanic",0.1,"rect",0.763636410236359,256,8,0.842767262458801
"titanic",0.1,"cone",0.772727310657501,256,3,0.842767256498337
"titanic",0.1,"rect",0.781818270683289,512,8,0.842767256498337
"titanic",1,"cone",0.787272751331329,256,3,0.842767256498337
"titanic",0.01,"cone",0.789090871810913,256,2,0.842767256498337
"titanic",1,"cone",0.792727291584015,1024,8,0.842767250537872
"titanic",1,"cone",0.787272691726685,256,4,0.842767250537872
"titanic",0.01,"rect",0.770909070968628,1024,16,0.842767244577408
"titanic",0.01,"cone",0.767272770404816,1024,3,0.842767244577408
"titanic",1,"cone",0.780000030994415,512,3,0.842767244577408
"titanic",1,"cone",0.783636331558228,256,2,0.841509389877319
"titanic",1,"rect",0.774545431137085,256,4,0.838364732265473
"titanic",0.1,"cone",0.774545431137085,512,3,0.833962231874466
"titanic",0.1,"rect",0.772727370262146,1024,3,0.833333307504654
"titanic",1,"cone",0.789090871810913,512,4,0.832075423002243
"titanic",0.1,"cone",0.772727251052856,1024,3,0.830188643932343
"titanic",0.1,"rect",0.740000069141388,1024,4,0.828930777311325
"titanic",0.01,"rect",0.774545550346375,1024,2,0.826415073871613
"titanic",0.1,"rect",0.772727310657501,512,3,0.826415061950684
"titanic",0.1,"rect",0.763636410236359,256,2,0.825786137580872
"titanic",0.1,"rect",0.743636429309845,512,2,0.824528282880783
"titanic",0.01,"rect",0.752727329730988,256,2,0.823899376392365
"titanic",0.01,"rect",0.750909149646759,1024,4,0.823899364471436
"titanic",0.1,"cone",0.734545469284058,1024,4,0.823899358510971
"titanic",0.1,"cone",0.734545469284058,256,2,0.823899352550507
"titanic",0.01,"rect",0.740000009536743,512,4,0.822012567520142
"titanic",0.01,"rect",0.734545469284058,512,2,0.820754700899124
"titanic",0.1,"rect",0.743636429309845,512,4,0.819496834278107
"titanic",0.01,"cone",0.743636429309845,512,2,0.817610061168671
"titanic",0.1,"cone",0.734545469284058,256,4,0.817610037326813
"titanic",0.01,"rect",0.734545469284058,512,3,0.815723264217377
"titanic",0.1,"rect",0.743636429309845,1024,2,0.8132075548172
"titanic",0.1,"rect",0.734545469284058,256,4,0.81257860660553
"titanic",1,"cone",0.765454590320587,1024,3,0.810062849521637
"titanic",1,"rect",0.7436363697052,1024,2,0.806289291381836
"titanic",1,"cone",0.778181791305542,512,2,0.804402470588684
"titanic",0.01,"rect",0.738181829452515,256,4,0.802515709400177
"titanic",0.01,"rect",0.745454549789429,512,16,0.800000017881394
"titanic",1,"cone",0.767272710800171,512,8,0.798742085695267
"titanic",0.01,"rect",0.750909149646759,1024,3,0.793710696697235
"titanic",0.01,"cone",0.740000009536743,256,3,0.78867923617363
"titanic",1,"rect",0.759999990463257,512,3,0.784276700019837
"titanic",0.01,"cone",0.740000009536743,1024,2,0.778616333007813
"titanic",0.1,"rect",0.767272710800171,1024,8,0.776729542016983
"titanic",1,"rect",0.78000009059906,512,4,0.774842736124993
"titanic",0.01,"cone",0.678181827068329,256,4,0.745911926031113
"titanic",0.01,"rect",0.678181827068329,256,16,0.737735825777054
"titanic",1,"cone",0.678181827068329,256,8,0.737106883525848
"titanic",0.1,"rect",0.69454550743103,256,3,0.735220086574554
"titanic",0.01,"cone",0.678181827068329,1024,32,0.729559761285782
"titanic",0.1,"cone",0.678181827068329,1024,32,0.729559761285782
"titanic",0.1,"cone",0.678181827068329,1024,16,0.729559761285782
"titanic",0.01,"cone",0.678181827068329,1024,16,0.729559755325317
"titanic",0.1,"cone",0.678181827068329,512,8,0.729559755325317
"titanic",0.1,"cone",0.678181827068329,512,16,0.729559749364853
"titanic",0.01,"cone",0.678181827068329,512,32,0.729559743404388
"titanic",0.01,"cone",0.678181827068329,256,32,0.729559743404388
"titanic",1,"cone",0.678181827068329,1024,32,0.729559743404388
"titanic",0.01,"cone",0.678181827068329,512,8,0.729559743404388
"titanic",0.1,"cone",0.683636367321014,512,4,0.729559743404388
"titanic",1,"rect",0.678181827068329,256,32,0.729559737443924
"titanic",0.01,"cone",0.678181827068329,1024,8,0.729559737443924
"titanic",0.01,"rect",0.678181827068329,512,8,0.729559737443924
"titanic",0.1,"cone",0.678181827068329,256,32,0.729559737443924
"titanic",0.1,"rect",0.678181827068329,1024,32,0.729559731483459
"titanic",0.01,"cone",0.678181827068329,256,16,0.729559731483459
"titanic",0.01,"rect",0.678181827068329,1024,8,0.729559731483459
"titanic",0.01,"cone",0.678181827068329,256,8,0.729559731483459
"titanic",0.01,"rect",0.678181827068329,256,8,0.729559731483459
"titanic",0.1,"cone",0.678181827068329,1024,8,0.729559731483459
"titanic",0.01,"cone",0.69454550743103,512,4,0.729559731483459
"titanic",0.1,"cone",0.678181827068329,256,16,0.729559725522995
"titanic",0.01,"cone",0.678181827068329,1024,4,0.729559725522995
"titanic",0.01,"cone",0.678181827068329,512,3,0.729559725522995
"titanic",1,"rect",0.678181827068329,1024,32,0.729559725522995
"titanic",0.01,"cone",0.678181827068329,512,16,0.729559725522995
"titanic",0.1,"rect",0.678181827068329,512,32,0.729559719562531
"titanic",1,"cone",0.678181827068329,256,16,0.72955971956253
"titanic",0.01,"rect",0.678181827068329,256,3,0.72955971956253
"titanic",0.1,"cone",0.678181827068329,256,8,0.729559713602066
"titanic",1,"rect",0.743636429309845,256,3,0.726415067911148
"titanic",1,"cone",0.769090890884399,1024,2,0.725786143541336
"titanic",1,"rect",0.774545431137085,1024,3,0.71949682533741
"titanic",1,"rect",0.7436363697052,512,2,0.702515694499016
"titanic",1,"rect",0.781818091869354,256,2,0.685534572601318
"titanic",0.1,"rect",0.678181827068329,256,32,0.683647754788399
"titanic",0.1,"rect",0.678181827068329,256,16,0.607547169923782
