"dataset","learningrate","testAccuracy","nhidden","nlayers","layerForm","valAccuracy"
"trains",0.01,0.5,1024,4,"cone",1
"trains",0.01,1,1024,3,"cone",1
"trains",0.01,0.5,1024,2,"cone",1
"trains",0.01,0.5,256,2,"cone",1
"trains",0.1,0.5,1024,2,"rect",1
"trains",0.1,0.5,512,2,"rect",0.700000017881393
"trains",0.1,0.5,256,3,"rect",0.700000014901161
"trains",0.01,0.5,512,4,"rect",0.666666686534881
"trains",0.01,0.5,256,3,"cone",0.666666686534881
"trains",0.01,0.5,256,3,"rect",0.666666686534881
"trains",0.01,0.5,512,2,"rect",0.666666686534881
"trains",0.1,0,256,2,"rect",0.666666686534881
"trains",0.1,0.5,512,4,"cone",0.633333352208137
"trains",1,0.5,512,16,"cone",0.600000017881393
"trains",1,0.5,1024,3,"cone",0.600000017881393
"trains",1,0.5,1024,4,"cone",0.566666683554649
"trains",1,0.5,512,4,"cone",0.566666683554649
"trains",1,0.5,1024,16,"cone",0.533333349227905
"trains",1,0.5,512,16,"rect",0.533333349227905
"trains",1,0.5,512,8,"rect",0.533333349227905
"trains",1,0.5,256,3,"cone",0.533333349227905
"trains",1,0.5,1024,2,"cone",0.533333349227905
"trains",1,0.5,512,2,"rect",0.533333349227905
"trains",1,0.5,256,2,"cone",0.533333349227905
"trains",1,0.5,256,16,"cone",0.533333349227905
"trains",1,0.5,1024,4,"rect",0.533333349227905
"trains",1,0.5,512,4,"rect",0.533333349227905
"trains",1,0.5,256,3,"rect",0.533333349227905
"trains",1,0.5,1024,16,"rect",0.500000014901161
"trains",1,0.5,1024,32,"rect",0.500000014901161
"trains",1,0.5,256,16,"rect",0.500000014901161
"trains",1,0.5,512,8,"cone",0.500000014901161
"trains",1,0.5,256,8,"cone",0.500000014901161
"trains",1,0.5,256,4,"rect",0.500000014901161
"trains",1,0.5,256,2,"rect",0.500000014901161
"trains",1,0.5,512,32,"rect",0.500000014901161
"trains",1,0.5,256,32,"cone",0.466666680574417
"trains",1,0.5,1024,2,"rect",0.466666680574417
"trains",1,0.5,1024,32,"cone",0.466666680574417
"trains",1,0.5,512,32,"cone",0.466666680574417
"trains",1,0.5,1024,8,"rect",0.466666680574417
"trains",1,0.5,256,4,"cone",0.466666680574417
"trains",1,0.5,1024,3,"rect",0.466666680574417
"trains",1,0.5,256,32,"rect",0.433333346247673
"trains",1,0.5,1024,8,"cone",0.433333346247673
"trains",1,0.5,256,8,"rect",0.433333346247673
"trains",1,0.5,512,3,"rect",0.433333346247673
"trains",0.01,0.5,1024,2,"rect",0.433333346247673
"trains",1,0.5,512,2,"cone",0.433333346247673
"trains",1,0.5,512,3,"cone",0.400000011920929
"trains",0.01,0.5,256,4,"rect",0.400000011920929
"trains",0.1,0.5,1024,4,"cone",0.400000011920929
"trains",0.01,0.5,1024,3,"rect",0.400000011920929
"trains",0.01,0.5,512,16,"cone",0.400000008940697
"trains",0.1,0.5,512,3,"rect",0.366666677594185
"trains",0.01,0.5,1024,8,"cone",0.366666677594185
"trains",0.01,0.5,512,8,"rect",0.366666677594185
"trains",0.1,0.5,256,4,"cone",0.366666677594185
"trains",0.01,0.5,1024,32,"cone",0.333333343267441
"trains",0.01,0.5,1024,32,"rect",0.333333343267441
"trains",0.01,0.5,512,32,"cone",0.333333343267441
"trains",0.01,0.5,512,32,"rect",0.333333343267441
"trains",0.01,0.5,256,32,"cone",0.333333343267441
"trains",0.01,0.5,256,32,"rect",0.333333343267441
"trains",0.1,0.5,1024,32,"cone",0.333333343267441
"trains",0.1,0.5,1024,32,"rect",0.333333343267441
"trains",0.1,0.5,512,32,"cone",0.333333343267441
"trains",0.1,0.5,512,32,"rect",0.333333343267441
"trains",0.1,0.5,256,32,"cone",0.333333343267441
"trains",0.1,0.5,256,32,"rect",0.333333343267441
"trains",0.01,0.5,1024,16,"cone",0.333333343267441
"trains",0.01,0.5,1024,16,"rect",0.333333343267441
"trains",0.01,0.5,512,16,"rect",0.333333343267441
"trains",0.01,0.5,256,16,"cone",0.333333343267441
"trains",0.01,0.5,256,16,"rect",0.333333343267441
"trains",0.1,0.5,1024,16,"cone",0.333333343267441
"trains",0.1,0.5,1024,16,"rect",0.333333343267441
"trains",0.1,0.5,512,16,"cone",0.333333343267441
"trains",0.1,0.5,512,16,"rect",0.333333343267441
"trains",0.1,0.5,256,16,"cone",0.333333343267441
"trains",0.1,0.5,256,16,"rect",0.333333343267441
"trains",0.01,0.5,1024,8,"rect",0.333333343267441
"trains",0.01,0.5,512,8,"cone",0.333333343267441
"trains",0.01,0.5,256,8,"cone",0.333333343267441
"trains",0.01,0.5,256,8,"rect",0.333333343267441
"trains",0.1,0.5,1024,8,"cone",0.333333343267441
"trains",0.1,0.5,1024,8,"rect",0.333333343267441
"trains",0.1,0.5,512,8,"cone",0.333333343267441
"trains",0.1,0.5,512,8,"rect",0.333333343267441
"trains",0.1,0.5,256,8,"cone",0.333333343267441
"trains",0.1,0.5,256,8,"rect",0.333333343267441
"trains",0.01,0.5,1024,4,"rect",0.333333343267441
"trains",0.01,0.5,512,4,"cone",0.333333343267441
"trains",0.01,0.5,256,4,"cone",0.333333343267441
"trains",0.1,0.5,1024,4,"rect",0.333333343267441
"trains",0.1,0.5,512,4,"rect",0.333333343267441
"trains",0.1,0.5,256,4,"rect",0.333333343267441
"trains",0.01,0.5,512,3,"cone",0.333333343267441
"trains",0.01,0.5,512,3,"rect",0.333333343267441
"trains",0.1,0.5,1024,3,"cone",0.333333343267441
"trains",0.1,0.5,1024,3,"rect",0.333333343267441
"trains",0.1,0.5,512,3,"cone",0.333333343267441
"trains",0.1,1,256,3,"cone",0.333333343267441
"trains",0.01,0.5,512,2,"cone",0.333333343267441
"trains",0.01,0.5,256,2,"rect",0.333333343267441
"trains",0.1,0.5,1024,2,"cone",0.333333343267441
"trains",0.1,0.5,512,2,"cone",0.333333343267441
"trains",0.1,0,256,2,"cone",0.333333343267441
