"dataset","nhidden","learningrate","valAccuracy","nlayers","layerForm","testAccuracy"
"wall-following",512,1,0.931503641605377,3,"cone",0.93328446149826
"wall-following",1024,1,0.931026297807694,8,"cone",0.931818187236786
"wall-following",256,1,0.929832971096039,3,"rect",0.917888581752777
"wall-following",512,1,0.9286396920681,3,"rect",0.920821130275726
"wall-following",1024,1,0.928639674186707,4,"cone",0.924486815929413
"wall-following",256,1,0.928639674186707,4,"rect",0.930351912975311
"wall-following",256,1,0.927923709154129,2,"rect",0.928152501583099
"wall-following",256,0.1,0.927207684516907,8,"cone",0.929618775844574
"wall-following",1024,1,0.926730370521546,3,"rect",0.920087993144989
"wall-following",256,1,0.9264917075634,3,"cone",0.923753678798676
"wall-following",1024,1,0.9264917075634,3,"cone",0.928152501583099
"wall-following",512,1,0.926253038644791,2,"cone",0.926686227321625
"wall-following",256,1,0.925775718688965,4,"cone",0.928152501583099
"wall-following",1024,1,0.925298362970352,4,"rect",0.92521995306015
"wall-following",256,0.1,0.92362774014473,2,"rect",0.914956033229828
"wall-following",256,0.1,0.92338907122612,4,"cone",0.902492702007294
"wall-following",256,1,0.922911751270294,2,"cone",0.926686227321625
"wall-following",256,0.1,0.922673070430756,2,"cone",0.91715544462204
"wall-following",1024,1,0.921241110563278,2,"rect",0.923753678798676
"wall-following",256,1,0.920525091886521,8,"rect",0.920821130275726
"wall-following",512,1,0.919331753253937,8,"rect",0.928152501583099
"wall-following",512,1,0.918854457139969,4,"cone",0.923753678798676
"wall-following",1024,1,0.91885444521904,2,"cone",0.92521995306015
"wall-following",256,0.1,0.918615812063217,16,"rect",0.913489699363708
"wall-following",512,1,0.918377143144608,2,"rect",0.920821130275726
"wall-following",256,0.1,0.918138456344605,4,"rect",0.913489758968353
"wall-following",512,0.1,0.917183810472489,4,"cone",0.913489758968353
"wall-following",512,1,0.915035873651505,8,"cone",0.930351912975311
"wall-following",512,1,0.913365215063095,4,"rect",0.916422307491302
"wall-following",256,0.1,0.911455923318863,16,"cone",0.892228782176971
"wall-following",512,0.1,0.910739916563034,3,"cone",0.917888581752777
"wall-following",512,1,0.908353281021118,16,"cone",0.889296233654022
"wall-following",256,0.1,0.907159942388535,3,"cone",0.912756621837616
"wall-following",512,0.1,0.902625334262848,16,"cone",0.900293290615082
"wall-following",256,1,0.900716018676758,16,"cone",0.906891524791718
"wall-following",512,0.1,0.897374749183655,8,"cone",0.897360742092133
