"dataset","layerForm","learningrate","valAccuracy","testAccuracy","nlayers","nhidden"
"waveform-noise","cone",0.01,0.868421137332916,0.847999930381775,2,256
"waveform-noise","rect",0.1,0.856842166185379,0.852799952030182,16,512
"waveform-noise","rect",0.01,0.844210553169251,0.831199944019318,3,256
"waveform-noise","cone",0.1,0.843157958984375,0.832799911499023,8,1024
"waveform-noise","cone",0.1,0.842105317115784,0.843999922275543,16,1024
"waveform-noise","cone",0.01,0.840263211727142,0.828799962997437,3,256
"waveform-noise","rect",0.1,0.838157939910889,0.843199968338013,8,256
"waveform-noise","rect",0.1,0.838157933950424,0.843199968338013,8,1024
"waveform-noise","rect",0.1,0.836842143535614,0.827999889850616,16,256
"waveform-noise","cone",0.01,0.835789525508881,0.840799927711487,4,512
"waveform-noise","rect",0.1,0.834473735094071,0.829600036144257,16,1024
"waveform-noise","rect",1,0.833684259653091,0.843199968338013,8,1024
"waveform-noise","rect",0.01,0.831052702665329,0.831200003623962,2,1024
"waveform-noise","rect",1,0.830789542198181,0.845599949359894,4,256
"waveform-noise","cone",0.1,0.830526351928711,0.833599925041199,3,512
"waveform-noise","cone",1,0.830263221263886,0.839999973773956,3,512
"waveform-noise","cone",0.01,0.830263179540634,0.798399984836578,4,256
"waveform-noise","rect",0.1,0.830000054836273,0.827199935913086,8,512
"waveform-noise","cone",1,0.829210561513901,0.839999973773956,4,1024
"waveform-noise","rect",1,0.828421115875244,0.844799935817719,3,1024
"waveform-noise","cone",0.1,0.828157943487167,0.820799946784973,8,256
"waveform-noise","rect",0.1,0.827631652355194,0.828799962997437,2,512
"waveform-noise","cone",0.1,0.826842176914215,0.831199944019318,16,256
"waveform-noise","cone",0.1,0.826052689552307,0.832799911499023,8,512
"waveform-noise","cone",1,0.825263208150864,0.84799998998642,4,512
"waveform-noise","cone",0.01,0.825263196229935,0.806399941444397,16,256
"waveform-noise","rect",0.1,0.824736887216568,0.830399990081787,2,1024
"waveform-noise","rect",0.1,0.823947429656983,0.829599976539612,4,256
"waveform-noise","rect",0.1,0.82263160943985,0.831199944019318,3,1024
"waveform-noise","rect",0.01,0.822368532419205,0.834399938583374,3,1024
"waveform-noise","cone",0.1,0.822368454933167,0.834399938583374,16,512
"waveform-noise","cone",1,0.821842175722122,0.812799990177155,16,1024
"waveform-noise","cone",0.1,0.821315854787827,0.823199927806854,2,256
"waveform-noise","cone",0.01,0.820000070333481,0.838399946689606,2,512
"waveform-noise","rect",0.01,0.819736927747726,0.804800033569336,16,256
"waveform-noise","rect",0.01,0.818684273958206,0.824000000953674,2,256
"waveform-noise","cone",0.01,0.818684267997742,0.808000028133392,3,512
"waveform-noise","cone",1,0.818421131372452,0.823199927806854,4,256
"waveform-noise","rect",0.1,0.817368471622467,0.845599889755249,4,512
"waveform-noise","cone",0.1,0.815000087022781,0.805599987506866,3,256
"waveform-noise","rect",0.1,0.814210575819015,0.815999984741211,3,256
"waveform-noise","rect",1,0.812894809246063,0.840799987316132,4,1024
"waveform-noise","rect",1,0.812368482351303,0.743199944496155,16,256
"waveform-noise","cone",1,0.809473741054535,0.851999938488007,2,512
"waveform-noise","rect",1,0.808684277534485,0.828799962997437,8,256
"waveform-noise","rect",1,0.808421117067337,0.867200016975403,3,256
"waveform-noise","rect",1,0.80815794467926,0.798399984836578,8,512
"waveform-noise","cone",0.1,0.80789480805397,0.845599949359894,2,512
"waveform-noise","cone",0.01,0.807894790172577,0.828799962997437,4,1024
"waveform-noise","cone",0.1,0.807631647586822,0.83840000629425,4,1024
"waveform-noise","cone",0.1,0.807105314731598,0.841599941253662,2,1024
"waveform-noise","cone",0.1,0.806315851211548,0.821600019931793,3,1024
"waveform-noise","cone",1,0.8060526907444,0.81439995765686,16,512
"waveform-noise","rect",0.1,0.804736918210983,0.820799946784973,2,256
"waveform-noise","cone",1,0.80421057343483,0.81360000371933,8,1024
"waveform-noise","rect",1,0.801052689552307,0.749599933624268,4,512
"waveform-noise","rect",0.01,0.800789529085159,0.816799938678741,2,512
"waveform-noise","rect",1,0.798947447538376,0.831200003623962,3,512
"waveform-noise","cone",1,0.798684251308441,0.827199935913086,8,512
"waveform-noise","rect",0.01,0.798157948255539,0.749599874019623,16,1024
"waveform-noise","rect",0.01,0.797631651163101,0.786400020122528,4,1024
"waveform-noise","rect",0.1,0.796052676439285,0.846399962902069,3,512
"waveform-noise","rect",1,0.793421125411987,0.835199952125549,2,1024
"waveform-noise","cone",0.01,0.792894804477692,0.816799998283386,2,1024
"waveform-noise","cone",1,0.792368495464325,0.819999933242798,2,256
"waveform-noise","rect",1,0.792105329036712,0.753600001335144,2,256
