"dataset","valAccuracy","layerForm","nhidden","learningrate","nlayers","testAccuracy"
"zoo",1,"rect",512,0.01,16,0.719999969005585
"zoo",1,"rect",512,0.01,8,0.639999985694885
"zoo",1,"rect",256,0.01,8,0.759999990463257
"zoo",1,"cone",1024,0.1,8,0.799999952316284
"zoo",1,"rect",1024,0.1,8,0.799999952316284
"zoo",1,"cone",512,0.1,8,0.759999990463257
"zoo",1,"rect",512,0.1,8,0.879999995231628
"zoo",1,"rect",256,0.1,8,0.919999957084656
"zoo",1,"cone",256,1,8,0.719999969005585
"zoo",1,"cone",1024,0.01,4,0.879999995231628
"zoo",1,"rect",1024,0.01,4,1
"zoo",1,"cone",512,0.01,4,0.759999990463257
"zoo",1,"rect",512,0.01,4,0.919999957084656
"zoo",1,"cone",256,0.01,4,0.919999957084656
"zoo",1,"rect",256,0.01,4,0.839999973773956
"zoo",1,"cone",1024,0.1,4,0.959999978542328
"zoo",1,"rect",1024,0.1,4,1
"zoo",1,"cone",512,0.1,4,0.919999957084656
"zoo",1,"rect",512,0.1,4,0.959999978542328
"zoo",1,"cone",256,0.1,4,0.919999957084656
"zoo",1,"rect",256,0.1,4,0.919999957084656
"zoo",1,"cone",1024,1,4,0.799999952316284
"zoo",1,"rect",1024,1,4,0.839999973773956
"zoo",1,"cone",512,1,4,0.799999952316284
"zoo",1,"rect",512,1,4,0.879999995231628
"zoo",1,"cone",256,1,4,0.839999973773956
"zoo",1,"rect",256,1,4,0.839999973773956
"zoo",1,"cone",1024,0.01,3,0.959999978542328
"zoo",1,"rect",1024,0.01,3,0.919999957084656
"zoo",1,"cone",512,0.01,3,0.879999995231628
"zoo",1,"rect",512,0.01,3,0.919999957084656
"zoo",1,"cone",256,0.01,3,0.799999952316284
"zoo",1,"rect",256,0.01,3,0.959999978542328
"zoo",1,"cone",1024,0.1,3,0.919999957084656
"zoo",1,"rect",1024,0.1,3,0.959999978542328
"zoo",1,"cone",512,0.1,3,0.959999978542328
"zoo",1,"rect",512,0.1,3,1
"zoo",1,"cone",256,0.1,3,0.919999957084656
"zoo",1,"rect",256,0.1,3,0.919999957084656
"zoo",1,"cone",1024,1,3,0.759999990463257
"zoo",1,"rect",1024,1,3,0.839999973773956
"zoo",1,"cone",512,1,3,0.959999978542328
"zoo",1,"rect",512,1,3,0.839999973773956
"zoo",1,"cone",256,1,3,0.879999995231628
"zoo",1,"rect",256,1,3,0.839999973773956
"zoo",1,"cone",1024,0.01,2,0.959999978542328
"zoo",1,"rect",1024,0.01,2,0.959999978542328
"zoo",1,"cone",512,0.01,2,0.959999978542328
"zoo",1,"rect",512,0.01,2,0.959999978542328
"zoo",1,"cone",256,0.01,2,0.919999957084656
"zoo",1,"rect",256,0.01,2,0.959999978542328
"zoo",1,"cone",1024,0.1,2,1
"zoo",1,"rect",1024,0.1,2,1
"zoo",1,"cone",512,0.1,2,0.959999978542328
"zoo",1,"rect",512,0.1,2,1
"zoo",1,"cone",256,0.1,2,0.879999995231628
"zoo",1,"rect",256,0.1,2,0.919999957084656
"zoo",1,"cone",1024,1,2,0.879999995231628
"zoo",1,"rect",1024,1,2,0.919999957084656
"zoo",1,"cone",512,1,2,0.959999978542328
"zoo",1,"rect",512,1,2,0.839999973773956
"zoo",1,"cone",256,1,2,0.879999995231628
"zoo",1,"rect",256,1,2,0.879999995231628
"zoo",0.983333337306976,"rect",1024,0.01,16,0.839999973773956
"zoo",0.933333349227905,"rect",1024,0.01,8,0.799999952316284
"zoo",0.933333349227905,"cone",1024,1,8,0.600000023841858
"zoo",0.916666686534882,"cone",1024,0.1,16,0.479999989271164
"zoo",0.916666686534882,"cone",512,0.01,8,0.519999980926514
"zoo",0.916666667163372,"rect",1024,1,8,0.319999992847443
"zoo",0.850000035762787,"cone",256,0.01,16,0.439999967813492
"zoo",0.850000035762787,"cone",1024,0.01,8,0.439999967813492
"zoo",0.833333373069763,"cone",1024,0.1,32,0.439999967813492
"zoo",0.833333373069763,"cone",512,0.1,32,0.439999967813492
"zoo",0.833333373069763,"cone",256,0.1,32,0.439999967813492
"zoo",0.833333373069763,"rect",256,0.1,32,0.439999967813492
"zoo",0.833333373069763,"cone",1024,1,32,0.439999967813492
"zoo",0.833333373069763,"cone",512,1,32,0.439999967813492
"zoo",0.833333373069763,"cone",256,1,32,0.439999967813492
"zoo",0.833333373069763,"cone",1024,0.01,16,0.519999980926514
"zoo",0.833333373069763,"cone",512,0.01,16,0.439999967813492
"zoo",0.833333373069763,"rect",256,0.01,16,0.439999967813492
"zoo",0.833333373069763,"rect",512,0.1,16,0.560000002384186
"zoo",0.833333373069763,"cone",256,1,16,0.439999967813492
"zoo",0.833333373069763,"cone",256,0.01,8,0.439999967813492
"zoo",0.833333373069763,"cone",256,0.1,8,0.479999959468842
"zoo",0.833333373069763,"cone",512,1,8,0.479999989271164
"zoo",0.833333373069763,"rect",256,1,8,0.560000002384186
"zoo",0.766666702926159,"rect",256,1,16,0.439999967813492
"zoo",0.766666668653488,"rect",256,0.1,16,0.679999947547913
"zoo",0.683333365619183,"rect",1024,1,16,0.439999967813492
"zoo",0.583333361148834,"rect",512,0.1,32,0.439999967813492
"zoo",0.466666674613953,"rect",512,1,8,0.439999967813492
"zoo",0.350000010430813,"cone",512,1,16,0.0799999982118607
"zoo",0.300000011920929,"rect",512,1,16,0.199999988079071
"zoo",0.250000011920929,"rect",1024,0.1,32,0.0799999982118607
"zoo",0.16666667163372,"cone",1024,0.01,32,0.199999988079071
"zoo",0.16666667163372,"cone",512,0.01,32,0.199999988079071
"zoo",0.16666667163372,"rect",512,1,32,0.199999988079071
"zoo",0.16666667163372,"rect",256,1,32,0.199999988079071
"zoo",0.16666667163372,"cone",1024,1,16,0.280000001192093
"zoo",0.150000005960464,"cone",256,0.01,32,0.119999997317791
"zoo",0.150000004470348,"rect",1024,0.1,16,0.280000001192093
"zoo",0.0833333373069763,"rect",1024,1,32,0.0399999991059303
"zoo",0,"rect",1024,0.01,32,0.0799999982118607
"zoo",0,"rect",512,0.01,32,0.0399999991059303
"zoo",0,"rect",256,0.01,32,0.0399999991059303
"zoo",0,"cone",512,0.1,16,0.0399999991059303
"zoo",0,"cone",256,0.1,16,0.119999997317791
