,nlayers,activationFn,layerForm,nstart,dR,dropoutFn,testAccuracy,learningrate,valAccuracy
0,2,3,rect,256,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,10.0,0.6666666865348815
1,2,3,rect,256,0.0,<function dropout at 0x7f47f36efa60>,1.0,1.0,0.9999999999999999
2,2,3,rect,256,0.0,<function dropout at 0x7f47f36efa60>,1.0,0.1,0.9999999999999999
3,2,3,rect,256,0.0,<function dropout at 0x7f47f36efa60>,1.0,0.01,0.9999999999999999
4,2,3,rect,256,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,10.0,0.6666666865348815
5,2,3,rect,256,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,1.0,0.6666666865348815
6,2,3,rect,256,0.5,<function dropout at 0x7f47f36efa60>,1.0,0.1,0.9999999999999999
7,2,3,rect,256,0.5,<function dropout at 0x7f47f36efa60>,1.0,0.01,0.9999999999999999
8,2,3,rect,512,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,10.0,0.6666666865348815
9,2,3,rect,512,0.0,<function dropout at 0x7f47f36efa60>,1.0,1.0,0.9999999999999999
10,2,3,rect,512,0.0,<function dropout at 0x7f47f36efa60>,1.0,0.1,0.9999999999999999
11,2,3,rect,512,0.0,<function dropout at 0x7f47f36efa60>,1.0,0.01,0.9999999999999999
12,2,3,rect,512,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,10.0,0.6666666865348815
13,2,3,rect,512,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,1.0,0.7000000178813933
14,2,3,rect,512,0.5,<function dropout at 0x7f47f36efa60>,1.0,0.1,0.9999999999999999
15,2,3,rect,512,0.5,<function dropout at 0x7f47f36efa60>,1.0,0.01,0.9999999999999999
16,2,3,rect,1024,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,10.0,0.6666666865348815
17,2,3,rect,1024,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,1.0,0.6666666865348815
18,2,3,rect,1024,0.0,<function dropout at 0x7f47f36efa60>,1.0,0.1,0.9999999999999999
19,2,3,rect,1024,0.0,<function dropout at 0x7f47f36efa60>,1.0,0.01,0.9999999999999999
20,2,3,rect,1024,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,10.0,0.6666666865348815
21,2,3,rect,1024,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,1.0,0.6666666865348815
22,2,3,rect,1024,0.5,<function dropout at 0x7f47f36efa60>,1.0,0.1,0.9999999999999999
23,2,3,rect,1024,0.5,<function dropout at 0x7f47f36efa60>,1.0,0.01,0.9999999999999999
24,3,3,rect,256,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,10.0,0.6666666865348815
25,3,3,rect,256,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,1.0,0.6666666865348815
26,3,3,rect,256,0.0,<function dropout at 0x7f47f36efa60>,1.0,0.1,0.9999999999999999
27,3,3,rect,256,0.0,<function dropout at 0x7f47f36efa60>,1.0,0.01,0.9999999999999999
28,3,3,rect,256,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,10.0,0.6666666865348815
29,3,3,rect,256,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,1.0,0.6666666865348815
30,3,3,rect,256,0.5,<function dropout at 0x7f47f36efa60>,1.0,0.1,0.9999999999999999
31,3,3,rect,256,0.5,<function dropout at 0x7f47f36efa60>,1.0,0.01,0.9999999999999999
32,3,3,rect,512,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,10.0,0.6666666865348815
33,3,3,rect,512,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,1.0,0.6666666865348815
34,3,3,rect,512,0.0,<function dropout at 0x7f47f36efa60>,1.0,0.1,0.9999999999999999
35,3,3,rect,512,0.0,<function dropout at 0x7f47f36efa60>,1.0,0.01,0.9999999999999999
36,3,3,rect,512,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,10.0,0.6666666865348815
37,3,3,rect,512,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,1.0,0.6666666865348815
38,3,3,rect,512,0.5,<function dropout at 0x7f47f36efa60>,1.0,0.1,0.9999999999999999
39,3,3,rect,512,0.5,<function dropout at 0x7f47f36efa60>,1.0,0.01,0.9999999999999999
40,3,3,rect,1024,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,10.0,0.6666666865348815
41,3,3,rect,1024,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,1.0,0.6888889133930205
42,3,3,rect,1024,0.0,<function dropout at 0x7f47f36efa60>,1.0,0.1,0.9999999999999999
43,3,3,rect,1024,0.0,<function dropout at 0x7f47f36efa60>,1.0,0.01,0.9999999999999999
44,3,3,rect,1024,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,10.0,0.6666666865348815
