,dropoutFn,activationFn,nlayers,nstart,valAccuracy,dR,learningrate,testAccuracy,layerForm
0,<function dropout at 0x7ff938806a60>,3,2,256,0.07460318803787232,0.0,10.0,0.7599999904632568,cone
1,<function dropout at 0x7ff938806a60>,3,2,256,0.8992063820362092,0.0,1.0,0.7699999809265137,cone
2,<function dropout at 0x7ff938806a60>,3,2,256,0.9142857789993286,0.0,0.1,0.75,cone
3,<function dropout at 0x7ff938806a60>,3,2,256,0.8888889551162719,0.0,0.01,0.7599999904632568,cone
4,<function dropout at 0x7ff938806a60>,3,2,256,0.011111111938953401,0.5,10.0,0.07000000029802322,cone
5,<function dropout at 0x7ff938806a60>,3,2,256,0.909523868560791,0.5,1.0,0.6899999380111694,cone
6,<function dropout at 0x7ff938806a60>,3,2,256,0.8873016595840453,0.5,0.1,0.7599999904632568,cone
7,<function dropout at 0x7ff938806a60>,3,2,256,0.8603175163269041,0.5,0.01,0.7599999904632568,cone
8,<function dropout at 0x7ff938806a60>,3,2,512,0.06984127759933471,0.0,10.0,0.7599999904632568,cone
9,<function dropout at 0x7ff938806a60>,3,2,512,0.9126984655857086,0.0,1.0,0.3199999928474426,cone
10,<function dropout at 0x7ff938806a60>,3,2,512,0.9230159282684326,0.0,0.1,0.7599999904632568,cone
11,<function dropout at 0x7ff938806a60>,3,2,512,0.8968254327774049,0.0,0.01,0.7599999904632568,cone
12,<function dropout at 0x7ff938806a60>,3,2,512,0.07460318803787232,0.5,10.0,0.7599999904632568,cone
13,<function dropout at 0x7ff938806a60>,3,2,512,0.8452381491661072,0.5,1.0,0.7599999904632568,cone
14,<function dropout at 0x7ff938806a60>,3,2,512,0.8825397551059722,0.5,0.1,0.7699999809265137,cone
15,<function dropout at 0x7ff938806a60>,3,2,512,0.8888889551162719,0.5,0.01,0.7599999904632568,cone
16,<function dropout at 0x7ff938806a60>,3,2,1024,0.07460318803787232,0.0,10.0,0.7599999904632568,cone
17,<function dropout at 0x7ff938806a60>,3,2,1024,0.0976190596818924,0.0,1.0,0.49000003933906555,cone
