,dropoutFn,testAccuracy,activationFn,valAccuracy,layerForm,nlayers,learningrate,dR,nstart
0,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.08294574283063412,rect,2,10.0,0.0,256
1,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.08294573687016965,rect,2,10.0,0.0,512
2,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.0635658945888281,rect,2,10.0,0.0,1024
3,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.08294573687016965,rect,2,10.0,0.5,256
4,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.08294573687016965,rect,2,10.0,0.5,512
5,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.08294573687016965,rect,2,10.0,0.5,1024
6,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.3728682201355696,rect,2,1.0,0.0,256
7,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.07131783030927182,rect,2,1.0,0.0,512
8,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.038759692758321765,rect,2,1.0,0.0,1024
9,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.10232557915151119,rect,2,1.0,0.5,256
10,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.09379844665527344,rect,2,1.0,0.5,512
11,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.09302325546741487,rect,2,1.0,0.5,1024
12,<function dropout at 0x7f5ae6e12a60>,0.7699999809265137,3,0.940310049057007,rect,2,0.1,0.0,256
13,<function dropout at 0x7f5ae6e12a60>,0.7699999809265137,3,0.9348836898803713,rect,2,0.1,0.0,512
14,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.9286821365356446,rect,2,0.1,0.0,1024
15,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.9007751524448395,rect,2,0.1,0.5,256
16,<function dropout at 0x7f5ae6e12a60>,0.7699999809265137,3,0.8883720815181733,rect,2,0.1,0.5,512
17,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.8751937806606293,rect,2,0.1,0.5,1024
18,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.9108526706695558,rect,2,0.01,0.0,256
