,activationFn,valAccuracy,nstart,nlayers,layerForm,dR,learningrate,testAccuracy,dropoutFn
0,3,0.5555555820465087,256,2,rect,0.0,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
1,3,0.5555555820465087,256,2,rect,0.0,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
2,3,0.7407407760620118,256,2,rect,0.0,0.1,0.6637167930603027,<function dropout at 0x7f26f9045a60>
3,3,0.735185205936432,256,2,rect,0.0,0.01,0.6194689869880676,<function dropout at 0x7f26f9045a60>
4,3,0.5555555820465087,256,2,rect,0.5,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
5,3,0.5555555820465087,256,2,rect,0.5,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
6,3,0.7518518567085266,256,2,rect,0.5,0.1,0.6902654767036438,<function dropout at 0x7f26f9045a60>
7,3,0.7592592239379882,256,2,rect,0.5,0.01,0.6902654767036438,<function dropout at 0x7f26f9045a60>
8,3,0.5555555820465087,256,3,rect,0.0,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
9,3,0.5555555820465087,256,3,rect,0.0,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
10,3,0.7777777910232543,256,3,rect,0.0,0.1,0.6637167930603027,<function dropout at 0x7f26f9045a60>
11,3,0.759259283542633,256,3,rect,0.0,0.01,0.6194689869880676,<function dropout at 0x7f26f9045a60>
12,3,0.5555555820465087,256,3,rect,0.5,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
13,3,0.5555555820465087,256,3,rect,0.5,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
14,3,0.7518518447875976,256,3,rect,0.5,0.1,0.6902654767036438,<function dropout at 0x7f26f9045a60>
15,3,0.7592592239379882,256,3,rect,0.5,0.01,0.6548672318458557,<function dropout at 0x7f26f9045a60>
16,3,0.5555555820465087,256,4,rect,0.0,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
17,3,0.5555555820465087,256,4,rect,0.0,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
18,3,0.7407407760620118,256,4,rect,0.0,0.1,0.6194689869880676,<function dropout at 0x7f26f9045a60>
19,3,0.7407407760620118,256,4,rect,0.0,0.01,0.6371681094169617,<function dropout at 0x7f26f9045a60>
20,3,0.5555555820465087,256,4,rect,0.5,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
21,3,0.5555555820465087,256,4,rect,0.5,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
22,3,0.7685185253620147,256,4,rect,0.5,0.1,0.6460176706314087,<function dropout at 0x7f26f9045a60>
23,3,0.7388889193534852,256,4,rect,0.5,0.01,0.6371681690216064,<function dropout at 0x7f26f9045a60>
24,3,0.5555555820465087,256,8,rect,0.0,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
25,3,0.5555555820465087,256,8,rect,0.0,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
26,3,0.7592592239379882,256,8,rect,0.0,0.1,0.6548672318458557,<function dropout at 0x7f26f9045a60>
27,3,0.703703761100769,256,8,rect,0.0,0.01,0.6106194853782654,<function dropout at 0x7f26f9045a60>
28,3,0.5555555820465087,256,8,rect,0.5,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
29,3,0.5555555820465087,256,8,rect,0.5,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
30,3,0.39629630967974666,256,8,rect,0.5,0.1,0.1592920422554016,<function dropout at 0x7f26f9045a60>
31,3,0.34259259700775146,256,8,rect,0.5,0.01,0.31858405470848083,<function dropout at 0x7f26f9045a60>
32,3,0.5555555820465087,256,16,rect,0.0,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
33,3,0.5555555820465087,256,16,rect,0.0,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
34,3,0.5555555820465087,256,16,rect,0.0,0.1,0.5840708017349243,<function dropout at 0x7f26f9045a60>
35,3,0.6185185432434083,256,16,rect,0.0,0.01,0.5929203033447266,<function dropout at 0x7f26f9045a60>
36,3,0.5555555820465087,256,16,rect,0.5,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
37,3,0.5555555820465087,256,16,rect,0.5,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
38,3,0.5555555820465087,256,16,rect,0.5,0.1,0.5840708017349243,<function dropout at 0x7f26f9045a60>
39,3,0.12037037275731563,256,16,rect,0.5,0.01,0.2743362784385681,<function dropout at 0x7f26f9045a60>
40,3,0.5555555820465087,256,32,rect,0.0,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
41,3,0.5555555820465087,256,32,rect,0.0,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
42,3,0.5555555820465087,256,32,rect,0.0,0.1,0.5840708017349243,<function dropout at 0x7f26f9045a60>
43,3,0.527777761220932,256,32,rect,0.0,0.01,0.6548672318458557,<function dropout at 0x7f26f9045a60>
44,3,0.5555555820465087,256,32,rect,0.5,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
45,3,0.5555555820465087,256,32,rect,0.5,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
46,3,0.5555555820465087,256,32,rect,0.5,0.1,0.5840708017349243,<function dropout at 0x7f26f9045a60>
47,3,0.5555555820465087,256,32,rect,0.5,0.01,0.5840708017349243,<function dropout at 0x7f26f9045a60>
48,3,0.5555555820465087,512,2,rect,0.0,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
49,3,0.5555555820465087,512,2,rect,0.0,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
50,3,0.7666666865348815,512,2,rect,0.0,0.1,0.6283186078071594,<function dropout at 0x7f26f9045a60>
