,nlayers,layerForm,dR,valAccuracy,testAccuracy,activationFn,nstart,learningrate,dropoutFn
0,2,cone,0.0,0.1923076957464218,0.4399999976158142,3,256,10.0,<function dropout at 0x7fbea79b5a60>
1,2,cone,0.0,0.8461539149284362,0.6800000071525574,3,256,1.0,<function dropout at 0x7fbea79b5a60>
2,2,cone,0.0,0.7692308425903319,0.6399999856948853,3,256,0.1,<function dropout at 0x7fbea79b5a60>
3,2,cone,0.0,0.6538461446762086,0.7599999904632568,3,256,0.01,<function dropout at 0x7fbea79b5a60>
4,2,cone,0.0,0.1923076957464218,0.4399999976158142,3,512,10.0,<function dropout at 0x7fbea79b5a60>
5,2,cone,0.0,0.25000000931322575,0.07999999821186066,3,512,1.0,<function dropout at 0x7fbea79b5a60>
6,2,cone,0.0,0.7307692766189576,0.6399999856948853,3,512,0.1,<function dropout at 0x7fbea79b5a60>
7,2,cone,0.0,0.6923077106475829,0.7199999690055847,3,512,0.01,<function dropout at 0x7fbea79b5a60>
8,2,cone,0.0,0.1923076957464218,0.4399999976158142,3,1024,10.0,<function dropout at 0x7fbea79b5a60>
9,2,cone,0.0,0.1923076957464218,0.4399999976158142,3,1024,1.0,<function dropout at 0x7fbea79b5a60>
10,2,cone,0.0,0.8115385055541994,0.7599999904632568,3,1024,0.1,<function dropout at 0x7fbea79b5a60>
11,2,cone,0.0,0.7307692766189576,0.6399999856948853,3,1024,0.01,<function dropout at 0x7fbea79b5a60>
12,2,cone,0.5,0.1923076972365379,0.4399999976158142,3,256,10.0,<function dropout at 0x7fbea79b5a60>
13,2,cone,0.5,0.1961538508534431,0.4399999976158142,3,256,1.0,<function dropout at 0x7fbea79b5a60>
14,2,cone,0.5,0.8115385353565215,0.7599999904632568,3,256,0.1,<function dropout at 0x7fbea79b5a60>
15,2,cone,0.5,0.7730769991874694,0.5999999642372131,3,256,0.01,<function dropout at 0x7fbea79b5a60>
16,2,cone,0.5,0.1923076957464218,0.4399999976158142,3,512,10.0,<function dropout at 0x7fbea79b5a60>
17,2,cone,0.5,0.1923076957464218,0.4399999976158142,3,512,1.0,<function dropout at 0x7fbea79b5a60>
18,2,cone,0.5,0.7230769813060761,0.5999999642372131,3,512,0.1,<function dropout at 0x7fbea79b5a60>
19,2,cone,0.5,0.6538461446762086,0.6000000238418579,3,512,0.01,<function dropout at 0x7fbea79b5a60>
20,2,cone,0.5,0.1923076972365379,0.4399999976158142,3,1024,10.0,<function dropout at 0x7fbea79b5a60>
21,2,cone,0.5,0.1923076957464218,0.4399999976158142,3,1024,1.0,<function dropout at 0x7fbea79b5a60>
22,2,cone,0.5,0.761538529396057,0.6799999475479126,3,1024,0.1,<function dropout at 0x7fbea79b5a60>
23,2,cone,0.5,0.6615384876728059,0.6399999856948853,3,1024,0.01,<function dropout at 0x7fbea79b5a60>
24,3,cone,0.0,0.1923076957464218,0.4399999976158142,3,256,10.0,<function dropout at 0x7fbea79b5a60>
25,3,cone,0.0,0.20769231319427486,0.4399999976158142,3,256,1.0,<function dropout at 0x7fbea79b5a60>
26,3,cone,0.0,0.7307692766189576,0.6799999475479126,3,256,0.1,<function dropout at 0x7fbea79b5a60>
27,3,cone,0.0,0.7576923727989198,0.6799999475479126,3,256,0.01,<function dropout at 0x7fbea79b5a60>
28,3,cone,0.0,0.1923076957464218,0.4399999976158142,3,512,10.0,<function dropout at 0x7fbea79b5a60>
29,3,cone,0.0,0.20000000447034832,0.4399999976158142,3,512,1.0,<function dropout at 0x7fbea79b5a60>
30,3,cone,0.0,0.6807692527770995,0.6799999475479126,3,512,0.1,<function dropout at 0x7fbea79b5a60>
31,3,cone,0.0,0.5769231319427491,0.6399999856948853,3,512,0.01,<function dropout at 0x7fbea79b5a60>
32,3,cone,0.0,0.1923076957464218,0.4399999976158142,3,1024,10.0,<function dropout at 0x7fbea79b5a60>
33,3,cone,0.0,0.21153846830129622,0.4399999976158142,3,1024,1.0,<function dropout at 0x7fbea79b5a60>
34,3,cone,0.0,0.7692308425903319,0.5600000023841858,3,1024,0.1,<function dropout at 0x7fbea79b5a60>
35,3,cone,0.0,0.6153846979141235,0.6799999475479126,3,1024,0.01,<function dropout at 0x7fbea79b5a60>
36,3,cone,0.5,0.1923076957464218,0.4399999976158142,3,256,10.0,<function dropout at 0x7fbea79b5a60>
37,3,cone,0.5,0.1923076957464218,0.4399999976158142,3,256,1.0,<function dropout at 0x7fbea79b5a60>
38,3,cone,0.5,0.684615421295166,0.7599999904632568,3,256,0.1,<function dropout at 0x7fbea79b5a60>
39,3,cone,0.5,0.6923077106475829,0.6799999475479126,3,256,0.01,<function dropout at 0x7fbea79b5a60>
40,3,cone,0.5,0.1923076957464218,0.4399999976158142,3,512,10.0,<function dropout at 0x7fbea79b5a60>
41,3,cone,0.5,0.1923076957464218,0.4399999976158142,3,512,1.0,<function dropout at 0x7fbea79b5a60>
42,3,cone,0.5,0.7807693004608154,0.6399999856948853,3,512,0.1,<function dropout at 0x7fbea79b5a60>
43,3,cone,0.5,0.6923077106475829,0.5999999642372131,3,512,0.01,<function dropout at 0x7fbea79b5a60>
44,3,cone,0.5,0.1923076957464218,0.4399999976158142,3,1024,10.0,<function dropout at 0x7fbea79b5a60>
45,3,cone,0.5,0.1923076957464218,0.4399999976158142,3,1024,1.0,<function dropout at 0x7fbea79b5a60>
46,3,cone,0.5,0.6769230902194976,0.5999999642372131,3,1024,0.1,<function dropout at 0x7fbea79b5a60>
47,3,cone,0.5,0.7076923370361329,0.7599999904632568,3,1024,0.01,<function dropout at 0x7fbea79b5a60>
48,4,cone,0.0,0.1923076957464218,0.4399999976158142,3,256,10.0,<function dropout at 0x7fbea79b5a60>
49,4,cone,0.0,0.1961538508534431,0.4399999976158142,3,256,1.0,<function dropout at 0x7fbea79b5a60>
50,4,cone,0.0,0.7115384936332703,0.6399999856948853,3,256,0.1,<function dropout at 0x7fbea79b5a60>
51,4,cone,0.0,0.7307692766189576,0.7199999690055847,3,256,0.01,<function dropout at 0x7fbea79b5a60>
