,nlayers,dropoutFn,testAccuracy,learningrate,valAccuracy,dR,layerForm,activationFn,nstart
0,2,<function dropout at 0x7f769db9ea60>,0.46153849363327026,10.0,0.515625,0.0,cone,3,256
1,2,<function dropout at 0x7f769db9ea60>,0.07692307978868484,10.0,0.054687499999999986,0.0,cone,3,512
2,2,<function dropout at 0x7f769db9ea60>,0.07692307978868484,10.0,0.048437499999999994,0.0,cone,3,1024
3,2,<function dropout at 0x7f769db9ea60>,0.07692307978868484,10.0,0.08906249999999998,0.5,cone,3,256
4,2,<function dropout at 0x7f769db9ea60>,0.07692307978868484,10.0,0.09687499999999998,0.5,cone,3,512
5,2,<function dropout at 0x7f769db9ea60>,0.07692307978868484,10.0,0.08593749999999999,0.5,cone,3,1024
6,2,<function dropout at 0x7f769db9ea60>,0.9807692170143127,1.0,0.9671875,0.0,cone,3,256
7,2,<function dropout at 0x7f769db9ea60>,0.07692307978868484,1.0,0.1265625,0.0,cone,3,512
8,2,<function dropout at 0x7f769db9ea60>,0.07692307978868484,1.0,0.09374999999999999,0.0,cone,3,1024
9,2,<function dropout at 0x7f769db9ea60>,0.07692307978868484,1.0,0.29218750000000004,0.5,cone,3,256
10,2,<function dropout at 0x7f769db9ea60>,0.07692307978868484,1.0,0.17656250000000007,0.5,cone,3,512
11,2,<function dropout at 0x7f769db9ea60>,0.07692307978868484,1.0,0.09374999999999999,0.5,cone,3,1024
12,2,<function dropout at 0x7f769db9ea60>,0.9615384936332703,0.1,0.996875,0.0,cone,3,256
13,2,<function dropout at 0x7f769db9ea60>,0.9615384936332703,0.1,0.9921874999999998,0.0,cone,3,512
14,2,<function dropout at 0x7f769db9ea60>,0.9743589758872986,0.1,0.9828124999999999,0.0,cone,3,1024
15,2,<function dropout at 0x7f769db9ea60>,0.9294871687889099,0.1,0.9625000000000002,0.5,cone,3,256
16,2,<function dropout at 0x7f769db9ea60>,0.9551281929016113,0.1,0.9781249999999999,0.5,cone,3,512
17,2,<function dropout at 0x7f769db9ea60>,0.9487179517745972,0.1,0.9828125,0.5,cone,3,1024
18,2,<function dropout at 0x7f769db9ea60>,0.9038461446762085,0.01,0.9531250000000001,0.0,cone,3,256
19,2,<function dropout at 0x7f769db9ea60>,0.9102564454078674,0.01,0.9375,0.0,cone,3,512
20,2,<function dropout at 0x7f769db9ea60>,0.9102564454078674,0.01,0.9531250000000001,0.0,cone,3,1024
21,2,<function dropout at 0x7f769db9ea60>,0.9102563858032227,0.01,0.9249999999999999,0.5,cone,3,256
22,2,<function dropout at 0x7f769db9ea60>,0.9038461446762085,0.01,0.9375,0.5,cone,3,512
23,2,<function dropout at 0x7f769db9ea60>,0.9102563858032227,0.01,0.9515625000000002,0.5,cone,3,1024
24,3,<function dropout at 0x7f769db9ea60>,0.07692307978868484,10.0,0.04687499999999999,0.0,cone,3,256
25,3,<function dropout at 0x7f769db9ea60>,0.07692307978868484,10.0,0.04687499999999999,0.0,cone,3,512
26,3,<function dropout at 0x7f769db9ea60>,0.07692307978868484,10.0,0.04687499999999999,0.0,cone,3,1024
27,3,<function dropout at 0x7f769db9ea60>,0.07692307978868484,10.0,0.04687499999999999,0.5,cone,3,256
28,3,<function dropout at 0x7f769db9ea60>,0.07692307978868484,10.0,0.04687499999999999,0.5,cone,3,512
29,3,<function dropout at 0x7f769db9ea60>,0.07692307978868484,10.0,0.04687499999999999,0.5,cone,3,1024
30,3,<function dropout at 0x7f769db9ea60>,0.46153849363327026,1.0,0.296875,0.0,cone,3,256
31,3,<function dropout at 0x7f769db9ea60>,0.4615384638309479,1.0,0.515625,0.0,cone,3,512
32,3,<function dropout at 0x7f769db9ea60>,0.07692307978868484,1.0,0.04999999999999999,0.0,cone,3,1024
33,3,<function dropout at 0x7f769db9ea60>,0.07692307978868484,1.0,0.08593749999999999,0.5,cone,3,256
