,dropoutFn,activationFn,dR,nstart,layerForm,nlayers,testAccuracy,valAccuracy,learningrate
0,<function dropout at 0x7fd3ff0dba60>,3,0.0,256,cone,2,0.0,0.0,10.0
1,<function dropout at 0x7fd3ff0dba60>,3,0.0,256,cone,2,0.0,0.0,1.0
2,<function dropout at 0x7fd3ff0dba60>,3,0.0,256,cone,2,0.0,0.0,0.1
3,<function dropout at 0x7fd3ff0dba60>,3,0.0,256,cone,2,0.0,0.0,0.01
4,<function dropout at 0x7fd3ff0dba60>,3,0.0,256,cone,3,0.0,0.0,10.0
5,<function dropout at 0x7fd3ff0dba60>,3,0.0,256,cone,3,0.0,0.0,1.0
6,<function dropout at 0x7fd3ff0dba60>,3,0.0,256,cone,3,0.0,0.0,0.1
7,<function dropout at 0x7fd3ff0dba60>,3,0.0,256,cone,3,0.0,0.0,0.01
8,<function dropout at 0x7fd3ff0dba60>,3,0.0,256,cone,4,0.0,0.0,10.0
9,<function dropout at 0x7fd3ff0dba60>,3,0.0,256,cone,4,0.0,0.0,1.0
10,<function dropout at 0x7fd3ff0dba60>,3,0.0,256,cone,4,0.0,0.0,0.1
11,<function dropout at 0x7fd3ff0dba60>,3,0.0,256,cone,4,0.0,0.0,0.01
12,<function dropout at 0x7fd3ff0dba60>,3,0.0,256,cone,8,0.0,0.0,10.0
13,<function dropout at 0x7fd3ff0dba60>,3,0.0,256,cone,8,0.0,0.0,1.0
14,<function dropout at 0x7fd3ff0dba60>,3,0.0,256,cone,8,0.0,0.0,0.1
15,<function dropout at 0x7fd3ff0dba60>,3,0.0,256,cone,8,0.0,0.0,0.01
16,<function dropout at 0x7fd3ff0dba60>,3,0.0,256,cone,16,0.0,0.0,10.0
17,<function dropout at 0x7fd3ff0dba60>,3,0.0,256,cone,16,0.0,0.0,1.0
18,<function dropout at 0x7fd3ff0dba60>,3,0.0,256,cone,16,0.0,0.0,0.1
19,<function dropout at 0x7fd3ff0dba60>,3,0.0,256,cone,16,0.0,0.0,0.01
20,<function dropout at 0x7fd3ff0dba60>,3,0.0,256,cone,32,0.0,0.0,10.0
21,<function dropout at 0x7fd3ff0dba60>,3,0.0,256,cone,32,0.0,0.0,1.0
22,<function dropout at 0x7fd3ff0dba60>,3,0.0,256,cone,32,0.0,0.0,0.1
23,<function dropout at 0x7fd3ff0dba60>,3,0.0,256,cone,32,0.0,0.0,0.01
24,<function dropout at 0x7fd3ff0dba60>,3,0.0,512,cone,2,0.0,0.0,10.0
25,<function dropout at 0x7fd3ff0dba60>,3,0.0,512,cone,2,0.0,0.0,1.0
26,<function dropout at 0x7fd3ff0dba60>,3,0.0,512,cone,2,0.0,0.0,0.1
27,<function dropout at 0x7fd3ff0dba60>,3,0.0,512,cone,2,0.0,0.0,0.01
28,<function dropout at 0x7fd3ff0dba60>,3,0.0,512,cone,3,0.0,0.0,10.0
29,<function dropout at 0x7fd3ff0dba60>,3,0.0,512,cone,3,0.0,0.0,1.0
30,<function dropout at 0x7fd3ff0dba60>,3,0.0,512,cone,3,0.0,0.0,0.1
31,<function dropout at 0x7fd3ff0dba60>,3,0.0,512,cone,3,0.0,0.0,0.01
32,<function dropout at 0x7fd3ff0dba60>,3,0.0,512,cone,4,0.0,0.0,10.0
33,<function dropout at 0x7fd3ff0dba60>,3,0.0,512,cone,4,0.0,0.0,1.0
34,<function dropout at 0x7fd3ff0dba60>,3,0.0,512,cone,4,0.0,0.0,0.1
35,<function dropout at 0x7fd3ff0dba60>,3,0.0,512,cone,4,0.0,0.0,0.01
36,<function dropout at 0x7fd3ff0dba60>,3,0.0,512,cone,8,0.0,0.0,10.0
37,<function dropout at 0x7fd3ff0dba60>,3,0.0,512,cone,8,0.0,0.0,1.0
38,<function dropout at 0x7fd3ff0dba60>,3,0.0,512,cone,8,0.0,0.0,0.1
39,<function dropout at 0x7fd3ff0dba60>,3,0.0,512,cone,8,0.0,0.0,0.01
40,<function dropout at 0x7fd3ff0dba60>,3,0.0,512,cone,16,0.0,0.0,10.0
41,<function dropout at 0x7fd3ff0dba60>,3,0.0,512,cone,16,0.0,0.0,1.0
42,<function dropout at 0x7fd3ff0dba60>,3,0.0,512,cone,16,0.0,0.0,0.1
43,<function dropout at 0x7fd3ff0dba60>,3,0.0,512,cone,16,0.0,0.0,0.01
44,<function dropout at 0x7fd3ff0dba60>,3,0.0,512,cone,32,0.0,0.0,10.0
45,<function dropout at 0x7fd3ff0dba60>,3,0.0,512,cone,32,0.0,0.0,1.0
46,<function dropout at 0x7fd3ff0dba60>,3,0.0,512,cone,32,0.0,0.0,0.1
47,<function dropout at 0x7fd3ff0dba60>,3,0.0,512,cone,32,0.0,0.0,0.01
48,<function dropout at 0x7fd3ff0dba60>,3,0.0,1024,cone,2,0.0,0.0,10.0
49,<function dropout at 0x7fd3ff0dba60>,3,0.0,1024,cone,2,0.0,0.0,1.0
50,<function dropout at 0x7fd3ff0dba60>,3,0.0,1024,cone,2,0.0,0.0,0.1
51,<function dropout at 0x7fd3ff0dba60>,3,0.0,1024,cone,2,0.0,0.0,0.01
52,<function dropout at 0x7fd3ff0dba60>,3,0.0,1024,cone,3,0.0,0.0,10.0
53,<function dropout at 0x7fd3ff0dba60>,3,0.0,1024,cone,3,0.0,0.0,1.0
54,<function dropout at 0x7fd3ff0dba60>,3,0.0,1024,cone,3,0.0,0.0,0.1
55,<function dropout at 0x7fd3ff0dba60>,3,0.0,1024,cone,3,0.0,0.0,0.01
56,<function dropout at 0x7fd3ff0dba60>,3,0.0,1024,cone,4,0.0,0.0,10.0
57,<function dropout at 0x7fd3ff0dba60>,3,0.0,1024,cone,4,0.0,0.0,1.0
58,<function dropout at 0x7fd3ff0dba60>,3,0.0,1024,cone,4,0.0,0.0,0.1
59,<function dropout at 0x7fd3ff0dba60>,3,0.0,1024,cone,4,0.0,0.0,0.01
60,<function dropout at 0x7fd3ff0dba60>,3,0.0,1024,cone,8,0.0,0.0,10.0
61,<function dropout at 0x7fd3ff0dba60>,3,0.0,1024,cone,8,0.0,0.0,1.0
62,<function dropout at 0x7fd3ff0dba60>,3,0.0,1024,cone,8,0.0,0.0,0.1
63,<function dropout at 0x7fd3ff0dba60>,3,0.0,1024,cone,8,0.0,0.0,0.01
64,<function dropout at 0x7fd3ff0dba60>,3,0.0,1024,cone,16,0.0,0.0,10.0
65,<function dropout at 0x7fd3ff0dba60>,3,0.0,1024,cone,16,0.0,0.0,1.0
66,<function dropout at 0x7fd3ff0dba60>,3,0.0,1024,cone,16,0.0,0.0,0.1
67,<function dropout at 0x7fd3ff0dba60>,3,0.0,1024,cone,16,0.0,0.0,0.01
68,<function dropout at 0x7fd3ff0dba60>,3,0.0,1024,cone,32,0.0,0.0,10.0
69,<function dropout at 0x7fd3ff0dba60>,3,0.0,1024,cone,32,0.0,0.0,1.0
70,<function dropout at 0x7fd3ff0dba60>,3,0.0,1024,cone,32,0.0,0.0,0.1
71,<function dropout at 0x7fd3ff0dba60>,3,0.0,1024,cone,32,0.0,0.0,0.01
72,<function dropout at 0x7fd3ff0dba60>,3,0.5,256,cone,2,0.0,0.0,10.0
