,valAccuracy,testAccuracy,dR,dropoutFn,nlayers,nstart,layerForm,learningrate,activationFn
0,0.6119402647018434,0.6571428775787354,0.0,<function dropout at 0x7f742e293a60>,2,256,rect,10.0,3
1,0.6119402647018434,0.6571428775787354,0.0,<function dropout at 0x7f742e293a60>,2,256,rect,1.0,3
2,0.9597014665603637,0.9828571677207947,0.0,<function dropout at 0x7f742e293a60>,2,256,rect,0.1,3
3,0.9701492190361025,0.9714285731315613,0.0,<function dropout at 0x7f742e293a60>,2,256,rect,0.01,3
4,0.6119402647018434,0.6571428775787354,0.0,<function dropout at 0x7f742e293a60>,2,512,rect,10.0,3
5,0.6119402647018434,0.6571428775787354,0.0,<function dropout at 0x7f742e293a60>,2,512,rect,1.0,3
6,0.9701492190361025,0.9828571677207947,0.0,<function dropout at 0x7f742e293a60>,2,512,rect,0.1,3
7,0.9701492190361025,0.977142870426178,0.0,<function dropout at 0x7f742e293a60>,2,512,rect,0.01,3
8,0.6119402647018434,0.6571428775787354,0.0,<function dropout at 0x7f742e293a60>,2,1024,rect,10.0,3
9,0.6119402647018434,0.6571428179740906,0.0,<function dropout at 0x7f742e293a60>,2,1024,rect,1.0,3
10,0.9641790747642518,0.9828571677207947,0.0,<function dropout at 0x7f742e293a60>,2,1024,rect,0.1,3
11,0.9701492190361025,0.9714285731315613,0.0,<function dropout at 0x7f742e293a60>,2,1024,rect,0.01,3
12,0.6119402647018434,0.6571428775787354,0.0,<function dropout at 0x7f742e293a60>,3,256,rect,10.0,3
13,0.6119402647018434,0.6571428179740906,0.0,<function dropout at 0x7f742e293a60>,3,256,rect,1.0,3
14,0.9701492190361025,0.9885714650154114,0.0,<function dropout at 0x7f742e293a60>,3,256,rect,0.1,3
15,0.9701492190361025,0.977142870426178,0.0,<function dropout at 0x7f742e293a60>,3,256,rect,0.01,3
16,0.6119402647018434,0.6571428775787354,0.0,<function dropout at 0x7f742e293a60>,3,512,rect,10.0,3
17,0.6119402647018434,0.6571428179740906,0.0,<function dropout at 0x7f742e293a60>,3,512,rect,1.0,3
18,0.9656716108322143,0.977142870426178,0.0,<function dropout at 0x7f742e293a60>,3,512,rect,0.1,3
19,0.9701492190361025,0.977142870426178,0.0,<function dropout at 0x7f742e293a60>,3,512,rect,0.01,3
20,0.6119402647018434,0.6571428775787354,0.0,<function dropout at 0x7f742e293a60>,3,1024,rect,10.0,3
21,0.6119402647018434,0.6571428179740906,0.0,<function dropout at 0x7f742e293a60>,3,1024,rect,1.0,3
22,0.9656716108322145,0.977142870426178,0.0,<function dropout at 0x7f742e293a60>,3,1024,rect,0.1,3
23,0.9701492190361025,0.977142870426178,0.0,<function dropout at 0x7f742e293a60>,3,1024,rect,0.01,3
24,0.6119402647018434,0.6571428179740906,0.0,<function dropout at 0x7f742e293a60>,4,256,rect,10.0,3
25,0.6119402647018434,0.6571428179740906,0.0,<function dropout at 0x7f742e293a60>,4,256,rect,1.0,3
26,0.9626865386962891,0.977142870426178,0.0,<function dropout at 0x7f742e293a60>,4,256,rect,0.1,3
27,0.9701492190361025,0.9828571677207947,0.0,<function dropout at 0x7f742e293a60>,4,256,rect,0.01,3
28,0.6119402647018434,0.6571428179740906,0.0,<function dropout at 0x7f742e293a60>,4,512,rect,10.0,3
29,0.6119402647018434,0.6571428775787354,0.0,<function dropout at 0x7f742e293a60>,4,512,rect,1.0,3
30,0.9611940026283264,0.977142870426178,0.0,<function dropout at 0x7f742e293a60>,4,512,rect,0.1,3
31,0.9701492190361025,0.9657142758369446,0.0,<function dropout at 0x7f742e293a60>,4,512,rect,0.01,3
32,0.6119402647018434,0.6571428775787354,0.0,<function dropout at 0x7f742e293a60>,4,1024,rect,10.0,3
33,0.6119402647018434,0.6571428775787354,0.0,<function dropout at 0x7f742e293a60>,4,1024,rect,1.0,3
34,0.9611940026283264,0.977142870426178,0.0,<function dropout at 0x7f742e293a60>,4,1024,rect,0.1,3
35,0.9701492190361025,0.9828571677207947,0.0,<function dropout at 0x7f742e293a60>,4,1024,rect,0.01,3
36,0.6119402647018434,0.6571428179740906,0.0,<function dropout at 0x7f742e293a60>,8,256,rect,10.0,3
37,0.6119402647018434,0.6571428775787354,0.0,<function dropout at 0x7f742e293a60>,8,256,rect,1.0,3
38,0.6686566889286042,0.6571428775787354,0.0,<function dropout at 0x7f742e293a60>,8,256,rect,0.1,3
39,0.9597014665603636,0.977142870426178,0.0,<function dropout at 0x7f742e293a60>,8,256,rect,0.01,3
40,0.6119402647018434,0.6571428775787354,0.0,<function dropout at 0x7f742e293a60>,8,512,rect,10.0,3
41,0.6119402647018434,0.6571428775787354,0.0,<function dropout at 0x7f742e293a60>,8,512,rect,1.0,3
42,0.6119402647018434,0.6571428179740906,0.0,<function dropout at 0x7f742e293a60>,8,512,rect,0.1,3
43,0.9686566770076753,0.9828571677207947,0.0,<function dropout at 0x7f742e293a60>,8,512,rect,0.01,3
44,0.6119402647018434,0.6571428775787354,0.0,<function dropout at 0x7f742e293a60>,8,1024,rect,10.0,3
45,0.6119402647018434,0.6571428179740906,0.0,<function dropout at 0x7f742e293a60>,8,1024,rect,1.0,3
46,0.6119402647018434,0.6571428775787354,0.0,<function dropout at 0x7f742e293a60>,8,1024,rect,0.1,3
47,0.9701492190361025,0.9828571677207947,0.0,<function dropout at 0x7f742e293a60>,8,1024,rect,0.01,3
48,0.6119402647018434,0.6571428775787354,0.0,<function dropout at 0x7f742e293a60>,16,256,rect,10.0,3
49,0.6119402647018434,0.6571428775787354,0.0,<function dropout at 0x7f742e293a60>,16,256,rect,1.0,3
50,0.6119402647018434,0.6571428179740906,0.0,<function dropout at 0x7f742e293a60>,16,256,rect,0.1,3
51,0.9641790747642516,0.977142870426178,0.0,<function dropout at 0x7f742e293a60>,16,256,rect,0.01,3
52,0.6119402647018434,0.6571428179740906,0.0,<function dropout at 0x7f742e293a60>,16,512,rect,10.0,3
53,0.6119402647018434,0.6571428775787354,0.0,<function dropout at 0x7f742e293a60>,16,512,rect,1.0,3
54,0.6119402647018434,0.6571428775787354,0.0,<function dropout at 0x7f742e293a60>,16,512,rect,0.1,3
55,0.9432835698127746,0.9714285731315613,0.0,<function dropout at 0x7f742e293a60>,16,512,rect,0.01,3
56,0.6119402647018434,0.6571428775787354,0.0,<function dropout at 0x7f742e293a60>,16,1024,rect,10.0,3
57,0.6119402647018434,0.6571428775787354,0.0,<function dropout at 0x7f742e293a60>,16,1024,rect,1.0,3
58,0.6119402647018434,0.6571428775787354,0.0,<function dropout at 0x7f742e293a60>,16,1024,rect,0.1,3
59,0.9701492190361025,0.9828571677207947,0.0,<function dropout at 0x7f742e293a60>,16,1024,rect,0.01,3
60,0.6119402647018434,0.6571428775787354,0.0,<function dropout at 0x7f742e293a60>,32,256,rect,10.0,3
61,0.6119402647018434,0.6571428179740906,0.0,<function dropout at 0x7f742e293a60>,32,256,rect,1.0,3
62,0.6119402647018434,0.6571428775787354,0.0,<function dropout at 0x7f742e293a60>,32,256,rect,0.1,3
63,0.9701492190361025,0.9714285731315613,0.0,<function dropout at 0x7f742e293a60>,32,256,rect,0.01,3
64,0.6119402647018434,0.6571428775787354,0.0,<function dropout at 0x7f742e293a60>,32,512,rect,10.0,3
65,0.6119402647018434,0.6571428775787354,0.0,<function dropout at 0x7f742e293a60>,32,512,rect,1.0,3
66,0.6119402647018434,0.6571428179740906,0.0,<function dropout at 0x7f742e293a60>,32,512,rect,0.1,3
67,0.9701492190361025,0.9885714650154114,0.0,<function dropout at 0x7f742e293a60>,32,512,rect,0.01,3
68,0.6119402647018434,0.6571428775787354,0.0,<function dropout at 0x7f742e293a60>,32,1024,rect,10.0,3
69,0.6119402647018434,0.6571428775787354,0.0,<function dropout at 0x7f742e293a60>,32,1024,rect,1.0,3
70,0.6119402647018434,0.6571428775787354,0.0,<function dropout at 0x7f742e293a60>,32,1024,rect,0.1,3
71,0.9701492190361025,0.9657142758369446,0.0,<function dropout at 0x7f742e293a60>,32,1024,rect,0.01,3
72,0.6119402647018434,0.6571428775787354,0.5,<function dropout at 0x7f742e293a60>,2,256,rect,10.0,3
73,0.6119402647018434,0.6571428179740906,0.5,<function dropout at 0x7f742e293a60>,2,256,rect,1.0,3
74,0.9701492190361025,0.977142870426178,0.5,<function dropout at 0x7f742e293a60>,2,256,rect,0.1,3
75,0.9701492190361025,0.9657142758369446,0.5,<function dropout at 0x7f742e293a60>,2,256,rect,0.01,3
76,0.6119402647018434,0.6571428775787354,0.5,<function dropout at 0x7f742e293a60>,2,512,rect,10.0,3
77,0.613432800769806,0.6571428179740906,0.5,<function dropout at 0x7f742e293a60>,2,512,rect,1.0,3
78,0.9701492190361025,0.9828571677207947,0.5,<function dropout at 0x7f742e293a60>,2,512,rect,0.1,3
79,0.9701492190361025,0.977142870426178,0.5,<function dropout at 0x7f742e293a60>,2,512,rect,0.01,3
80,0.6119402647018434,0.6571428775787354,0.5,<function dropout at 0x7f742e293a60>,2,1024,rect,10.0,3
81,0.6119402647018434,0.6571428179740906,0.5,<function dropout at 0x7f742e293a60>,2,1024,rect,1.0,3
82,0.9686566829681399,0.977142870426178,0.5,<function dropout at 0x7f742e293a60>,2,1024,rect,0.1,3
