,dropoutFn,learningrate,layerForm,testAccuracy,nstart,valAccuracy,dR,nlayers,activationFn
0,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,256,0.5806451439857484,0.0,2,3
1,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,256,0.5806451439857484,0.0,3,3
2,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,256,0.5806451439857484,0.0,4,3
3,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,256,0.5806451439857484,0.0,8,3
4,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,256,0.5806451439857484,0.0,16,3
5,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,256,0.5806451439857484,0.0,32,3
6,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,256,0.5806451439857484,0.5,2,3
7,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,256,0.5806451439857484,0.5,3,3
8,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,256,0.5806451439857484,0.5,4,3
9,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,256,0.5806451439857484,0.5,8,3
10,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,256,0.5806451439857484,0.5,16,3
11,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,256,0.5806451439857484,0.5,32,3
12,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,512,0.5806451439857484,0.0,2,3
13,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,512,0.5806451439857484,0.0,3,3
14,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,512,0.5806451439857484,0.0,4,3
15,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,512,0.5806451439857484,0.0,8,3
16,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,512,0.5806451439857484,0.0,16,3
17,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,512,0.5806451439857484,0.0,32,3
18,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,512,0.5806451439857484,0.5,2,3
19,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,512,0.5806451439857484,0.5,3,3
20,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,512,0.5806451439857484,0.5,4,3
21,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,512,0.5806451439857484,0.5,8,3
22,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,512,0.5806451439857484,0.5,16,3
23,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,512,0.5806451439857484,0.5,32,3
24,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,1024,0.5806451439857484,0.0,2,3
25,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,1024,0.5806451439857484,0.0,3,3
26,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,1024,0.5806451439857484,0.0,4,3
27,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,1024,0.5806451439857484,0.0,8,3
28,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,1024,0.5806451439857484,0.0,16,3
29,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,1024,0.5806451439857484,0.0,32,3
30,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,1024,0.5806451439857484,0.5,2,3
31,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,1024,0.5806451439857484,0.5,3,3
32,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,1024,0.5806451439857484,0.5,4,3
33,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,1024,0.5806451439857484,0.5,8,3
34,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,1024,0.5806451439857484,0.5,16,3
35,<function dropout at 0x7ff43089da60>,10.0,rect,0.7042253017425537,1024,0.5806451439857484,0.5,32,3
36,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,256,0.5935483694076539,0.0,2,3
37,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,256,0.5806451439857484,0.0,3,3
38,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,256,0.5806451439857484,0.0,4,3
39,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,256,0.5806451439857484,0.0,8,3
40,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,256,0.5806451439857484,0.0,16,3
41,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,256,0.5806451439857484,0.0,32,3
42,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,256,0.5806451439857484,0.5,2,3
43,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,256,0.5806451439857484,0.5,3,3
44,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,256,0.5806451439857484,0.5,4,3
45,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,256,0.5806451439857484,0.5,8,3
46,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,256,0.5806451439857484,0.5,16,3
47,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,256,0.5806451439857484,0.5,32,3
48,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,512,0.5806451439857484,0.0,2,3
49,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,512,0.5806451439857484,0.0,3,3
50,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,512,0.5806451439857484,0.0,4,3
51,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,512,0.5806451439857484,0.0,8,3
52,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,512,0.5806451439857484,0.0,16,3
53,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,512,0.5806451439857484,0.0,32,3
54,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,512,0.5806451439857484,0.5,2,3
55,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,512,0.5806451439857484,0.5,3,3
56,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,512,0.5806451439857484,0.5,4,3
