,nlayers,layerForm,dropoutFn,dR,valAccuracy,nstart,learningrate,activationFn,testAccuracy
0,2,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.08068181723356248,256,10.0,3,0.09090909361839294
1,2,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.9875000119209288,256,1.0,3,0.9935064315795898
2,2,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.9625000357627868,256,0.1,3,0.9826838970184326
3,2,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.8636363744735719,256,0.01,3,0.8852813839912415
4,2,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.07954545319080353,512,10.0,3,0.09090908616781235
5,2,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.1954545482993126,512,1.0,3,0.25757575035095215
6,2,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.9522727727890014,512,0.1,3,0.9696969985961914
7,2,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.9022728025913238,512,0.01,3,0.9264069199562073
8,2,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.08068181723356248,1024,10.0,3,0.09090909361839294
9,2,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.08522727265954018,1024,1.0,3,0.09090909361839294
10,2,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.9556818604469298,1024,0.1,3,0.9826838970184326
11,2,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.9431818723678588,1024,0.01,3,0.9718615412712097
12,2,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.08068181723356248,256,10.0,3,0.09090909361839294
13,2,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.6590909123420715,256,1.0,3,0.761904776096344
14,2,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.8659090936183931,256,0.1,3,0.9069263935089111
15,2,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.6454545259475708,256,0.01,3,0.748917818069458
16,2,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07954545319080353,512,10.0,3,0.09090908616781235
17,2,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.1659090951085091,512,1.0,3,0.1818181872367859
18,2,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.9000000059604646,512,0.1,3,0.9415584206581116
19,2,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.717045485973358,512,0.01,3,0.7835497856140137
20,2,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.08068181723356248,1024,10.0,3,0.09090908616781235
21,2,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07840908989310265,1024,1.0,3,0.09090909361839294
22,2,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.9511364102363585,1024,0.1,3,0.9826840162277222
23,2,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.8386363387107851,1024,0.01,3,0.8679654002189636
24,3,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.07954545319080353,256,10.0,3,0.09090909361839294
25,3,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.08522727191448212,256,1.0,3,0.09090909361839294
26,3,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.9397727847099303,256,0.1,3,0.9696969985961914
