,layerForm,activationFn,valAccuracy,nlayers,testAccuracy,nstart,dR,dropoutFn,learningrate
0,cone,3,0.4888889193534851,2,0.42934784293174744,256,0.0,<function dropout at 0x7f805b732a60>,10.0
1,cone,3,0.4888889193534851,2,0.4293478727340698,256,0.0,<function dropout at 0x7f805b732a60>,1.0
2,cone,3,0.5783333659172059,2,0.5244565606117249,256,0.0,<function dropout at 0x7f805b732a60>,0.1
3,cone,3,0.5677778065204621,2,0.54076087474823,256,0.0,<function dropout at 0x7f805b732a60>,0.01
4,cone,3,0.4888889193534851,2,0.42934784293174744,256,0.5,<function dropout at 0x7f805b732a60>,10.0
5,cone,3,0.46444447338581085,2,0.44565218687057495,256,0.5,<function dropout at 0x7f805b732a60>,1.0
6,cone,3,0.5572222590446472,2,0.508152186870575,256,0.5,<function dropout at 0x7f805b732a60>,0.1
7,cone,3,0.5427778244018555,2,0.4891304671764374,256,0.5,<function dropout at 0x7f805b732a60>,0.01
8,cone,3,0.4888889193534851,2,0.42934784293174744,512,0.0,<function dropout at 0x7f805b732a60>,10.0
9,cone,3,0.4888889193534851,2,0.42934784293174744,512,0.0,<function dropout at 0x7f805b732a60>,1.0
10,cone,3,0.5794444859027862,2,0.5054347515106201,512,0.0,<function dropout at 0x7f805b732a60>,0.1
11,cone,3,0.5750000298023225,2,0.5407609343528748,512,0.0,<function dropout at 0x7f805b732a60>,0.01
12,cone,3,0.4888889193534851,2,0.42934784293174744,512,0.5,<function dropout at 0x7f805b732a60>,10.0
13,cone,3,0.4888889193534851,2,0.42934784293174744,512,0.5,<function dropout at 0x7f805b732a60>,1.0
14,cone,3,0.565555602312088,2,0.5054348111152649,512,0.5,<function dropout at 0x7f805b732a60>,0.1
15,cone,3,0.5761111557483674,2,0.508152186870575,512,0.5,<function dropout at 0x7f805b732a60>,0.01
16,cone,3,0.28333336114883423,2,0.34510868787765503,1024,0.0,<function dropout at 0x7f805b732a60>,10.0
17,cone,3,0.2277777791023255,2,0.2282608598470688,1024,0.0,<function dropout at 0x7f805b732a60>,1.0
18,cone,3,0.5900000393390655,2,0.5,1024,0.0,<function dropout at 0x7f805b732a60>,0.1
19,cone,3,0.6077778160572053,2,0.5135869383811951,1024,0.0,<function dropout at 0x7f805b732a60>,0.01
20,cone,3,0.4888889193534851,2,0.4293478727340698,1024,0.5,<function dropout at 0x7f805b732a60>,10.0
21,cone,3,0.4888889193534851,2,0.4293478727340698,1024,0.5,<function dropout at 0x7f805b732a60>,1.0
22,cone,3,0.5650000393390655,2,0.5244565010070801,1024,0.5,<function dropout at 0x7f805b732a60>,0.1
23,cone,3,0.5605556011199951,2,0.5244565606117249,1024,0.5,<function dropout at 0x7f805b732a60>,0.01
24,cone,3,0.4888889193534851,3,0.42934784293174744,256,0.0,<function dropout at 0x7f805b732a60>,10.0
25,cone,3,0.5538889169692994,3,0.510869562625885,256,0.0,<function dropout at 0x7f805b732a60>,1.0
