,layerForm,testAccuracy,dR,learningrate,nstart,valAccuracy,nlayers,dropoutFn,activationFn
0,cone,0.390625,0.0,10.0,256,0.38888889551162714,2,<function dropout at 0x7fb7e073aa60>,3
1,cone,0.609375,0.0,10.0,256,0.6111111044883729,3,<function dropout at 0x7fb7e073aa60>,3
2,cone,0.390625,0.0,10.0,256,0.38888889551162714,4,<function dropout at 0x7fb7e073aa60>,3
3,cone,0.390625,0.0,10.0,256,0.38888889551162714,8,<function dropout at 0x7fb7e073aa60>,3
4,cone,0.609375,0.0,10.0,256,0.6111111044883729,16,<function dropout at 0x7fb7e073aa60>,3
5,cone,0.609375,0.0,10.0,256,0.5888888835906984,32,<function dropout at 0x7fb7e073aa60>,3
6,cone,0.609375,0.0,10.0,512,0.6111111044883729,2,<function dropout at 0x7fb7e073aa60>,3
7,cone,0.390625,0.0,10.0,512,0.38888889551162714,3,<function dropout at 0x7fb7e073aa60>,3
8,cone,0.390625,0.0,10.0,512,0.38888889551162714,4,<function dropout at 0x7fb7e073aa60>,3
9,cone,0.390625,0.0,10.0,512,0.38888889551162714,8,<function dropout at 0x7fb7e073aa60>,3
10,cone,0.609375,0.0,10.0,512,0.6111111044883729,16,<function dropout at 0x7fb7e073aa60>,3
11,cone,0.609375,0.0,10.0,512,0.5666666626930238,32,<function dropout at 0x7fb7e073aa60>,3
12,cone,0.390625,0.0,10.0,1024,0.4111111164093017,2,<function dropout at 0x7fb7e073aa60>,3
13,cone,0.390625,0.0,10.0,1024,0.38888889551162714,3,<function dropout at 0x7fb7e073aa60>,3
14,cone,0.609375,0.0,10.0,1024,0.6111111044883729,4,<function dropout at 0x7fb7e073aa60>,3
15,cone,0.390625,0.0,10.0,1024,0.38888889551162714,8,<function dropout at 0x7fb7e073aa60>,3
16,cone,0.390625,0.0,10.0,1024,0.38888889551162714,16,<function dropout at 0x7fb7e073aa60>,3
17,cone,0.609375,0.0,10.0,1024,0.5,32,<function dropout at 0x7fb7e073aa60>,3
18,cone,0.703125,0.0,1.0,256,0.7370370507240297,2,<function dropout at 0x7fb7e073aa60>,3
19,cone,0.765625,0.0,1.0,256,0.7629629731178285,3,<function dropout at 0x7fb7e073aa60>,3
20,cone,0.609375,0.0,1.0,256,0.5907407343387605,4,<function dropout at 0x7fb7e073aa60>,3
21,cone,0.6640625,0.0,1.0,256,0.6870370388031006,8,<function dropout at 0x7fb7e073aa60>,3
22,cone,0.609375,0.0,1.0,256,0.6074074029922486,16,<function dropout at 0x7fb7e073aa60>,3
23,cone,0.609375,0.0,1.0,256,0.6111111044883729,32,<function dropout at 0x7fb7e073aa60>,3
24,cone,0.390625,0.0,1.0,512,0.39814815521240227,2,<function dropout at 0x7fb7e073aa60>,3
25,cone,0.609375,0.0,1.0,512,0.6111111044883729,3,<function dropout at 0x7fb7e073aa60>,3
26,cone,0.390625,0.0,1.0,512,0.38888889551162714,4,<function dropout at 0x7fb7e073aa60>,3
27,cone,0.7109375,0.0,1.0,512,0.7611111283302308,8,<function dropout at 0x7fb7e073aa60>,3
28,cone,0.7265625,0.0,1.0,512,0.6962963044643402,16,<function dropout at 0x7fb7e073aa60>,3
29,cone,0.609375,0.0,1.0,512,0.5888888835906984,32,<function dropout at 0x7fb7e073aa60>,3
30,cone,0.609375,0.0,1.0,1024,0.6111111044883729,2,<function dropout at 0x7fb7e073aa60>,3
31,cone,0.390625,0.0,1.0,1024,0.38888889551162714,3,<function dropout at 0x7fb7e073aa60>,3
32,cone,0.390625,0.0,1.0,1024,0.3907407462596893,4,<function dropout at 0x7fb7e073aa60>,3
33,cone,0.390625,0.0,1.0,1024,0.5444444417953491,8,<function dropout at 0x7fb7e073aa60>,3
34,cone,0.609375,0.0,1.0,1024,0.6111111044883729,16,<function dropout at 0x7fb7e073aa60>,3
35,cone,0.609375,0.0,1.0,1024,0.6111111044883729,32,<function dropout at 0x7fb7e073aa60>,3
