,testAccuracy,nlayers,dropoutFn,layerForm,dR,activationFn,nstart,learningrate,valAccuracy
0,0.390625,2,<function dropout at 0x7f899017aa60>,rect,0.0,3,256,10.0,0.37169813215732583
1,0.390625,2,<function dropout at 0x7f899017aa60>,rect,0.0,3,256,1.0,0.3849056780338288
2,0.828125,2,<function dropout at 0x7f899017aa60>,rect,0.0,3,256,0.1,0.7415094435214996
3,0.734375,2,<function dropout at 0x7f899017aa60>,rect,0.0,3,256,0.01,0.7603773713111878
4,0.390625,2,<function dropout at 0x7f899017aa60>,rect,0.0,3,512,10.0,0.3584905862808228
5,0.390625,2,<function dropout at 0x7f899017aa60>,rect,0.0,3,512,1.0,0.36226416826248176
6,0.8046875,2,<function dropout at 0x7f899017aa60>,rect,0.0,3,512,0.1,0.7622641563415529
7,0.734375,2,<function dropout at 0x7f899017aa60>,rect,0.0,3,512,0.01,0.7584905922412872
8,0.390625,2,<function dropout at 0x7f899017aa60>,rect,0.0,3,1024,10.0,0.38679246902465825
9,0.390625,2,<function dropout at 0x7f899017aa60>,rect,0.0,3,1024,1.0,0.4132075607776643
10,0.7578125,2,<function dropout at 0x7f899017aa60>,rect,0.0,3,1024,0.1,0.6811320781707764
11,0.7421875,2,<function dropout at 0x7f899017aa60>,rect,0.0,3,1024,0.01,0.7603773593902587
12,0.390625,2,<function dropout at 0x7f899017aa60>,rect,0.5,3,256,10.0,0.3584905862808228
13,0.390625,2,<function dropout at 0x7f899017aa60>,rect,0.5,3,256,1.0,0.38679246902465825
14,0.7421875,2,<function dropout at 0x7f899017aa60>,rect,0.5,3,256,0.1,0.7679245293140411
15,0.7109375,2,<function dropout at 0x7f899017aa60>,rect,0.5,3,256,0.01,0.7339622914791109
16,0.390625,2,<function dropout at 0x7f899017aa60>,rect,0.5,3,512,10.0,0.3584905862808228
17,0.390625,2,<function dropout at 0x7f899017aa60>,rect,0.5,3,512,1.0,0.38679246902465825
18,0.7265625,2,<function dropout at 0x7f899017aa60>,rect,0.5,3,512,0.1,0.7641509532928467
19,0.734375,2,<function dropout at 0x7f899017aa60>,rect,0.5,3,512,0.01,0.7509434163570405
20,0.390625,2,<function dropout at 0x7f899017aa60>,rect,0.5,3,1024,10.0,0.3584905862808228
21,0.390625,2,<function dropout at 0x7f899017aa60>,rect,0.5,3,1024,1.0,0.3584905862808228
22,0.71875,2,<function dropout at 0x7f899017aa60>,rect,0.5,3,1024,0.1,0.6943396389484405
23,0.75,2,<function dropout at 0x7f899017aa60>,rect,0.5,3,1024,0.01,0.7603773772716523
24,0.390625,3,<function dropout at 0x7f899017aa60>,rect,0.0,3,256,10.0,0.3584905862808228
25,0.390625,3,<function dropout at 0x7f899017aa60>,rect,0.0,3,256,1.0,0.38679246902465825
26,0.78125,3,<function dropout at 0x7f899017aa60>,rect,0.0,3,256,0.1,0.7245283246040345
27,0.7734375,3,<function dropout at 0x7f899017aa60>,rect,0.0,3,256,0.01,0.8075471758842468
28,0.390625,3,<function dropout at 0x7f899017aa60>,rect,0.0,3,512,10.0,0.3584905862808228
29,0.390625,3,<function dropout at 0x7f899017aa60>,rect,0.0,3,512,1.0,0.3584905862808228
30,0.75,3,<function dropout at 0x7f899017aa60>,rect,0.0,3,512,0.1,0.7283019065856935
31,0.78125,3,<function dropout at 0x7f899017aa60>,rect,0.0,3,512,0.01,0.8075471997261049
32,0.390625,3,<function dropout at 0x7f899017aa60>,rect,0.0,3,1024,10.0,0.3584905862808228
33,0.390625,3,<function dropout at 0x7f899017aa60>,rect,0.0,3,1024,1.0,0.3584905862808228
34,0.6953125,3,<function dropout at 0x7f899017aa60>,rect,0.0,3,1024,0.1,0.7396226584911347
35,0.765625,3,<function dropout at 0x7f899017aa60>,rect,0.0,3,1024,0.01,0.7471698343753815
36,0.390625,3,<function dropout at 0x7f899017aa60>,rect,0.5,3,256,10.0,0.3584905862808228
37,0.390625,3,<function dropout at 0x7f899017aa60>,rect,0.5,3,256,1.0,0.3584905862808228
38,0.7421875,3,<function dropout at 0x7f899017aa60>,rect,0.5,3,256,0.1,0.7830188751220702
39,0.7265625,3,<function dropout at 0x7f899017aa60>,rect,0.5,3,256,0.01,0.7377358376979828
40,0.390625,3,<function dropout at 0x7f899017aa60>,rect,0.5,3,512,10.0,0.3584905862808228
41,0.390625,3,<function dropout at 0x7f899017aa60>,rect,0.5,3,512,1.0,0.38679246902465825
42,0.78125,3,<function dropout at 0x7f899017aa60>,rect,0.5,3,512,0.1,0.7528302013874055
43,0.734375,3,<function dropout at 0x7f899017aa60>,rect,0.5,3,512,0.01,0.7905660390853881
44,0.390625,3,<function dropout at 0x7f899017aa60>,rect,0.5,3,1024,10.0,0.3584905862808228
45,0.390625,3,<function dropout at 0x7f899017aa60>,rect,0.5,3,1024,1.0,0.3603773772716523
46,0.7578125,3,<function dropout at 0x7f899017aa60>,rect,0.5,3,1024,0.1,0.7245283126831055
