,dR,layerForm,nstart,testAccuracy,nlayers,learningrate,valAccuracy,activationFn,dropoutFn
0,0.0,cone,256,0.4523809552192688,2,10.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
1,0.0,cone,256,0.4523809552192688,2,1.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
2,0.0,cone,256,0.8095238208770752,2,0.1,0.8763157784938812,3,<function dropout at 0x7f4e4caa3a60>
3,0.0,cone,256,0.8452380895614624,2,0.01,0.8657894968986513,3,<function dropout at 0x7f4e4caa3a60>
4,0.0,cone,256,0.4523809552192688,3,10.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
5,0.0,cone,256,0.4523809552192688,3,1.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
6,0.0,cone,256,0.8571429252624512,3,0.1,0.8605263352394106,3,<function dropout at 0x7f4e4caa3a60>
7,0.0,cone,256,0.821428656578064,3,0.01,0.8921052515506747,3,<function dropout at 0x7f4e4caa3a60>
8,0.0,cone,256,0.4523809552192688,4,10.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
9,0.0,cone,256,0.4523809552192688,4,1.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
10,0.0,cone,256,0.8333333730697632,4,0.1,0.8473684132099151,3,<function dropout at 0x7f4e4caa3a60>
11,0.0,cone,256,0.8571429252624512,4,0.01,0.8947368264198305,3,<function dropout at 0x7f4e4caa3a60>
12,0.0,cone,256,0.4523809552192688,8,10.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
13,0.0,cone,256,0.4523809552192688,8,1.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
14,0.0,cone,256,0.8095238208770752,8,0.1,0.8315789461135864,3,<function dropout at 0x7f4e4caa3a60>
15,0.0,cone,256,0.8333333730697632,8,0.01,0.8947368264198305,3,<function dropout at 0x7f4e4caa3a60>
16,0.0,cone,256,0.4523809552192688,16,10.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
17,0.0,cone,256,0.4523809552192688,16,1.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
18,0.0,cone,256,0.75,16,0.1,0.8052631556987762,3,<function dropout at 0x7f4e4caa3a60>
19,0.0,cone,256,0.8214285373687744,16,0.01,0.8500000119209291,3,<function dropout at 0x7f4e4caa3a60>
20,0.0,cone,256,0.4523809552192688,32,10.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
21,0.0,cone,256,0.4523809552192688,32,1.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
22,0.0,cone,256,0.773809552192688,32,0.1,0.8421052694320679,3,<function dropout at 0x7f4e4caa3a60>
23,0.0,cone,256,0.8095238208770752,32,0.01,0.8736842274665835,3,<function dropout at 0x7f4e4caa3a60>
24,0.0,cone,512,0.4523809552192688,2,10.0,0.4526315987110139,3,<function dropout at 0x7f4e4caa3a60>
25,0.0,cone,512,0.4285714328289032,2,1.0,0.3973684072494507,3,<function dropout at 0x7f4e4caa3a60>
26,0.0,cone,512,0.797619104385376,2,0.1,0.8684210538864138,3,<function dropout at 0x7f4e4caa3a60>
27,0.0,cone,512,0.8452380895614624,2,0.01,0.8868420839309694,3,<function dropout at 0x7f4e4caa3a60>
28,0.0,cone,512,0.4523809552192688,3,10.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
29,0.0,cone,512,0.4523809552192688,3,1.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
30,0.0,cone,512,0.8452380895614624,3,0.1,0.8657894849777222,3,<function dropout at 0x7f4e4caa3a60>
31,0.0,cone,512,0.8214285373687744,3,0.01,0.863157916069031,3,<function dropout at 0x7f4e4caa3a60>
32,0.0,cone,512,0.4523809552192688,4,10.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
33,0.0,cone,512,0.4523809552192688,4,1.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
34,0.0,cone,512,0.8571429252624512,4,0.1,0.8500000000000001,3,<function dropout at 0x7f4e4caa3a60>
35,0.0,cone,512,0.8333333730697632,4,0.01,0.8868420839309695,3,<function dropout at 0x7f4e4caa3a60>
36,0.0,cone,512,0.4523809552192688,8,10.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
37,0.0,cone,512,0.4523809552192688,8,1.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
38,0.0,cone,512,0.8095238208770752,8,0.1,0.8631578922271728,3,<function dropout at 0x7f4e4caa3a60>
39,0.0,cone,512,0.8571429252624512,8,0.01,0.8684210717678071,3,<function dropout at 0x7f4e4caa3a60>
40,0.0,cone,512,0.4523809552192688,16,10.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
41,0.0,cone,512,0.4523809552192688,16,1.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
42,0.0,cone,512,0.8095238208770752,16,0.1,0.839473682641983,3,<function dropout at 0x7f4e4caa3a60>
43,0.0,cone,512,0.8214285969734192,16,0.01,0.8684210598468782,3,<function dropout at 0x7f4e4caa3a60>
44,0.0,cone,512,0.4523809552192688,32,10.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
45,0.0,cone,512,0.4523809552192688,32,1.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
46,0.0,cone,512,0.4523809552192688,32,0.1,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
47,0.0,cone,512,0.8214285969734192,32,0.01,0.8473684191703795,3,<function dropout at 0x7f4e4caa3a60>
48,0.0,cone,1024,0.4523809552192688,2,10.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
49,0.0,cone,1024,0.4523809552192688,2,1.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
50,0.0,cone,1024,0.821428656578064,2,0.1,0.8578947365283965,3,<function dropout at 0x7f4e4caa3a60>
51,0.0,cone,1024,0.8452380895614624,2,0.01,0.8815789282321931,3,<function dropout at 0x7f4e4caa3a60>
52,0.0,cone,1024,0.4523809552192688,3,10.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
53,0.0,cone,1024,0.4523809552192688,3,1.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
54,0.0,cone,1024,0.8452380895614624,3,0.1,0.8447368443012236,3,<function dropout at 0x7f4e4caa3a60>
55,0.0,cone,1024,0.8452380895614624,3,0.01,0.8763157963752748,3,<function dropout at 0x7f4e4caa3a60>
56,0.0,cone,1024,0.4523809552192688,4,10.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
57,0.0,cone,1024,0.4523809552192688,4,1.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
58,0.0,cone,1024,0.8452380895614624,4,0.1,0.8473684191703795,3,<function dropout at 0x7f4e4caa3a60>
59,0.0,cone,1024,0.8571429252624512,4,0.01,0.8789473474025727,3,<function dropout at 0x7f4e4caa3a60>
60,0.0,cone,1024,0.4523809552192688,8,10.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
61,0.0,cone,1024,0.4523809552192688,8,1.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
62,0.0,cone,1024,0.8214285373687744,8,0.1,0.8447368502616882,3,<function dropout at 0x7f4e4caa3a60>
63,0.0,cone,1024,0.8452380895614624,8,0.01,0.8631578922271729,3,<function dropout at 0x7f4e4caa3a60>
64,0.0,cone,1024,0.4523809552192688,16,10.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
65,0.0,cone,1024,0.4523809552192688,16,1.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
66,0.0,cone,1024,0.4523809552192688,16,0.1,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
67,0.0,cone,1024,0.8333333730697632,16,0.01,0.8500000119209289,3,<function dropout at 0x7f4e4caa3a60>
68,0.0,cone,1024,0.4523809552192688,32,10.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
69,0.0,cone,1024,0.4523809552192688,32,1.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
70,0.0,cone,1024,0.4523809552192688,32,0.1,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
71,0.0,cone,1024,0.8095238208770752,32,0.01,0.8052631616592408,3,<function dropout at 0x7f4e4caa3a60>
72,0.5,cone,256,0.4523809552192688,2,10.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
73,0.5,cone,256,0.4523809552192688,2,1.0,0.46052634119987496,3,<function dropout at 0x7f4e4caa3a60>
74,0.5,cone,256,0.8452380895614624,2,0.1,0.8605263113975525,3,<function dropout at 0x7f4e4caa3a60>
75,0.5,cone,256,0.8095238208770752,2,0.01,0.8973684012889864,3,<function dropout at 0x7f4e4caa3a60>
76,0.5,cone,256,0.4523809552192688,3,10.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
77,0.5,cone,256,0.4523809552192688,3,1.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
78,0.5,cone,256,0.8452380895614624,3,0.1,0.8526315927505493,3,<function dropout at 0x7f4e4caa3a60>
79,0.5,cone,256,0.8809524774551392,3,0.01,0.8710526406764985,3,<function dropout at 0x7f4e4caa3a60>
80,0.5,cone,256,0.4523809552192688,4,10.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
81,0.5,cone,256,0.4523809552192688,4,1.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
82,0.5,cone,256,0.8452380895614624,4,0.1,0.85789475440979,3,<function dropout at 0x7f4e4caa3a60>
83,0.5,cone,256,0.821428656578064,4,0.01,0.8605263352394105,3,<function dropout at 0x7f4e4caa3a60>
84,0.5,cone,256,0.4523809552192688,8,10.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
85,0.5,cone,256,0.4523809552192688,8,1.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
86,0.5,cone,256,0.4523809552192688,8,0.1,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
87,0.5,cone,256,0.55952388048172,8,0.01,0.6815789580345155,3,<function dropout at 0x7f4e4caa3a60>
88,0.5,cone,256,0.4523809552192688,16,10.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
89,0.5,cone,256,0.4523809552192688,16,1.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
90,0.5,cone,256,0.4523809552192688,16,0.1,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
91,0.5,cone,256,0.4523809850215912,16,0.01,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
92,0.5,cone,256,0.4523809552192688,32,10.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
93,0.5,cone,256,0.4523809552192688,32,1.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
94,0.5,cone,256,0.4523809552192688,32,0.1,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
95,0.5,cone,256,0.4523809552192688,32,0.01,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
96,0.5,cone,512,0.4523809552192688,2,10.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
97,0.5,cone,512,0.4523809552192688,2,1.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
98,0.5,cone,512,0.8571429252624512,2,0.1,0.8657894730567932,3,<function dropout at 0x7f4e4caa3a60>
99,0.5,cone,512,0.821428656578064,2,0.01,0.8973684012889864,3,<function dropout at 0x7f4e4caa3a60>
100,0.5,cone,512,0.4523809552192688,3,10.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
101,0.5,cone,512,0.4523809552192688,3,1.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
102,0.5,cone,512,0.8333333730697632,3,0.1,0.8631578862667084,3,<function dropout at 0x7f4e4caa3a60>
103,0.5,cone,512,0.8333333730697632,3,0.01,0.8684210777282717,3,<function dropout at 0x7f4e4caa3a60>
104,0.5,cone,512,0.4523809552192688,4,10.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
