,nstart,nlayers,layerForm,valAccuracy,activationFn,dropoutFn,testAccuracy,learningrate,dR
0,256,2,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.0
1,256,2,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.5
2,256,2,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.0
3,256,2,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.5
4,256,2,rect,0.8699999988079072,3,<function dropout at 0x7fe539533a60>,0.7599999904632568,0.1,0.0
5,256,2,rect,0.9000000000000001,3,<function dropout at 0x7fe539533a60>,0.7999999523162842,0.1,0.5
6,256,2,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.7999999523162842,0.01,0.0
7,256,2,rect,0.9499999940395356,3,<function dropout at 0x7fe539533a60>,0.8399999737739563,0.01,0.5
8,256,3,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.0
9,256,3,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.5
10,256,3,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.0
11,256,3,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.5
12,256,3,rect,0.9199999868869783,3,<function dropout at 0x7fe539533a60>,0.7999999523162842,0.1,0.0
13,256,3,rect,0.8700000047683716,3,<function dropout at 0x7fe539533a60>,0.7599999904632568,0.1,0.5
14,256,3,rect,0.9599999904632569,3,<function dropout at 0x7fe539533a60>,0.7999999523162842,0.01,0.0
15,256,3,rect,0.9499999880790712,3,<function dropout at 0x7fe539533a60>,0.7599999904632568,0.01,0.5
16,256,4,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.0
17,256,4,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.5
18,256,4,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.0
19,256,4,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.5
20,256,4,rect,0.949999988079071,3,<function dropout at 0x7fe539533a60>,0.8399999737739563,0.1,0.0
21,256,4,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,0.1,0.5
22,256,4,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.7599999904632568,0.01,0.0
23,256,4,rect,0.9499999940395355,3,<function dropout at 0x7fe539533a60>,0.7999999523162842,0.01,0.5
24,256,8,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.0
25,256,8,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.5
26,256,8,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.0
27,256,8,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.5
28,256,8,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.7599999904632568,0.1,0.0
29,256,8,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,0.1,0.5
30,256,8,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.7599999904632568,0.01,0.0
31,256,8,rect,0.690000006556511,3,<function dropout at 0x7fe539533a60>,0.6799999475479126,0.01,0.5
32,256,16,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.0
33,256,16,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.5
34,256,16,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.0
35,256,16,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.5
36,256,16,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,0.1,0.0
37,256,16,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,0.1,0.5
38,256,16,rect,0.929999989271164,3,<function dropout at 0x7fe539533a60>,0.8399999737739563,0.01,0.0
39,256,16,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,0.01,0.5
40,256,32,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.0
41,256,32,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.5
42,256,32,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.0
43,256,32,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.5
44,256,32,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,0.1,0.0
45,256,32,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,0.1,0.5
46,256,32,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.7999999523162842,0.01,0.0
47,256,32,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,0.01,0.5
48,512,2,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.0
49,512,2,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.5
50,512,2,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.0
51,512,2,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.5
52,512,2,rect,0.8999999940395356,3,<function dropout at 0x7fe539533a60>,0.7199999690055847,0.1,0.0
53,512,2,rect,0.8599999964237215,3,<function dropout at 0x7fe539533a60>,0.7599999904632568,0.1,0.5
54,512,2,rect,0.9099999785423281,3,<function dropout at 0x7fe539533a60>,0.7199999690055847,0.01,0.0
55,512,2,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,0.01,0.5
56,512,3,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.0
57,512,3,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.5
58,512,3,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.0
59,512,3,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.5
60,512,3,rect,0.9399999916553498,3,<function dropout at 0x7fe539533a60>,0.8399999737739563,0.1,0.0
61,512,3,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,0.1,0.5
62,512,3,rect,0.9599999904632569,3,<function dropout at 0x7fe539533a60>,0.7599999904632568,0.01,0.0
63,512,3,rect,0.8699999928474428,3,<function dropout at 0x7fe539533a60>,0.6799999475479126,0.01,0.5
64,512,4,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.0
65,512,4,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.5
