,layerForm,nstart,dR,learningrate,testAccuracy,dropoutFn,valAccuracy,nlayers,activationFn
0,cone,256,0.0,10.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,2,3
1,cone,256,0.0,10.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,3,3
2,cone,256,0.0,10.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,4,3
3,cone,256,0.0,10.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,8,3
4,cone,256,0.0,10.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,16,3
5,cone,256,0.0,10.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.6536584854125976,32,3
6,cone,256,0.0,1.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.6926828742027282,2,3
7,cone,256,0.0,1.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,3,3
8,cone,256,0.0,1.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,4,3
9,cone,256,0.0,1.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,8,3
10,cone,256,0.0,1.0,0.75,<function dropout at 0x7f9c848a3a60>,0.763414579629898,16,3
11,cone,256,0.0,1.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,32,3
12,cone,256,0.0,0.1,0.7894736528396606,<function dropout at 0x7f9c848a3a60>,0.804878032207489,2,3
13,cone,256,0.0,0.1,0.75,<function dropout at 0x7f9c848a3a60>,0.8097561061382295,3,3
14,cone,256,0.0,0.1,0.75,<function dropout at 0x7f9c848a3a60>,0.8073170661926269,4,3
15,cone,256,0.0,0.1,0.736842155456543,<function dropout at 0x7f9c848a3a60>,0.7780487477779388,8,3
16,cone,256,0.0,0.1,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7951219320297241,16,3
17,cone,256,0.0,0.1,0.75,<function dropout at 0x7f9c848a3a60>,0.7926829218864442,32,3
18,cone,256,0.0,0.01,0.7236841917037964,<function dropout at 0x7f9c848a3a60>,0.8097560822963713,2,3
19,cone,256,0.0,0.01,0.7894736528396606,<function dropout at 0x7f9c848a3a60>,0.8292683362960817,3,3
20,cone,256,0.0,0.01,0.7236841917037964,<function dropout at 0x7f9c848a3a60>,0.799999976158142,4,3
21,cone,256,0.0,0.01,0.7763157486915588,<function dropout at 0x7f9c848a3a60>,0.8292683362960817,8,3
22,cone,256,0.0,0.01,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,16,3
23,cone,256,0.0,0.01,0.75,<function dropout at 0x7f9c848a3a60>,0.7829268097877502,32,3
