,testAccuracy,layerForm,dropoutFn,nstart,nlayers,valAccuracy,learningrate,dR,activationFn
0,0.5,cone,<function dropout at 0x7fd54f753a60>,256,2,0.6000000238418579,10.0,0.0,3
1,0.5,cone,<function dropout at 0x7fd54f753a60>,256,2,0.6000000238418579,10.0,0.5,3
2,0.5,cone,<function dropout at 0x7fd54f753a60>,256,2,0.6066666960716248,1.0,0.0,3
3,0.5,cone,<function dropout at 0x7fd54f753a60>,256,2,0.6000000238418579,1.0,0.5,3
4,0.0357142873108387,cone,<function dropout at 0x7fd54f753a60>,256,2,0.746666741371155,0.1,0.0,3
5,0.0357142873108387,cone,<function dropout at 0x7fd54f753a60>,256,2,0.7200000762939455,0.1,0.5,3
6,0.0357142873108387,cone,<function dropout at 0x7fd54f753a60>,256,2,0.740000057220459,0.01,0.0,3
7,0.0357142873108387,cone,<function dropout at 0x7fd54f753a60>,256,2,0.7333334088325502,0.01,0.5,3
8,0.5,cone,<function dropout at 0x7fd54f753a60>,256,3,0.6000000238418579,10.0,0.0,3
9,0.5,cone,<function dropout at 0x7fd54f753a60>,256,3,0.6000000238418579,10.0,0.5,3
10,0.0357142873108387,cone,<function dropout at 0x7fd54f753a60>,256,3,0.3600000381469726,1.0,0.0,3
11,0.5,cone,<function dropout at 0x7fd54f753a60>,256,3,0.6000000238418579,1.0,0.5,3
12,0.0357142873108387,cone,<function dropout at 0x7fd54f753a60>,256,3,0.7466667294502259,0.1,0.0,3
13,0.0357142873108387,cone,<function dropout at 0x7fd54f753a60>,256,3,0.7333334028720856,0.1,0.5,3
14,0.0357142873108387,cone,<function dropout at 0x7fd54f753a60>,256,3,0.7333334088325502,0.01,0.0,3
15,0.0357142873108387,cone,<function dropout at 0x7fd54f753a60>,256,3,0.6666667461395263,0.01,0.5,3
16,0.5,cone,<function dropout at 0x7fd54f753a60>,256,4,0.6000000238418579,10.0,0.0,3
17,0.5,cone,<function dropout at 0x7fd54f753a60>,256,4,0.6000000238418579,10.0,0.5,3
18,0.4642857313156128,cone,<function dropout at 0x7fd54f753a60>,256,4,0.28000001683831216,1.0,0.0,3
19,0.5,cone,<function dropout at 0x7fd54f753a60>,256,4,0.6000000238418579,1.0,0.5,3
20,0.0357142873108387,cone,<function dropout at 0x7fd54f753a60>,256,4,0.8333334028720856,0.1,0.0,3
21,0.0357142873108387,cone,<function dropout at 0x7fd54f753a60>,256,4,0.5933334022760391,0.1,0.5,3
22,0.0357142873108387,cone,<function dropout at 0x7fd54f753a60>,256,4,0.6733334124088287,0.01,0.0,3
23,0.0357142873108387,cone,<function dropout at 0x7fd54f753a60>,256,4,0.6933333933353425,0.01,0.5,3
24,0.5,cone,<function dropout at 0x7fd54f753a60>,256,8,0.6000000238418579,10.0,0.0,3
25,0.5,cone,<function dropout at 0x7fd54f753a60>,256,8,0.6000000238418579,10.0,0.5,3
26,0.4642857313156128,cone,<function dropout at 0x7fd54f753a60>,256,8,0.44000001773238184,1.0,0.0,3
27,0.5,cone,<function dropout at 0x7fd54f753a60>,256,8,0.6000000238418579,1.0,0.5,3
28,0.0357142873108387,cone,<function dropout at 0x7fd54f753a60>,256,8,0.7733334004878998,0.1,0.0,3
29,0.4642857313156128,cone,<function dropout at 0x7fd54f753a60>,256,8,0.26666669845581054,0.1,0.5,3
30,0.0357142873108387,cone,<function dropout at 0x7fd54f753a60>,256,8,0.6400000512599946,0.01,0.0,3
31,0.0357142873108387,cone,<function dropout at 0x7fd54f753a60>,256,8,0.5133333832025528,0.01,0.5,3
32,0.5,cone,<function dropout at 0x7fd54f753a60>,256,16,0.6000000238418579,10.0,0.0,3
33,0.5,cone,<function dropout at 0x7fd54f753a60>,256,16,0.6000000238418579,10.0,0.5,3
34,0.5,cone,<function dropout at 0x7fd54f753a60>,256,16,0.6000000238418579,1.0,0.0,3
35,0.5,cone,<function dropout at 0x7fd54f753a60>,256,16,0.6000000238418579,1.0,0.5,3
36,0.0357142873108387,cone,<function dropout at 0x7fd54f753a60>,256,16,0.6866667211055756,0.1,0.0,3
37,0.5,cone,<function dropout at 0x7fd54f753a60>,256,16,0.6000000238418579,0.1,0.5,3
