,layerForm,nstart,valAccuracy,dR,testAccuracy,activationFn,learningrate,dropoutFn,nlayers
0,cone,256,0.6842105388641359,0.0,0.6438356041908264,3,10.0,<function dropout at 0x7f57b91f0a60>,2
1,cone,256,0.6842105388641359,0.0,0.6438356041908264,3,10.0,<function dropout at 0x7f57b91f0a60>,3
2,cone,256,0.6842105388641359,0.0,0.6438356041908264,3,10.0,<function dropout at 0x7f57b91f0a60>,4
3,cone,256,0.5736842155456543,0.0,0.3561643958091736,3,10.0,<function dropout at 0x7f57b91f0a60>,8
4,cone,256,0.46315789222717285,0.0,0.6438356041908264,3,10.0,<function dropout at 0x7f57b91f0a60>,16
5,cone,256,0.6842105388641359,0.0,0.6438356041908264,3,10.0,<function dropout at 0x7f57b91f0a60>,32
6,cone,256,0.6842105388641359,0.0,0.6438356041908264,3,1.0,<function dropout at 0x7f57b91f0a60>,2
7,cone,256,0.6921052753925324,0.0,0.6438356041908264,3,1.0,<function dropout at 0x7f57b91f0a60>,3
8,cone,256,0.5368421077728273,0.0,0.6438356041908264,3,1.0,<function dropout at 0x7f57b91f0a60>,4
9,cone,256,0.6105263233184816,0.0,0.6438356041908264,3,1.0,<function dropout at 0x7f57b91f0a60>,8
10,cone,256,0.642105269432068,0.0,0.6438356041908264,3,1.0,<function dropout at 0x7f57b91f0a60>,16
11,cone,256,0.6473684310913087,0.0,0.6438356041908264,3,1.0,<function dropout at 0x7f57b91f0a60>,32
12,cone,256,0.8368421077728271,0.0,0.8630136847496033,3,0.1,<function dropout at 0x7f57b91f0a60>,2
13,cone,256,0.8421052694320679,0.0,0.8904109597206116,3,0.1,<function dropout at 0x7f57b91f0a60>,3
14,cone,256,0.8026315569877625,0.0,0.7945204973220825,3,0.1,<function dropout at 0x7f57b91f0a60>,4
15,cone,256,0.7868420720100403,0.0,0.8219177722930908,3,0.1,<function dropout at 0x7f57b91f0a60>,8
16,cone,256,0.8500000000000001,0.0,0.835616409778595,3,0.1,<function dropout at 0x7f57b91f0a60>,16
17,cone,256,0.8157894790172576,0.0,0.8082191348075867,3,0.1,<function dropout at 0x7f57b91f0a60>,32
18,cone,256,0.8684210777282717,0.0,0.8356164693832397,3,0.01,<function dropout at 0x7f57b91f0a60>,2
19,cone,256,0.8684210777282717,0.0,0.835616409778595,3,0.01,<function dropout at 0x7f57b91f0a60>,3
20,cone,256,0.8421052694320678,0.0,0.8630136847496033,3,0.01,<function dropout at 0x7f57b91f0a60>,4
21,cone,256,0.8684210777282717,0.0,0.8219177722930908,3,0.01,<function dropout at 0x7f57b91f0a60>,8
22,cone,256,0.78421049118042,0.0,0.8219177722930908,3,0.01,<function dropout at 0x7f57b91f0a60>,16
23,cone,256,0.7894736528396606,0.0,0.8219177722930908,3,0.01,<function dropout at 0x7f57b91f0a60>,32
24,cone,256,0.6842105388641359,0.5,0.6438356041908264,3,10.0,<function dropout at 0x7f57b91f0a60>,2
25,cone,256,0.6842105388641359,0.5,0.6438356041908264,3,10.0,<function dropout at 0x7f57b91f0a60>,3
26,cone,256,0.6842105388641359,0.5,0.6438356041908264,3,10.0,<function dropout at 0x7f57b91f0a60>,4
27,cone,256,0.6842105388641359,0.5,0.6438356041908264,3,10.0,<function dropout at 0x7f57b91f0a60>,8
28,cone,256,0.6842105388641359,0.5,0.6438356041908264,3,10.0,<function dropout at 0x7f57b91f0a60>,16
29,cone,256,0.6842105388641359,0.5,0.6438356041908264,3,10.0,<function dropout at 0x7f57b91f0a60>,32
30,cone,256,0.6842105388641359,0.5,0.6438356041908264,3,1.0,<function dropout at 0x7f57b91f0a60>,2
31,cone,256,0.6842105388641359,0.5,0.6438356041908264,3,1.0,<function dropout at 0x7f57b91f0a60>,3
32,cone,256,0.6842105388641359,0.5,0.6438356041908264,3,1.0,<function dropout at 0x7f57b91f0a60>,4
33,cone,256,0.6842105388641359,0.5,0.6438356041908264,3,1.0,<function dropout at 0x7f57b91f0a60>,8
34,cone,256,0.6842105388641359,0.5,0.6438356041908264,3,1.0,<function dropout at 0x7f57b91f0a60>,16
35,cone,256,0.6842105388641359,0.5,0.6438356041908264,3,1.0,<function dropout at 0x7f57b91f0a60>,32
36,cone,256,0.8631579160690308,0.5,0.8493150472640991,3,0.1,<function dropout at 0x7f57b91f0a60>,2
37,cone,256,0.8684210777282717,0.5,0.835616409778595,3,0.1,<function dropout at 0x7f57b91f0a60>,3
38,cone,256,0.8684210777282717,0.5,0.8493150472640991,3,0.1,<function dropout at 0x7f57b91f0a60>,4
39,cone,256,0.6842105388641359,0.5,0.6438356041908264,3,0.1,<function dropout at 0x7f57b91f0a60>,8
40,cone,256,0.6842105388641359,0.5,0.6438356041908264,3,0.1,<function dropout at 0x7f57b91f0a60>,16
41,cone,256,0.6157894790172578,0.5,0.6438356041908264,3,0.1,<function dropout at 0x7f57b91f0a60>,32
42,cone,256,0.8684210777282717,0.5,0.835616409778595,3,0.01,<function dropout at 0x7f57b91f0a60>,2
43,cone,256,0.8210526227951049,0.5,0.8493150472640991,3,0.01,<function dropout at 0x7f57b91f0a60>,3
44,cone,256,0.836842107772827,0.5,0.835616409778595,3,0.01,<function dropout at 0x7f57b91f0a60>,4
45,cone,256,0.778947389125824,0.5,0.7808219194412231,3,0.01,<function dropout at 0x7f57b91f0a60>,8
46,cone,256,0.6842105388641359,0.5,0.6438356041908264,3,0.01,<function dropout at 0x7f57b91f0a60>,16
47,cone,256,0.681578952074051,0.5,0.6438356041908264,3,0.01,<function dropout at 0x7f57b91f0a60>,32
48,cone,512,0.6842105388641359,0.0,0.6438356041908264,3,10.0,<function dropout at 0x7f57b91f0a60>,2
49,cone,512,0.6842105388641359,0.0,0.6438356041908264,3,10.0,<function dropout at 0x7f57b91f0a60>,3
50,cone,512,0.6842105388641359,0.0,0.6438356041908264,3,10.0,<function dropout at 0x7f57b91f0a60>,4
51,cone,512,0.3157894611358642,0.0,0.3561643958091736,3,10.0,<function dropout at 0x7f57b91f0a60>,8
52,cone,512,0.6842105388641359,0.0,0.6438356041908264,3,10.0,<function dropout at 0x7f57b91f0a60>,16
53,cone,512,0.5368421077728271,0.0,0.3561643958091736,3,10.0,<function dropout at 0x7f57b91f0a60>,32
54,cone,512,0.6842105388641359,0.0,0.6438356041908264,3,1.0,<function dropout at 0x7f57b91f0a60>,2
55,cone,512,0.6842105388641359,0.0,0.6438356041908264,3,1.0,<function dropout at 0x7f57b91f0a60>,3
56,cone,512,0.31842104196548454,0.0,0.3561643958091736,3,1.0,<function dropout at 0x7f57b91f0a60>,4
57,cone,512,0.35263156890869135,0.0,0.3561643958091736,3,1.0,<function dropout at 0x7f57b91f0a60>,8
58,cone,512,0.6842105388641359,0.0,0.6438356041908264,3,1.0,<function dropout at 0x7f57b91f0a60>,16
59,cone,512,0.6947368502616884,0.0,0.6438356041908264,3,1.0,<function dropout at 0x7f57b91f0a60>,32
60,cone,512,0.8394736886024473,0.0,0.8630136847496033,3,0.1,<function dropout at 0x7f57b91f0a60>,2
61,cone,512,0.8447368502616881,0.0,0.835616409778595,3,0.1,<function dropout at 0x7f57b91f0a60>,3
62,cone,512,0.8526315927505491,0.0,0.8904109597206116,3,0.1,<function dropout at 0x7f57b91f0a60>,4
63,cone,512,0.8631579160690308,0.0,0.8082191348075867,3,0.1,<function dropout at 0x7f57b91f0a60>,8
64,cone,512,0.8500000119209291,0.0,0.7808219194412231,3,0.1,<function dropout at 0x7f57b91f0a60>,16
