,dR,nstart,learningrate,valAccuracy,activationFn,dropoutFn,nlayers,layerForm,testAccuracy
0,0.0,256,10.0,0.04615384936332703,3,<function dropout at 0x7ffa97e45a60>,2,cone,0.25806450843811035
1,0.0,256,10.0,0.0,3,<function dropout at 0x7ffa97e45a60>,3,cone,0.06451612710952759
2,0.0,256,10.0,0.0,3,<function dropout at 0x7ffa97e45a60>,4,cone,0.06451612710952759
3,0.0,256,10.0,0.0,3,<function dropout at 0x7ffa97e45a60>,8,cone,0.06451612710952759
4,0.0,256,10.0,0.0,3,<function dropout at 0x7ffa97e45a60>,16,cone,0.06451612710952759
5,0.0,256,10.0,0.0,3,<function dropout at 0x7ffa97e45a60>,32,cone,0.06451612710952759
6,0.0,256,1.0,0.1846153914928436,3,<function dropout at 0x7ffa97e45a60>,2,cone,0.22580644488334656
7,0.0,256,1.0,0.4615384936332702,3,<function dropout at 0x7ffa97e45a60>,3,cone,0.25806450843811035
8,0.0,256,1.0,0.07692307978868483,3,<function dropout at 0x7ffa97e45a60>,4,cone,0.032258063554763794
9,0.0,256,1.0,0.0,3,<function dropout at 0x7ffa97e45a60>,8,cone,0.06451612710952759
10,0.0,256,1.0,0.0,3,<function dropout at 0x7ffa97e45a60>,16,cone,0.06451612710952759
11,0.0,256,1.0,0.32307694107294077,3,<function dropout at 0x7ffa97e45a60>,32,cone,0.22580644488334656
12,0.0,256,0.1,0.23076924532651896,3,<function dropout at 0x7ffa97e45a60>,2,cone,0.4516128897666931
13,0.0,256,0.1,0.3153846338391304,3,<function dropout at 0x7ffa97e45a60>,3,cone,0.5161290168762207
14,0.0,256,0.1,0.26153847277164455,3,<function dropout at 0x7ffa97e45a60>,4,cone,0.4838709533214569
15,0.0,256,0.1,0.33076925575733185,3,<function dropout at 0x7ffa97e45a60>,8,cone,0.4516128897666931
16,0.0,256,0.1,0.2615384742617607,3,<function dropout at 0x7ffa97e45a60>,16,cone,0.5483870506286621
17,0.0,256,0.1,0.3230769336223602,3,<function dropout at 0x7ffa97e45a60>,32,cone,0.35483869910240173
18,0.0,256,0.01,0.2307692468166351,3,<function dropout at 0x7ffa97e45a60>,2,cone,0.5161290168762207
