,layerForm,dropoutFn,nlayers,dR,learningrate,activationFn,nstart,testAccuracy,valAccuracy
0,rect,<function dropout at 0x7fe45d1dfa60>,2,0.0,10.0,3,256,0.49339932203292847,0.4857143431901933
1,rect,<function dropout at 0x7fe45d1dfa60>,2,0.0,10.0,3,512,0.49339932203292847,0.4868132442235948
2,rect,<function dropout at 0x7fe45d1dfa60>,2,0.0,10.0,3,1024,0.49339938163757324,0.4846154421567918
3,rect,<function dropout at 0x7fe45d1dfa60>,2,0.0,1.0,3,256,0.49339932203292847,0.4857143431901933
4,rect,<function dropout at 0x7fe45d1dfa60>,2,0.0,1.0,3,512,0.49339932203292847,0.48351654410362255
5,rect,<function dropout at 0x7fe45d1dfa60>,2,0.0,1.0,3,1024,0.49339932203292847,0.48351654410362255
6,rect,<function dropout at 0x7fe45d1dfa60>,2,0.0,0.1,3,256,0.4983499050140381,0.5208791553974151
7,rect,<function dropout at 0x7fe45d1dfa60>,2,0.0,0.1,3,512,0.523102343082428,0.540659373998642
8,rect,<function dropout at 0x7fe45d1dfa60>,2,0.0,0.1,3,1024,0.5148515105247498,0.534065967798233
9,rect,<function dropout at 0x7fe45d1dfa60>,2,0.0,0.01,3,256,0.5066006779670715,0.4956044316291808
10,rect,<function dropout at 0x7fe45d1dfa60>,2,0.0,0.01,3,512,0.5049505233764648,0.5142857432365416
11,rect,<function dropout at 0x7fe45d1dfa60>,2,0.0,0.01,3,1024,0.5066006779670715,0.5076923370361327
12,rect,<function dropout at 0x7fe45d1dfa60>,2,0.5,10.0,3,256,0.49339932203292847,0.48351654410362255
13,rect,<function dropout at 0x7fe45d1dfa60>,2,0.5,10.0,3,512,0.49339932203292847,0.4868132442235948
14,rect,<function dropout at 0x7fe45d1dfa60>,2,0.5,10.0,3,1024,0.49339932203292847,0.48351654410362255
15,rect,<function dropout at 0x7fe45d1dfa60>,2,0.5,1.0,3,256,0.49339932203292847,0.48351654410362255
16,rect,<function dropout at 0x7fe45d1dfa60>,2,0.5,1.0,3,512,0.49339932203292847,0.48351654410362255
17,rect,<function dropout at 0x7fe45d1dfa60>,2,0.5,1.0,3,1024,0.49339932203292847,0.48351654410362255
18,rect,<function dropout at 0x7fe45d1dfa60>,2,0.5,0.1,3,256,0.48019805550575256,0.5230769515037536
19,rect,<function dropout at 0x7fe45d1dfa60>,2,0.5,0.1,3,512,0.4785478711128235,0.5252747535705565
20,rect,<function dropout at 0x7fe45d1dfa60>,2,0.5,0.1,3,1024,0.49339938163757324,0.5340659618377684
21,rect,<function dropout at 0x7fe45d1dfa60>,2,0.5,0.01,3,256,0.5033003687858582,0.5263736665248869
22,rect,<function dropout at 0x7fe45d1dfa60>,2,0.5,0.01,3,512,0.4900990128517151,0.5087912440299986
23,rect,<function dropout at 0x7fe45d1dfa60>,2,0.5,0.01,3,1024,0.5066006779670715,0.5087912380695342
24,rect,<function dropout at 0x7fe45d1dfa60>,3,0.0,10.0,3,256,0.49339938163757324,0.48351654410362255
25,rect,<function dropout at 0x7fe45d1dfa60>,3,0.0,10.0,3,512,0.49339932203292847,0.48351654410362255
26,rect,<function dropout at 0x7fe45d1dfa60>,3,0.0,10.0,3,1024,0.49339932203292847,0.48351654410362255
27,rect,<function dropout at 0x7fe45d1dfa60>,3,0.0,1.0,3,256,0.49339932203292847,0.48351654410362255
28,rect,<function dropout at 0x7fe45d1dfa60>,3,0.0,1.0,3,512,0.49339932203292847,0.48351654410362255
29,rect,<function dropout at 0x7fe45d1dfa60>,3,0.0,1.0,3,1024,0.49339932203292847,0.4868132442235948
30,rect,<function dropout at 0x7fe45d1dfa60>,3,0.0,0.1,3,256,0.5214521884918213,0.5186813473701476
31,rect,<function dropout at 0x7fe45d1dfa60>,3,0.0,0.1,3,512,0.49504953622817993,0.5351648807525634
32,rect,<function dropout at 0x7fe45d1dfa60>,3,0.0,0.1,3,1024,0.5198019742965698,0.5692308008670807
33,rect,<function dropout at 0x7fe45d1dfa60>,3,0.0,0.01,3,256,0.4884488582611084,0.5417582690715789
34,rect,<function dropout at 0x7fe45d1dfa60>,3,0.0,0.01,3,512,0.5231022834777832,0.524175852537155
35,rect,<function dropout at 0x7fe45d1dfa60>,3,0.0,0.01,3,1024,0.5016502141952515,0.575824201107025
36,rect,<function dropout at 0x7fe45d1dfa60>,3,0.5,10.0,3,256,0.49339932203292847,0.48351654410362255
37,rect,<function dropout at 0x7fe45d1dfa60>,3,0.5,10.0,3,512,0.49339932203292847,0.48351654410362255
38,rect,<function dropout at 0x7fe45d1dfa60>,3,0.5,10.0,3,1024,0.49339932203292847,0.48351654410362255
39,rect,<function dropout at 0x7fe45d1dfa60>,3,0.5,1.0,3,256,0.49339932203292847,0.48351654410362255
