,nstart,testAccuracy,learningrate,dropoutFn,nlayers,activationFn,valAccuracy,dR,layerForm
0,256,0.35135138034820557,10.0,<function dropout at 0x7faed0239a60>,2,3,0.6153846383094786,0.0,cone
1,256,0.35135138034820557,10.0,<function dropout at 0x7faed0239a60>,2,3,0.6153846383094786,0.5,cone
2,256,0.35135138034820557,10.0,<function dropout at 0x7faed0239a60>,3,3,0.6153846383094786,0.0,cone
3,256,0.35135138034820557,10.0,<function dropout at 0x7faed0239a60>,3,3,0.6153846383094786,0.5,cone
4,256,0.35135138034820557,10.0,<function dropout at 0x7faed0239a60>,4,3,0.6153846383094786,0.0,cone
5,256,0.35135138034820557,10.0,<function dropout at 0x7faed0239a60>,4,3,0.6153846383094786,0.5,cone
6,256,0.35135138034820557,10.0,<function dropout at 0x7faed0239a60>,8,3,0.6153846383094786,0.0,cone
7,256,0.35135138034820557,10.0,<function dropout at 0x7faed0239a60>,8,3,0.6153846383094786,0.5,cone
8,256,0.35135138034820557,10.0,<function dropout at 0x7faed0239a60>,16,3,0.6153846383094786,0.0,cone
9,256,0.35135138034820557,10.0,<function dropout at 0x7faed0239a60>,16,3,0.6153846383094786,0.5,cone
10,256,0.35135138034820557,10.0,<function dropout at 0x7faed0239a60>,32,3,0.6153846383094786,0.0,cone
11,256,0.35135138034820557,10.0,<function dropout at 0x7faed0239a60>,32,3,0.6153846383094786,0.5,cone
12,256,0.35135138034820557,1.0,<function dropout at 0x7faed0239a60>,2,3,0.6153846383094786,0.0,cone
13,256,0.35135138034820557,1.0,<function dropout at 0x7faed0239a60>,2,3,0.6153846383094786,0.5,cone
14,256,0.35135138034820557,1.0,<function dropout at 0x7faed0239a60>,3,3,0.6153846383094786,0.0,cone
15,256,0.35135138034820557,1.0,<function dropout at 0x7faed0239a60>,3,3,0.6153846383094786,0.5,cone
16,256,0.35135138034820557,1.0,<function dropout at 0x7faed0239a60>,4,3,0.6153846383094786,0.0,cone
