,layerForm,dR,nstart,dropoutFn,activationFn,nlayers,learningrate,valAccuracy,testAccuracy
0,rect,0.0,256,<function dropout at 0x7fe72c434a60>,3,2,10.0,0.2500000074505806,0.35135138034820557
1,rect,0.0,256,<function dropout at 0x7fe72c434a60>,3,2,1.0,0.22727273404598236,0.35135138034820557
2,rect,0.0,256,<function dropout at 0x7fe72c434a60>,3,2,0.1,0.9999999999999999,0.9729729890823364
3,rect,0.0,256,<function dropout at 0x7fe72c434a60>,3,2,0.01,0.9090909361839294,0.8918919563293457
4,rect,0.0,256,<function dropout at 0x7fe72c434a60>,3,3,10.0,0.22727273404598236,0.35135138034820557
5,rect,0.0,256,<function dropout at 0x7fe72c434a60>,3,3,1.0,0.22727273404598236,0.35135138034820557
6,rect,0.0,256,<function dropout at 0x7fe72c434a60>,3,3,0.1,0.9681818306446075,0.9459459185600281
7,rect,0.0,256,<function dropout at 0x7fe72c434a60>,3,3,0.01,0.9999999999999999,1.0
8,rect,0.0,256,<function dropout at 0x7fe72c434a60>,3,4,10.0,0.22727273404598236,0.35135138034820557
9,rect,0.0,256,<function dropout at 0x7fe72c434a60>,3,4,1.0,0.22727273404598236,0.35135138034820557
10,rect,0.0,256,<function dropout at 0x7fe72c434a60>,3,4,0.1,0.9636363804340362,0.9729729890823364
11,rect,0.0,256,<function dropout at 0x7fe72c434a60>,3,4,0.01,0.9999999999999999,1.0
12,rect,0.0,256,<function dropout at 0x7fe72c434a60>,3,8,10.0,0.22727273404598236,0.35135138034820557
13,rect,0.0,256,<function dropout at 0x7fe72c434a60>,3,8,1.0,0.22727273404598236,0.35135138034820557
14,rect,0.0,256,<function dropout at 0x7fe72c434a60>,3,8,0.1,0.22727273404598236,0.35135138034820557
15,rect,0.0,256,<function dropout at 0x7fe72c434a60>,3,8,0.01,0.9909090995788573,0.9729729890823364
16,rect,0.0,256,<function dropout at 0x7fe72c434a60>,3,16,10.0,0.22727273404598236,0.35135138034820557
17,rect,0.0,256,<function dropout at 0x7fe72c434a60>,3,16,1.0,0.22727273404598236,0.35135138034820557
18,rect,0.0,256,<function dropout at 0x7fe72c434a60>,3,16,0.1,0.23181818872690202,0.35135138034820557
19,rect,0.0,256,<function dropout at 0x7fe72c434a60>,3,16,0.01,0.9818181991577147,0.9459459781646729
20,rect,0.0,256,<function dropout at 0x7fe72c434a60>,3,32,10.0,0.22727273404598236,0.35135138034820557
21,rect,0.0,256,<function dropout at 0x7fe72c434a60>,3,32,1.0,0.22727273404598236,0.35135138034820557
22,rect,0.0,256,<function dropout at 0x7fe72c434a60>,3,32,0.1,0.22727273404598236,0.35135138034820557
23,rect,0.0,256,<function dropout at 0x7fe72c434a60>,3,32,0.01,0.9681818485260009,0.9729729890823364
24,rect,0.0,512,<function dropout at 0x7fe72c434a60>,3,2,10.0,0.22727273404598236,0.35135138034820557
25,rect,0.0,512,<function dropout at 0x7fe72c434a60>,3,2,1.0,0.22727273404598236,0.35135138034820557
26,rect,0.0,512,<function dropout at 0x7fe72c434a60>,3,2,0.1,0.9999999999999999,1.0
27,rect,0.0,512,<function dropout at 0x7fe72c434a60>,3,2,0.01,0.9999999999999999,0.9459459781646729
28,rect,0.0,512,<function dropout at 0x7fe72c434a60>,3,3,10.0,0.22727273404598236,0.35135138034820557
29,rect,0.0,512,<function dropout at 0x7fe72c434a60>,3,3,1.0,0.22727273404598236,0.35135138034820557
30,rect,0.0,512,<function dropout at 0x7fe72c434a60>,3,3,0.1,0.986363649368286,0.9729729890823364
