,layerForm,valAccuracy,activationFn,nlayers,learningrate,dR,testAccuracy,dropoutFn,nstart
0,cone,0.08461538702249527,3,2,10.0,0.0,0.09600000828504562,<function dropout at 0x7f3452e45a60>,256
1,cone,0.08461538702249527,3,2,10.0,0.0,0.09600000828504562,<function dropout at 0x7f3452e45a60>,512
2,cone,0.08692307993769646,3,2,10.0,0.0,0.09600000083446503,<function dropout at 0x7f3452e45a60>,1024
3,cone,0.08538461774587632,3,2,10.0,0.5,0.09600000828504562,<function dropout at 0x7f3452e45a60>,256
4,cone,0.08461538702249527,3,2,10.0,0.5,0.09600000828504562,<function dropout at 0x7f3452e45a60>,512
5,cone,0.08461538702249527,3,2,10.0,0.5,0.09600000828504562,<function dropout at 0x7f3452e45a60>,1024
6,cone,0.7400000214576721,3,2,1.0,0.0,0.6840000152587891,<function dropout at 0x7f3452e45a60>,256
7,cone,0.0984615407884121,3,2,1.0,0.0,0.09600000828504562,<function dropout at 0x7f3452e45a60>,512
8,cone,0.08461538702249527,3,2,1.0,0.0,0.09600000828504562,<function dropout at 0x7f3452e45a60>,1024
9,cone,0.6838461697101593,3,2,1.0,0.5,0.6720000505447388,<function dropout at 0x7f3452e45a60>,256
10,cone,0.09000000283122063,3,2,1.0,0.5,0.09600000828504562,<function dropout at 0x7f3452e45a60>,512
11,cone,0.08538461774587632,3,2,1.0,0.5,0.09600000828504562,<function dropout at 0x7f3452e45a60>,1024
12,cone,0.7723077118396758,3,2,0.1,0.0,0.7319999933242798,<function dropout at 0x7f3452e45a60>,256
13,cone,0.7700000226497649,3,2,0.1,0.0,0.7200000286102295,<function dropout at 0x7f3452e45a60>,512
14,cone,0.7669230997562408,3,2,0.1,0.0,0.7040000557899475,<function dropout at 0x7f3452e45a60>,1024
15,cone,0.784615397453308,3,2,0.1,0.5,0.7239999771118164,<function dropout at 0x7f3452e45a60>,256
16,cone,0.776923108100891,3,2,0.1,0.5,0.7280000448226929,<function dropout at 0x7f3452e45a60>,512
17,cone,0.7815384745597838,3,2,0.1,0.5,0.7280000448226929,<function dropout at 0x7f3452e45a60>,1024
18,cone,0.7600000083446503,3,2,0.01,0.0,0.7200000286102295,<function dropout at 0x7f3452e45a60>,256
19,cone,0.7800000250339507,3,2,0.01,0.0,0.7039999961853027,<function dropout at 0x7f3452e45a60>,512
20,cone,0.7723077178001403,3,2,0.01,0.0,0.7360000014305115,<function dropout at 0x7f3452e45a60>,1024
21,cone,0.7769230782985687,3,2,0.01,0.5,0.7239999771118164,<function dropout at 0x7f3452e45a60>,256
22,cone,0.7807692289352417,3,2,0.01,0.5,0.7280000448226929,<function dropout at 0x7f3452e45a60>,512
23,cone,0.7776923298835753,3,2,0.01,0.5,0.7199999094009399,<function dropout at 0x7f3452e45a60>,1024
24,cone,0.08461538702249527,3,3,10.0,0.0,0.09600000828504562,<function dropout at 0x7f3452e45a60>,256
25,cone,0.08461538702249527,3,3,10.0,0.0,0.09600000828504562,<function dropout at 0x7f3452e45a60>,512
26,cone,0.08461538702249527,3,3,10.0,0.0,0.09600000083446503,<function dropout at 0x7f3452e45a60>,1024
27,cone,0.08461538702249527,3,3,10.0,0.5,0.09600000083446503,<function dropout at 0x7f3452e45a60>,256
28,cone,0.08461538702249527,3,3,10.0,0.5,0.09600000828504562,<function dropout at 0x7f3452e45a60>,512
29,cone,0.08461538702249527,3,3,10.0,0.5,0.09600000828504562,<function dropout at 0x7f3452e45a60>,1024
30,cone,0.10384615883231164,3,3,1.0,0.0,0.1080000102519989,<function dropout at 0x7f3452e45a60>,256
31,cone,0.08461538702249527,3,3,1.0,0.0,0.09600000083446503,<function dropout at 0x7f3452e45a60>,512
32,cone,0.08461538702249527,3,3,1.0,0.0,0.09600000828504562,<function dropout at 0x7f3452e45a60>,1024
33,cone,0.08461538702249527,3,3,1.0,0.5,0.09600000083446503,<function dropout at 0x7f3452e45a60>,256
34,cone,0.08769231066107751,3,3,1.0,0.5,0.10000000894069672,<function dropout at 0x7f3452e45a60>,512
