,layerForm,dR,nlayers,nstart,valAccuracy,testAccuracy,activationFn,dropoutFn,learningrate
0,cone,0.0,2,256,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,10.0
1,cone,0.0,2,256,0.1,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,1.0
2,cone,0.0,2,256,0.5000000149011612,1.0,3,<function dropout at 0x7f4af77cfa60>,0.1
3,cone,0.0,2,256,0.33333334326744074,1.0,3,<function dropout at 0x7f4af77cfa60>,0.01
4,cone,0.0,2,512,0.1,0.5,3,<function dropout at 0x7f4af77cfa60>,10.0
5,cone,0.0,2,512,0.1,0.5,3,<function dropout at 0x7f4af77cfa60>,1.0
6,cone,0.0,2,512,0.33333334326744074,0.6666666865348816,3,<function dropout at 0x7f4af77cfa60>,0.1
7,cone,0.0,2,512,0.33333334326744074,1.0,3,<function dropout at 0x7f4af77cfa60>,0.01
8,cone,0.0,2,1024,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,10.0
9,cone,0.0,2,1024,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,1.0
10,cone,0.0,2,1024,0.9999999999999999,0.6666666865348816,3,<function dropout at 0x7f4af77cfa60>,0.1
11,cone,0.0,2,1024,0.6666666835546493,1.0,3,<function dropout at 0x7f4af77cfa60>,0.01
12,cone,0.0,3,256,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,10.0
13,cone,0.0,3,256,0.1,0.6666666865348816,3,<function dropout at 0x7f4af77cfa60>,1.0
14,cone,0.0,3,256,0.8666666746139525,0.8333333730697632,3,<function dropout at 0x7f4af77cfa60>,0.1
15,cone,0.0,3,256,0.8333333432674407,0.8333333730697632,3,<function dropout at 0x7f4af77cfa60>,0.01
16,cone,0.0,3,512,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,10.0
17,cone,0.0,3,512,0.1,0.6666666865348816,3,<function dropout at 0x7f4af77cfa60>,1.0
18,cone,0.0,3,512,0.5000000089406967,0.8333333730697632,3,<function dropout at 0x7f4af77cfa60>,0.1
19,cone,0.0,3,512,0.40000000894069665,0.8333333730697632,3,<function dropout at 0x7f4af77cfa60>,0.01
20,cone,0.0,3,1024,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,10.0
21,cone,0.0,3,1024,0.9999999999999999,0.6666666865348816,3,<function dropout at 0x7f4af77cfa60>,1.0
22,cone,0.0,3,1024,0.8999999999999999,0.5,3,<function dropout at 0x7f4af77cfa60>,0.1
23,cone,0.0,3,1024,0.7000000178813933,1.0,3,<function dropout at 0x7f4af77cfa60>,0.01
24,cone,0.0,4,256,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,10.0
25,cone,0.0,4,256,0.6,0.6666666865348816,3,<function dropout at 0x7f4af77cfa60>,1.0
26,cone,0.0,4,256,0.9999999999999999,1.0,3,<function dropout at 0x7f4af77cfa60>,0.1
27,cone,0.0,4,256,0.33333334326744074,1.0,3,<function dropout at 0x7f4af77cfa60>,0.01
28,cone,0.0,4,512,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,10.0
29,cone,0.0,4,512,0.1,0.6666666865348816,3,<function dropout at 0x7f4af77cfa60>,1.0
30,cone,0.0,4,512,0.7000000178813933,0.6666666865348816,3,<function dropout at 0x7f4af77cfa60>,0.1
31,cone,0.0,4,512,0.33333334326744074,1.0,3,<function dropout at 0x7f4af77cfa60>,0.01
32,cone,0.0,4,1024,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,10.0
33,cone,0.0,4,1024,0.1,0.6666666865348816,3,<function dropout at 0x7f4af77cfa60>,1.0
