,layerForm,nstart,nlayers,dR,dropoutFn,learningrate,valAccuracy,testAccuracy,activationFn
0,rect,256,2,0.0,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060024976730347,3
1,rect,256,2,0.0,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060024976730347,3
2,rect,256,2,0.0,<function dropout at 0x7fd64b923a60>,0.1,0.9235249519348144,0.923115611076355,3
3,rect,256,2,0.0,<function dropout at 0x7fd64b923a60>,0.01,0.9149790167808531,0.9147197008132935,3
4,rect,256,2,0.5,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060024976730347,3
5,rect,256,2,0.5,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060024976730347,3
6,rect,256,2,0.5,<function dropout at 0x7fd64b923a60>,0.1,0.9095194995403291,0.912351667881012,3
7,rect,256,2,0.5,<function dropout at 0x7fd64b923a60>,0.01,0.8848967552185059,0.8869795203208923,3
8,rect,256,3,0.0,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060024976730347,3
9,rect,256,3,0.0,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060027956962585,3
10,rect,256,3,0.0,<function dropout at 0x7fd64b923a60>,0.1,0.9276676177978517,0.928528368473053,3
11,rect,256,3,0.0,<function dropout at 0x7fd64b923a60>,0.01,0.9206306040287018,0.9186870455741882,3
12,rect,256,3,0.5,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060024976730347,3
13,rect,256,3,0.5,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060024976730347,3
14,rect,256,3,0.5,<function dropout at 0x7fd64b923a60>,0.1,0.9116594135761261,0.9098297953605652,3
15,rect,256,3,0.5,<function dropout at 0x7fd64b923a60>,0.01,0.8861519157886506,0.888547956943512,3
16,rect,256,4,0.0,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060024976730347,3
17,rect,256,4,0.0,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060024976730347,3
18,rect,256,4,0.0,<function dropout at 0x7fd64b923a60>,0.1,0.9280242681503296,0.9265293478965759,3
19,rect,256,4,0.0,<function dropout at 0x7fd64b923a60>,0.01,0.9212615907192231,0.9254221320152283,3
