,learningrate,valAccuracy,nstart,dropoutFn,layerForm,activationFn,testAccuracy,nlayers,dR
0,10.0,0.4789473801851273,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,2,0.0
1,10.0,0.4736842215061188,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,2,0.5
2,10.0,0.4736842215061188,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,3,0.0
3,10.0,0.4736842215061188,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,3,0.5
4,10.0,0.4736842215061188,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,4,0.0
5,10.0,0.4736842215061188,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,4,0.5
6,10.0,0.4736842215061188,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,8,0.0
7,10.0,0.4736842215061188,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,8,0.5
8,10.0,0.4736842215061188,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,16,0.0
9,10.0,0.4736842215061188,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,16,0.5
10,10.0,0.4736842215061188,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,32,0.0
11,10.0,0.4736842215061188,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,32,0.5
12,10.0,0.5263158082962037,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.4976852238178253,2,0.0
13,10.0,0.4789473801851273,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,2,0.5
14,10.0,0.4736842215061188,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,3,0.0
15,10.0,0.4736842215061188,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,3,0.5
16,10.0,0.4736842215061188,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,4,0.0
17,10.0,0.4736842215061188,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,4,0.5
18,10.0,0.4736842215061188,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,8,0.0
19,10.0,0.4736842215061188,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,8,0.5
20,10.0,0.4736842215061188,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,16,0.0
21,10.0,0.4736842215061188,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,16,0.5
22,10.0,0.4736842215061188,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,32,0.0
23,10.0,0.4736842215061188,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,32,0.5
24,10.0,0.4789473801851273,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,2,0.0
25,10.0,0.4736842215061188,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,2,0.5
26,10.0,0.4736842215061188,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,3,0.0
27,10.0,0.4736842215061188,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,3,0.5
28,10.0,0.4736842215061188,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,4,0.0
29,10.0,0.4736842215061188,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,4,0.5
30,10.0,0.4736842215061188,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,8,0.0
31,10.0,0.4736842215061188,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,8,0.5
32,10.0,0.4736842215061188,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,16,0.0
33,10.0,0.4736842215061188,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,16,0.5
34,10.0,0.4736842215061188,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,32,0.0
35,10.0,0.4736842215061188,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,32,0.5
36,1.0,0.4736842215061188,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,2,0.0
37,1.0,0.4736842215061188,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,2,0.5
38,1.0,0.4736842215061188,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,3,0.0
39,1.0,0.4736842215061188,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,3,0.5
40,1.0,0.4736842215061188,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,4,0.0
41,1.0,0.4736842215061188,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,4,0.5
42,1.0,0.4736842215061188,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,8,0.0
43,1.0,0.4736842215061188,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,8,0.5
44,1.0,0.4736842215061188,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,16,0.0
45,1.0,0.4736842215061188,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,16,0.5
46,1.0,0.4736842215061188,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,32,0.0
47,1.0,0.4736842215061188,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,32,0.5
48,1.0,0.4789473801851273,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,2,0.0
49,1.0,0.4789473801851273,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,2,0.5
50,1.0,0.4736842215061188,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,3,0.0
51,1.0,0.4736842215061188,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,3,0.5
52,1.0,0.4736842215061188,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,4,0.0
53,1.0,0.4736842215061188,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,4,0.5
