,dR,nstart,activationFn,nlayers,dropoutFn,learningrate,valAccuracy,testAccuracy,layerForm
0,0.0,256,3,2,<function dropout at 0x7fb415711a60>,10.0,0.5909091234207153,0.6712963581085205,cone
1,0.0,256,3,2,<function dropout at 0x7fb415711a60>,1.0,0.5909091234207153,0.6712963581085205,cone
2,0.0,256,3,2,<function dropout at 0x7fb415711a60>,0.1,0.5954545676708222,0.43287038803100586,cone
3,0.0,256,3,2,<function dropout at 0x7fb415711a60>,0.01,0.5636363804340363,0.5347222089767456,cone
4,0.0,256,3,3,<function dropout at 0x7fb415711a60>,10.0,0.5909091234207153,0.6712963581085205,cone
5,0.0,256,3,3,<function dropout at 0x7fb415711a60>,1.0,0.4090909361839295,0.32870373129844666,cone
6,0.0,256,3,3,<function dropout at 0x7fb415711a60>,0.1,0.5909091234207153,0.5648148059844971,cone
7,0.0,256,3,3,<function dropout at 0x7fb415711a60>,0.01,0.4818181753158569,0.5671296119689941,cone
8,0.0,256,3,4,<function dropout at 0x7fb415711a60>,10.0,0.5909091234207153,0.6712963581085205,cone
9,0.0,256,3,4,<function dropout at 0x7fb415711a60>,1.0,0.5909091234207153,0.6712962985038757,cone
10,0.0,256,3,4,<function dropout at 0x7fb415711a60>,0.1,0.5909091234207153,0.6481481790542603,cone
11,0.0,256,3,4,<function dropout at 0x7fb415711a60>,0.01,0.49545455574989317,0.4837963283061981,cone
12,0.0,256,3,8,<function dropout at 0x7fb415711a60>,10.0,0.5909091234207153,0.6712962985038757,cone
13,0.0,256,3,8,<function dropout at 0x7fb415711a60>,1.0,0.5909091234207153,0.6712963581085205,cone
14,0.0,256,3,8,<function dropout at 0x7fb415711a60>,0.1,0.5863636672496796,0.4675925672054291,cone
15,0.0,256,3,8,<function dropout at 0x7fb415711a60>,0.01,0.5681818425655366,0.5416666865348816,cone
16,0.0,256,3,16,<function dropout at 0x7fb415711a60>,10.0,0.5909091234207153,0.6712963581085205,cone
17,0.0,256,3,16,<function dropout at 0x7fb415711a60>,1.0,0.5909091234207153,0.6712962985038757,cone
18,0.0,256,3,16,<function dropout at 0x7fb415711a60>,0.1,0.5909091234207153,0.6712962985038757,cone
19,0.0,256,3,16,<function dropout at 0x7fb415711a60>,0.01,0.5545454740524293,0.5763888955116272,cone
20,0.0,256,3,32,<function dropout at 0x7fb415711a60>,10.0,0.5909091234207153,0.6712963581085205,cone
21,0.0,256,3,32,<function dropout at 0x7fb415711a60>,1.0,0.5909091234207153,0.6712963581085205,cone
22,0.0,256,3,32,<function dropout at 0x7fb415711a60>,0.1,0.5909091234207153,0.6250000596046448,cone
