,learningrate,nstart,valAccuracy,dropoutFn,activationFn,testAccuracy,dR,layerForm,nlayers
0,10.0,256,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.0,cone,2
1,10.0,256,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.0,cone,3
2,10.0,256,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.0,cone,4
3,10.0,256,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.0,cone,8
4,10.0,256,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.0,cone,16
5,10.0,256,0.525,<function dropout at 0x7fc0b4af2a60>,3,0.5277777910232544,0.0,cone,32
6,10.0,256,0.45000000000000007,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,2
7,10.0,256,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,3
8,10.0,256,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,4
9,10.0,256,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,8
10,10.0,256,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,16
11,10.0,256,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,32
12,10.0,512,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.0,cone,2
13,10.0,512,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.0,cone,3
14,10.0,512,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.0,cone,4
15,10.0,512,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.0,cone,8
16,10.0,512,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.0,cone,16
17,10.0,512,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.0,cone,32
18,10.0,512,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,2
19,10.0,512,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,3
20,10.0,512,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.4722222089767456,0.5,cone,4
21,10.0,512,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,8
22,10.0,512,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,16
23,10.0,512,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,32
24,10.0,1024,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.0,cone,2
25,10.0,1024,0.5625000000000001,<function dropout at 0x7fc0b4af2a60>,3,0.32407405972480774,0.0,cone,3
26,10.0,1024,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.0,cone,4
27,10.0,1024,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.0,cone,8
28,10.0,1024,0.5000000000000001,<function dropout at 0x7fc0b4af2a60>,3,0.5277777910232544,0.0,cone,16
29,10.0,1024,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.0,cone,32
30,10.0,1024,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,2
31,10.0,1024,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,3
32,10.0,1024,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,4
33,10.0,1024,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,8
34,10.0,1024,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,16
35,10.0,1024,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,32
36,1.0,256,0.45000000000000007,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.0,cone,2
37,1.0,256,0.45000000000000007,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.0,cone,3
38,1.0,256,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.0,cone,4
39,1.0,256,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.0,cone,8
40,1.0,256,0.5000000000000001,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.0,cone,16
41,1.0,256,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.0,cone,32
42,1.0,256,0.45000000000000007,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,2
43,1.0,256,0.45000000000000007,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,3
44,1.0,256,0.45000000000000007,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,4
45,1.0,256,0.45000000000000007,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,8
