,layerForm,dropoutFn,nstart,dR,valAccuracy,learningrate,activationFn,nlayers,testAccuracy
0,cone,<function dropout at 0x7f4e04920a60>,256,0.0,0.5348837375640869,10.0,3,2,0.571428656578064
1,cone,<function dropout at 0x7f4e04920a60>,256,0.0,0.5348837375640869,10.0,3,3,0.571428656578064
2,cone,<function dropout at 0x7f4e04920a60>,256,0.0,0.5348837375640869,10.0,3,4,0.571428656578064
3,cone,<function dropout at 0x7f4e04920a60>,256,0.0,0.5348837375640869,10.0,3,8,0.571428656578064
4,cone,<function dropout at 0x7f4e04920a60>,256,0.0,0.5069767594337464,10.0,3,16,0.571428656578064
5,cone,<function dropout at 0x7f4e04920a60>,256,0.0,0.5209302484989167,10.0,3,32,0.571428656578064
6,cone,<function dropout at 0x7f4e04920a60>,256,0.0,0.5348837375640869,1.0,3,2,0.571428656578064
7,cone,<function dropout at 0x7f4e04920a60>,256,0.0,0.5348837375640869,1.0,3,3,0.571428656578064
8,cone,<function dropout at 0x7f4e04920a60>,256,0.0,0.5348837375640869,1.0,3,4,0.571428656578064
9,cone,<function dropout at 0x7f4e04920a60>,256,0.0,0.5209302484989167,1.0,3,8,0.4285714626312256
10,cone,<function dropout at 0x7f4e04920a60>,256,0.0,0.5976744472980501,1.0,3,16,0.6386555433273315
11,cone,<function dropout at 0x7f4e04920a60>,256,0.0,0.5279069930315018,1.0,3,32,0.571428656578064
12,cone,<function dropout at 0x7f4e04920a60>,256,0.0,0.8976743936538696,0.1,3,2,0.8823529481887817
13,cone,<function dropout at 0x7f4e04920a60>,256,0.0,0.9511627674102784,0.1,3,3,0.8991597890853882
14,cone,<function dropout at 0x7f4e04920a60>,256,0.0,0.9186046421527861,0.1,3,4,0.8571429252624512
15,cone,<function dropout at 0x7f4e04920a60>,256,0.0,0.9255813658237456,0.1,3,8,0.9075630903244019
16,cone,<function dropout at 0x7f4e04920a60>,256,0.0,0.9558139324188233,0.1,3,16,0.8655463457107544
17,cone,<function dropout at 0x7f4e04920a60>,256,0.0,0.8627907156944276,0.1,3,32,0.8151261806488037
18,cone,<function dropout at 0x7f4e04920a60>,256,0.0,0.8837209343910216,0.01,3,2,0.8655463457107544
19,cone,<function dropout at 0x7f4e04920a60>,256,0.0,0.9069766998291017,0.01,3,3,0.8823529481887817
20,cone,<function dropout at 0x7f4e04920a60>,256,0.0,0.9069767594337463,0.01,3,4,0.8487396240234375
21,cone,<function dropout at 0x7f4e04920a60>,256,0.0,0.9069766998291017,0.01,3,8,0.8823529481887817
22,cone,<function dropout at 0x7f4e04920a60>,256,0.0,0.900000023841858,0.01,3,16,0.890756368637085
23,cone,<function dropout at 0x7f4e04920a60>,256,0.0,0.8418605089187622,0.01,3,32,0.8067227602005005
24,cone,<function dropout at 0x7f4e04920a60>,256,0.5,0.5348837375640869,10.0,3,2,0.571428656578064
25,cone,<function dropout at 0x7f4e04920a60>,256,0.5,0.5348837375640869,10.0,3,3,0.571428656578064
26,cone,<function dropout at 0x7f4e04920a60>,256,0.5,0.5348837375640869,10.0,3,4,0.571428656578064
27,cone,<function dropout at 0x7f4e04920a60>,256,0.5,0.5348837375640869,10.0,3,8,0.571428656578064
28,cone,<function dropout at 0x7f4e04920a60>,256,0.5,0.5348837375640869,10.0,3,16,0.571428656578064
29,cone,<function dropout at 0x7f4e04920a60>,256,0.5,0.5348837375640869,10.0,3,32,0.571428656578064
30,cone,<function dropout at 0x7f4e04920a60>,256,0.5,0.5348837375640869,1.0,3,2,0.571428656578064
31,cone,<function dropout at 0x7f4e04920a60>,256,0.5,0.5348837375640869,1.0,3,3,0.571428656578064
32,cone,<function dropout at 0x7f4e04920a60>,256,0.5,0.5348837375640869,1.0,3,4,0.571428656578064
33,cone,<function dropout at 0x7f4e04920a60>,256,0.5,0.5348837375640869,1.0,3,8,0.571428656578064
34,cone,<function dropout at 0x7f4e04920a60>,256,0.5,0.5348837375640869,1.0,3,16,0.571428656578064
35,cone,<function dropout at 0x7f4e04920a60>,256,0.5,0.5348837375640869,1.0,3,32,0.571428656578064
36,cone,<function dropout at 0x7f4e04920a60>,256,0.5,0.8906976640224457,0.1,3,2,0.8151261806488037
37,cone,<function dropout at 0x7f4e04920a60>,256,0.5,0.8883720636367798,0.1,3,3,0.8151260614395142
38,cone,<function dropout at 0x7f4e04920a60>,256,0.5,0.8953488469123841,0.1,3,4,0.8403362035751343
39,cone,<function dropout at 0x7f4e04920a60>,256,0.5,0.5348837375640869,0.1,3,8,0.571428656578064
40,cone,<function dropout at 0x7f4e04920a60>,256,0.5,0.5348837375640869,0.1,3,16,0.571428656578064
41,cone,<function dropout at 0x7f4e04920a60>,256,0.5,0.5348837375640869,0.1,3,32,0.571428656578064
42,cone,<function dropout at 0x7f4e04920a60>,256,0.5,0.8372093439102172,0.01,3,2,0.8151261806488037
43,cone,<function dropout at 0x7f4e04920a60>,256,0.5,0.8279070138931275,0.01,3,3,0.764706015586853
44,cone,<function dropout at 0x7f4e04920a60>,256,0.5,0.8325581789016723,0.01,3,4,0.7563025951385498
45,cone,<function dropout at 0x7f4e04920a60>,256,0.5,0.5348837375640869,0.01,3,8,0.571428656578064
46,cone,<function dropout at 0x7f4e04920a60>,256,0.5,0.5372093200683594,0.01,3,16,0.571428656578064
47,cone,<function dropout at 0x7f4e04920a60>,256,0.5,0.5418604850769043,0.01,3,32,0.5462185144424438
48,cone,<function dropout at 0x7f4e04920a60>,512,0.0,0.5348837375640869,10.0,3,2,0.571428656578064
49,cone,<function dropout at 0x7f4e04920a60>,512,0.0,0.4651162922382356,10.0,3,3,0.4285714626312256
50,cone,<function dropout at 0x7f4e04920a60>,512,0.0,0.5348837375640869,10.0,3,4,0.571428656578064
51,cone,<function dropout at 0x7f4e04920a60>,512,0.0,0.5209302484989167,10.0,3,8,0.571428656578064
52,cone,<function dropout at 0x7f4e04920a60>,512,0.0,0.5348837375640869,10.0,3,16,0.571428656578064
53,cone,<function dropout at 0x7f4e04920a60>,512,0.0,0.5139535039663315,10.0,3,32,0.4285714626312256
54,cone,<function dropout at 0x7f4e04920a60>,512,0.0,0.4720930367708207,1.0,3,2,0.4285714626312256
55,cone,<function dropout at 0x7f4e04920a60>,512,0.0,0.5093023419380189,1.0,3,3,0.5546219348907471
56,cone,<function dropout at 0x7f4e04920a60>,512,0.0,0.5348837375640869,1.0,3,4,0.571428656578064
57,cone,<function dropout at 0x7f4e04920a60>,512,0.0,0.5069767594337464,1.0,3,8,0.4285714626312256
58,cone,<function dropout at 0x7f4e04920a60>,512,0.0,0.5395349025726319,1.0,3,16,0.571428656578064
59,cone,<function dropout at 0x7f4e04920a60>,512,0.0,0.5348837375640869,1.0,3,32,0.571428656578064
60,cone,<function dropout at 0x7f4e04920a60>,512,0.0,0.927906948328018,0.1,3,2,0.9075630903244019
61,cone,<function dropout at 0x7f4e04920a60>,512,0.0,0.9209302008152007,0.1,3,3,0.8739496469497681
62,cone,<function dropout at 0x7f4e04920a60>,512,0.0,0.900000023841858,0.1,3,4,0.8235294818878174
63,cone,<function dropout at 0x7f4e04920a60>,512,0.0,0.9209302186965941,0.1,3,8,0.8991597890853882
64,cone,<function dropout at 0x7f4e04920a60>,512,0.0,0.9069767057895662,0.1,3,16,0.8823529481887817
65,cone,<function dropout at 0x7f4e04920a60>,512,0.0,0.8372093081474303,0.1,3,32,0.7731093168258667
66,cone,<function dropout at 0x7f4e04920a60>,512,0.0,0.8767441868782042,0.01,3,2,0.8571429252624512
67,cone,<function dropout at 0x7f4e04920a60>,512,0.0,0.9604651093482973,0.01,3,3,0.8823529481887817
68,cone,<function dropout at 0x7f4e04920a60>,512,0.0,0.8930232346057894,0.01,3,4,0.8067227602005005
69,cone,<function dropout at 0x7f4e04920a60>,512,0.0,0.9093022882938386,0.01,3,8,0.8403362035751343
70,cone,<function dropout at 0x7f4e04920a60>,512,0.0,0.8604651689529419,0.01,3,16,0.8655462265014648
71,cone,<function dropout at 0x7f4e04920a60>,512,0.0,0.8255814254283905,0.01,3,32,0.7983193397521973
72,cone,<function dropout at 0x7f4e04920a60>,512,0.5,0.5348837375640869,10.0,3,2,0.571428656578064
73,cone,<function dropout at 0x7f4e04920a60>,512,0.5,0.5348837375640869,10.0,3,3,0.571428656578064
74,cone,<function dropout at 0x7f4e04920a60>,512,0.5,0.5348837375640869,10.0,3,4,0.571428656578064
75,cone,<function dropout at 0x7f4e04920a60>,512,0.5,0.5348837375640869,10.0,3,8,0.571428656578064
76,cone,<function dropout at 0x7f4e04920a60>,512,0.5,0.5348837375640869,10.0,3,16,0.571428656578064
77,cone,<function dropout at 0x7f4e04920a60>,512,0.5,0.5348837375640869,10.0,3,32,0.571428656578064
78,cone,<function dropout at 0x7f4e04920a60>,512,0.5,0.5348837375640869,1.0,3,2,0.571428656578064
79,cone,<function dropout at 0x7f4e04920a60>,512,0.5,0.5348837375640869,1.0,3,3,0.571428656578064
