,dR,nstart,valAccuracy,dropoutFn,learningrate,layerForm,activationFn,nlayers,testAccuracy
0,0.0,256,0.8428761243820191,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,2,0.8459672331809998
1,0.0,256,0.842876136302948,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,3,0.8459672331809998
2,0.0,256,0.8428761303424835,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,4,0.8459672927856445
3,0.0,256,0.842876136302948,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,8,0.8459672927856445
4,0.0,256,0.8428761243820191,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,16,0.8459672927856445
5,0.0,256,0.8428761243820191,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,32,0.8459672927856445
6,0.0,256,0.842876136302948,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,2,0.8459672331809998
7,0.0,256,0.842876136302948,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,3,0.8459672331809998
8,0.0,256,0.8428761124610902,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,4,0.8459672331809998
9,0.0,256,0.842876136302948,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,8,0.8459672927856445
10,0.0,256,0.842876136302948,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,16,0.8459672331809998
11,0.0,256,0.842876136302948,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,32,0.8459672331809998
12,0.0,256,0.9889480113983153,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,2,0.9902971386909485
13,0.0,256,0.9942742347717284,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,3,0.9915099740028381
14,0.0,256,0.9925432264804839,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,4,0.9921165108680725
15,0.0,256,0.9917443275451658,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,8,0.9933292865753174
16,0.0,256,0.842876136302948,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,16,0.8459672927856445
17,0.0,256,0.842876136302948,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,32,0.8459672927856445
